Row Label,County,Garth Dano,Angus Lee
Ephrata 7 012,GR,176,150
Hartline Rural S 020,GR,15,11
Moses Lake 5 029,GR,157,180
Ephrata 9 013,GR,286,237
Beverly 002,GR,24,10
East Wahluke 061,GR,57,29
Royal City 044,GR,44,72
Moses Lake 2 067,GR,146,127
Marlin 024,GR,11,7
Lakeview Park 021,GR,145,144
Moses Lake 9  068,GR,188,164
Coulee City 005,GR,90,111
North Banks Lake 037,GR,34,32
Ephrata Rural E,GR,145,134
Moses Lake 7 033,GR,204,209
George 015,GR,36,5
Mae 023,GR,451,373
Ruff 045,GR,33,24
Cascade Valley 058,GR,279,294
Wilson Crk Rural 056,GR,15,14
Electric City 007,GR,180,132
Coulee Cty Rur N 072,GR,43,28
Moses Lake 1 066,GR,112,123
Smyrna 2 060,GR,13,11
Hartline 019,GR,34,22
Moses Lake 4 031,GR,156,155
Cascade Fairgrnd 004,GR,128,111
Warden 050,GR,91,85
Ephrata 5 008,GR,155,122
Quincy 4 040,GR,88,59
Ephrata 4 011,GR,242,173
Quincy 1 039,GR,173,90
Stratford 049,GR,11,35
Westslope 1 053,GR,43,58
McConihe 1 028,GR,100,97
Marlin Rural 025,GR,27,17
Coulee Cty Rur W 006,GR,41,41
Coulee Cty Rur E 062,GR,10,12
Moses Lake 6 032,GR,258,215
Wheeler 2 070,GR,314,325
Longview 022,GR,182,217
Greenfield 065,GR,30,26
Mattawa Rural 027,GR,334,116
Airport 2 057,GR,82,116
Soap Lake 1 047,GR,117,70
Airport 1 001,GR,111,137
Grand Coulee 018,GR,145,88
Moses Lake 12 036,GR,168,204
Gloyd 017,GR,142,145
Hartline Rural N 073,GR,26,10
Smyrna 1 046,GR,64,63
Westslope 2 059,GR,34,45
Moses Lake 3 030,GR,251,251
Mattawa 026,GR,19,23
O Sullivan Dam 2 069,GR,302,362
Soap Lake 2 052,GR,111,67
Quincy Rural S 064,GR,366,167
Ephrata Rural ,GR,166,108
Ephrata 3 010,GR,123,125
Wheeler 1 054,GR,111,126
Warden Rural 051,GR,164,235
George Rural 016,GR,342,152
McConihe 2 063,GR,81,80
Quincy 6 041,GR,329,134
Block 71 003,GR,268,266
Wilson Creek 055,GR,40,31
Quincy Rural N 042,GR,149,74
Moses Lake 8 034,GR,240,282
O Sullivan Dam 1 038,GR,212,279
Soap Lake Rur E ,GR,53,39
Royal Camp 043,GR,213,224
Total,GR,10440,9103
Soap Lake Rur W ,GR,200,145
Ephrata 2 009,GR,213,145
Moses Lake 11 035,GR,297,313
