Row Label,County,Jim Upton,Ty Trenary
MARYSVILLE 17,SN,134,119
WAGNER,SN,152,157
LUNDS GULCH,SN,46,48
STRAUS,SN,139,220
EVERETT  73,SN,142,109
LYNNWOOD  6,SN,110,112
EVERETT  71,SN,72,63
MENZEL,SN,111,100
EVERETT  77,SN,69,119
EVERETT  76,SN,123,92
RIDGEWAY,SN,82,85
EVERETT  74,SN,70,80
EVERETT  79,SN,124,104
EVERETT  78,SN,58,63
NILE,SN,0,0
RHODY RIDGE,SN,59,113
LARIMER,SN,118,131
ARNOT,SN,90,117
CHATHAM,SN,24,29
KINGMAN,SN,183,218
MANN,SN,140,93
FIR,SN,116,135
MARYSVILLE 44,SN,162,186
MUKILTEO 18,SN,146,207
MUKILTEO 19,SN,71,150
MARYSVILLE 41,SN,97,92
MARYSVILLE 40,SN,108,108
MARYSVILLE 43,SN,138,121
MARYSVILLE 42,SN,116,102
SILVER FIRS,SN,181,150
PORT SUSAN,SN,161,233
MUKILTEO 10,SN,85,108
MUKILTEO 11,SN,113,129
MUKILTEO 16,SN,121,232
MUKILTEO 17,SN,162,201
MUKILTEO 14,SN,135,195
MUKILTEO 15,SN,54,39
MILL CREEK 18,SN,121,114
MILL CREEK 19,SN,174,171
MILL CREEK 14,SN,4,6
MILL CREEK 15,SN,119,153
MILL CREEK 16,SN,76,103
MILL CREEK 17,SN,142,136
NORDEN,SN,115,105
MILL CREEK 11,SN,86,118
MILL CREEK 12,SN,106,127
STAFFORD,SN,75,93
MC RAE,SN,108,87
SOFIE,SN,64,91
MARYSVILLE 30,SN,151,144
MARYSVILLE 31,SN,218,178
MARYSVILLE 32,SN,87,107
MARYSVILLE 34,SN,97,122
MARYSVILLE 35,SN,127,141
MAY CREEK,SN,137,124
MARYSVILLE 37,SN,71,109
MARYSVILLE 38,SN,106,90
MARYSVILLE 39,SN,97,132
ROBE,SN,80,83
THREE LAKES,SN,107,117
LOOP,SN,137,118
VIEW,SN,135,160
LOST LAKE,SN,84,91
LAKE STEVENS  4,SN,101,132
LAKE STEVENS  5,SN,121,107
WAXON,SN,130,208
LAKE STEVENS  7,SN,164,136
LAKE STEVENS  1,SN,167,174
LAKE STEVENS  2,SN,124,124
LAKE STEVENS  3,SN,188,164
PRIEST POINT,SN,52,115
LAKE STEVENS  8,SN,109,157
LAKE STEVENS  9,SN,121,89
BOTHELL 45,SN,56,76
MONROE  1,SN,147,179
MONROE  3,SN,142,131
EVERETT  90,SN,39,37
STANWOOD 2,SN,86,167
SOUTH SNOHOMISH,SN,104,101
STANWOOD 5,SN,103,238
STANWOOD 4,SN,86,273
LYNNWOOD 23,SN,112,121
CAVALRY,SN,137,145
LYNNWOOD 21,SN,103,148
SULTAN RIVER,SN,130,128
STANWOOD 7,SN,49,102
LYNNWOOD 25,SN,140,158
LYNNWOOD 24,SN,102,94
WATERS,SN,131,213
MONROE  6,SN,134,101
EVERETT   4,SN,89,166
MARYSVILLE 22,SN,177,175
EVERETT  75,SN,54,113
KENWOOD,SN,111,124
ELFIN,SN,75,74
KENNARD,SN,105,110
ROBINHOOD,SN,113,108
EDMONDS 14,SN,108,91
SPADA,SN,4,3
HAINES,SN,153,130
SPENCER(*),SN,0,0
HILTONS LAKE,SN,134,148
TUCKER,SN,111,155
EVERETT  39,SN,111,127
EVERETT  38,SN,23,40
BEVERLY,SN,125,117
EVERETT  36,SN,121,88
KNOX,SN,9,6
MARINER,SN,109,104
EVERETT  33,SN,166,165
EVERETT  32,SN,131,122
EVERETT  31,SN,98,84
EVERETT  30,SN,155,147
EDMONDS 39,SN,145,192
EVERETT  41,SN,84,108
EDMONDS 33,SN,95,146
EDMONDS 32,SN,124,126
EDMONDS 31,SN,125,162
EDMONDS 30,SN,95,134
EDMONDS 37,SN,102,162
EDMONDS 36,SN,80,155
PACIFIC,SN,36,29
EDMONDS 34,SN,99,180
TRONSON,SN,68,122
LAKE STEVENS 28,SN,132,119
LAKE STEVENS 26,SN,84,59
LAKE STEVENS 27,SN,74,62
LAKE STEVENS 24,SN,106,89
LAKE STEVENS 25,SN,41,41
LAKE STEVENS 22,SN,121,99
LAKE STEVENS 23,SN,105,86
LAKE STEVENS 20,SN,158,106
LAKE STEVENS 21,SN,154,163
ARLINGTON 18,SN,0,0
ARLINGTON 17,SN,3,4
ARLINGTON 16,SN,98,88
ARLINGTON 15,SN,47,51
ARLINGTON 14,SN,119,92
VINE,SN,90,137
ARLINGTON 12,SN,106,100
ARLINGTON 11,SN,60,80
ARLINGTON 10,SN,193,148
PELLERIN,SN,126,122
KOKANEE,SN,60,83
TIMBER,SN,0,0
EVERGREEN,SN,75,88
PIPELINE,SN,121,144
CREEK,SN,146,165
EVERETT  69,SN,94,137
LYNNWOOD  7,SN,128,165
WALNUT,SN,92,89
STANWOOD 1,SN,57,76
STANWOOD 3,SN,94,116
MONROE  2,SN,152,130
MONROE  5,SN,196,136
PINEWOOD,SN,106,146
MONROE  7,SN,137,132
STANWOOD 6,SN,50,132
MONROE  9,SN,162,123
MONROE  8,SN,95,78
CLOVER,SN,107,98
COHO,SN,41,65
OWEN,SN,121,102
MARYSVILLE 47,SN,132,134
FERN,SN,43,60
LYNNWOOD  5,SN,79,63
LYNNWOOD  4,SN,99,98
MUKILTEO 21,SN,56,111
MUKILTEO 20,SN,163,158
LYNNWOOD  1,SN,62,59
LYNNWOOD  3,SN,110,114
POND,SN,122,125
ATLAS,SN,126,188
LYNNWOOD  9,SN,130,158
LYNNWOOD  8,SN,88,93
BRIER 8,SN,105,97
MILL CREEK 21,SN,60,74
MILL CREEK 20,SN,74,142
MILL CREEK 22,SN,91,85
BRIER 3,SN,136,249
BRIER 2,SN,90,122
BRIER 1,SN,123,155
OVERLOOK,SN,168,163
BRIER 7,SN,89,132
BRIER 6,SN,70,118
BRIER 5,SN,142,193
BRIER 4,SN,113,164
MUKILTEO 12,SN,139,242
POPLAR,SN,66,73
FOUR CORNERS,SN,107,162
KACKMAN,SN,83,121
PILOT,SN,144,138
MUKILTEO  5,SN,144,225
MUKILTEO  4,SN,79,125
MUKILTEO  7,SN,66,148
MUKILTEO  6,SN,132,158
MUKILTEO  1,SN,127,224
MUKILTEO  3,SN,94,135
OHLDE,SN,149,122
MARYSVILLE 49,SN,88,118
MUKILTEO  9,SN,110,148
MUKILTEO  8,SN,88,123
COVE,SN,92,132
SILVER LAKE,SN,117,122
JORDAN TRAILS,SN,68,80
SOUTH LAKE STEVENS,SN,131,155
WINTER LAKE,SN,94,69
SUNDAY LAKE,SN,126,234
HAPPY VALLEY,SN,82,102
TUALCO,SN,81,115
RIDGEVIEW,SN,54,70
WINDSONG,SN,105,122
LAKE STEVENS 17,SN,148,109
MISTY,SN,124,156
LAKE STEVENS 15,SN,148,165
REES,SN,66,48
LAKE STEVENS 13,SN,131,119
LAKE STEVENS 12,SN,125,81
LAKE STEVENS 11,SN,106,72
LAKE STEVENS 10,SN,139,121
ROYAL,SN,189,171
LAKE STEVENS 19,SN,136,154
LAKE STEVENS 18,SN,143,88
MANORDALE,SN,99,120
POPPY,SN,83,77
CLEARVIEW,SN,162,154
LIND,SN,142,115
HAMPTON,SN,125,145
PARKSHORE,SN,96,112
MILL CREEK 10,SN,85,109
DUBUQUE,SN,148,106
IVERSON,SN,100,79
KEELER,SN,90,109
MILL CREEK 13,SN,107,129
MARTHA LAKE,SN,103,145
PARK PLACE,SN,58,50
BLUFF,SN,136,143
SISCO,SN,146,168
THOMAS CREEK,SN,102,131
TULALIP 3,SN,112,143
OLNEY,SN,156,134
TULALIP 1,SN,117,169
TULALIP 6,SN,53,77
TULALIP 4,SN,124,149
TULALIP 5,SN,76,103
EVERETT  60,SN,133,98
EVERETT  61,SN,22,26
EVERETT  62,SN,90,83
EVERETT  63,SN,96,95
SHOECRAFT,SN,125,207
EVERETT  65,SN,106,121
EVERETT  66,SN,110,132
EVERETT  67,SN,76,150
EVERETT  68,SN,154,172
ROSE,SN,89,125
LAKE,SN,172,164
HIPOINT,SN,87,83
MILL CREEK  3,SN,65,101
MILL CREEK  2,SN,94,133
MILL CREEK  1,SN,107,219
MILL CREEK  7,SN,8,10
MILL CREEK  6,SN,155,183
MILL CREEK  5,SN,130,220
MILL CREEK  4,SN,81,128
HEARTHSTONE,SN,95,109
MILL CREEK  9,SN,114,151
MILL CREEK  8,SN,148,203
CLIFF,SN,65,134
MARYSVILLE 54,SN,129,164
MARYSVILLE 55,SN,89,98
HEMLOCK,SN,140,199
MARYSVILLE 53,SN,95,87
BROCKLIN,SN,148,133
MARYSVILLE 51,SN,68,50
COUNTRY,SN,78,100
WITHERS,SN,120,183
PIONEER,SN,124,117
ELWOOD,SN,112,143
PEAK,SN,7,4
HOLLY,SN,112,159
CHAIN LAKE,SN,197,158
BRYANT,SN,50,65
WOODWAY 1,SN,115,144
WOODWAY 2,SN,77,87
MUKILTEO  2,SN,142,247
KENSINGTON,SN,63,79
FALLS,SN,12,21
HILL,SN,104,112
VILLAGE,SN,144,227
MARYSVILLE 36,SN,88,104
SHELTON,SN,176,177
PACKWOOD,SN,72,80
POST,SN,122,132
BOULDER,SN,154,217
HUNT(*),SN,0,0
FIRGROVE,SN,91,99
RICHLAND,SN,42,56
FLORENCE,SN,50,64
MC DONALD,SN,100,99
NORTH CREEK,SN,105,120
EVERETT  70(*),SN,0,0
GREENWOOD,SN,146,151
CRAWFORD,SN,48,32
HAVEN,SN,137,157
LYNNWOOD 30,SN,164,116
LYNNWOOD 31,SN,83,66
LYNNWOOD 33,SN,152,108
LYNNWOOD 34,SN,63,71
