Row Label,County,Todd Donovan,Delaine (De) Clizbe,Larry Helm,Dick Donahue,Bob Hall,Kent S. Murray,Stoney Bird,Bob Burr,Bruce Clawson,Tom Walstrom,Kevin Byford,Barbara Ryan,Michele Stelovich,Thomas Stuen,Eli Mackiewicz,Orphalee Smith,Nancy Metcalf,Anthony (Tony) Wallace,Alison (Alie) Walker
267    ,WM,24,7,4,8,1,4,0,10,2,3,0,25,1,19,23,6,6,0,25
180    ,WM,211,89,56,96,38,67,28,99,59,21,6,234,17,183,121,126,45,8,205
257    ,WM,135,28,19,23,19,10,20,56,22,10,1,149,14,99,79,45,28,1,124
249    ,WM,214,112,53,112,47,74,21,71,65,35,2,236,29,197,151,130,50,7,234
242,WM,135,67,38,61,32,38,7,71,38,25,2,147,23,116,100,83,25,8,132
164    ,WM,63,39,52,64,24,37,13,27,10,20,1,61,9,61,46,62,16,4,50
264    ,WM,251,105,52,105,40,69,30,81,93,26,5,270,14,211,139,161,33,8,224
239,WM,222,150,61,129,73,93,31,83,53,45,4,248,35,189,148,168,50,14,215
259    ,WM,130,62,37,65,38,34,16,52,52,30,5,141,12,105,80,100,21,11,121
230,WM,107,62,32,49,19,35,32,59,13,17,5,108,30,67,62,56,50,17,103
231,WM,179,77,46,67,26,52,47,99,37,15,4,179,29,119,119,94,63,13,176
232,WM,185,127,72,145,42,113,24,67,62,41,2,190,24,167,116,175,46,13,159
174    ,WM,125,117,65,96,31,70,15,85,38,22,7,147,40,99,89,102,52,18,149
179    ,WM,45,31,21,38,11,21,12,31,16,4,8,45,13,33,39,23,14,8,38
224,WM,90,25,18,10,9,13,20,55,8,4,3,95,12,66,57,25,31,2,91
182    ,WM,176,133,106,108,46,83,46,88,67,57,19,191,52,177,127,112,76,25,195
210,WM,334,59,48,52,46,30,56,130,40,36,6,340,33,251,220,101,65,5,293
261    ,WM,208,66,43,73,47,36,27,88,45,33,8,233,25,188,138,103,40,7,204
266    ,WM,234,107,65,97,55,62,24,61,100,56,7,252,39,218,158,139,40,8,222
175    ,WM,194,102,58,70,23,62,45,87,46,20,8,198,37,151,123,106,60,14,190
209,WM,268,64,45,62,48,34,37,108,50,32,4,270,36,210,160,110,56,8,215
181    ,WM,204,166,66,161,73,86,30,101,68,47,10,229,49,177,121,191,60,25,207
248    ,WM,99,78,38,77,41,57,17,47,28,21,3,136,25,64,70,86,51,10,99
251    ,WM,254,62,39,77,41,41,30,72,56,25,3,274,17,234,165,111,31,6,248
165    ,WM,56,85,42,102,29,82,9,31,15,13,2,63,13,48,46,112,20,8,63
168    ,WM,189,189,116,221,69,132,26,77,94,43,4,212,32,166,97,257,51,19,169
263    ,WM,212,64,29,40,24,25,35,90,27,22,4,236,30,158,134,77,48,7,195
173    ,WM,157,98,43,111,51,69,16,50,65,30,8,160,29,131,107,143,34,17,141
252    ,WM,25,11,9,11,2,3,14,13,3,4,2,28,14,16,24,7,11,2,29
260    ,WM,170,100,42,119,37,68,14,39,71,26,0,198,10,171,116,139,13,6,175
250    ,WM,383,118,61,93,51,55,40,118,91,33,3,426,29,340,217,193,50,8,360
177    ,WM,133,80,49,76,26,58,18,50,36,24,5,137,29,110,87,59,31,4,128
245,WM,69,41,22,24,11,10,47,41,12,10,4,72,27,25,41,33,36,7,59
244,WM,267,59,39,57,47,31,26,86,46,23,4,282,23,244,157,94,36,12,263
247,WM,143,40,23,20,17,9,21,74,18,13,5,135,28,123,86,40,46,5,145
178    ,WM,198,136,57,99,26,72,14,80,51,26,7,211,32,175,149,108,43,14,212
241,WM,142,77,42,82,59,49,14,69,35,30,5,167,23,127,97,104,45,18,156
183    ,WM,6,5,4,1,0,2,2,2,3,3,0,6,1,2,5,7,5,1,4
243,WM,199,117,61,94,52,62,20,72,61,34,4,224,45,170,149,116,42,8,200
228,WM,206,58,50,34,28,27,65,109,17,14,0,218,31,138,126,67,80,3,196
227,WM,232,82,53,53,43,33,63,100,48,24,6,269,48,193,146,81,100,11,245
226,WM,119,29,23,17,10,11,22,56,16,9,0,132,17,95,81,37,37,2,116
225,WM,223,59,36,45,36,37,53,112,35,31,4,230,41,163,139,87,72,11,211
