Row Label,County,Clint Didier,Dan Newhouse
PRECINCT 101,DG,132,90
PRECINCT 305,DG,71,87
PRECINCT 304,DG,35,30
PRECINCT 307,DG,25,31
PRECINCT 306,DG,100,76
PRECINCT 301,DG,238,179
PRECINCT 209,DG,194,127
PRECINCT 303,DG,108,96
PRECINCT 204,DG,164,152
PRECINCT 205,DG,246,158
PRECINCT 206,DG,102,82
PRECINCT 207,DG,197,142
PRECINCT 309,DG,51,36
PRECINCT 308,DG,33,28
PRECINCT 202,DG,63,41
PRECINCT 316,DG,141,143
PRECINCT 317,DG,203,222
PRECINCT 314,DG,23,35
PRECINCT 315,DG,182,186
PRECINCT 110,DG,130,121
PRECINCT 312,DG,119,71
PRECINCT 313,DG,34,24
PRECINCT 310,DG,68,39
PRECINCT 311,DG,98,61
PRECINCT 213,DG,141,54
PRECINCT 212,DG,112,100
PRECINCT 211,DG,64,24
PRECINCT 210,DG,47,57
Total,DG,3121,2492
