Row Label,County,Randall K. Gaylord
Friday Harbor North,SJ,308
San Juan South East,SJ,234
Lopez North,SJ,558
Total,SJ,5294
Decatur and Outer Is,SJ,20
Shaw,SJ,63
San Juan West,SJ,313
Turn Point,SJ,141
San Juan South West,SJ,379
Orcas East,SJ,374
Eastsound,SJ,468
Blakely &amp; Outer Is,SJ,17
Friday Harbor South,SJ,240
Waldron &amp; Outer Is,SJ,31
Orcas Central,SJ,430
San Juan North,SJ,290
Lopez South,SJ,392
Orcas West,SJ,437
San Juan East,SJ,259
San Juan Central,SJ,340
