Row Label,County,Kevin Parker,Donald Dover
PCT 6210,SP,407,218
PCT 6500,SP,83,28
PCT 6109,SP,165,100
PCT 6100,SP,181,105
PCT 6101,SP,276,128
PCT 6102,SP,271,145
PCT 6103,SP,89,81
PCT 6104,SP,187,130
PCT 6105,SP,213,158
PCT 6106,SP,318,231
PCT 6107,SP,209,111
PCT 6108,SP,179,164
PCT 6211,SP,235,163
PCT 6212,SP,186,129
PCT 6213,SP,362,228
PCT 6214,SP,282,187
PCT 6215,SP,345,271
PCT 6216,SP,332,207
PCT 6217,SP,359,225
PCT 6030,SP,506,188
PCT 6031,SP,257,117
PCT 6032,SP,261,46
PCT 6033,SP,547,186
PCT 6225,SP,394,180
PCT 6035,SP,238,80
PCT 6209,SP,266,224
PCT 6208,SP,357,272
PCT 6203,SP,272,360
PCT 6202,SP,271,231
PCT 6201,SP,273,168
PCT 6200,SP,362,264
PCT 6207,SP,479,170
PCT 6206,SP,348,300
PCT 6205,SP,312,327
PCT 6204,SP,377,370
PCT 6602,SP,319,142
PCT 6601,SP,298,94
PCT 6600,SP,275,169
PCT 6704,SP,282,166
PCT 6702,SP,168,150
PCT 6703,SP,232,187
PCT 6700,SP,250,169
PCT 6701,SP,233,198
PCT 6221,SP,475,211
PCT 6220,SP,447,167
PCT 6223,SP,469,166
PCT 6222,SP,383,68
PCT 6034,SP,429,122
PCT 6224,SP,311,201
PCT 6036,SP,233,82
PCT 6037,SP,224,54
PCT 6302,SP,272,91
PCT 6303,SP,516,208
PCT 6300,SP,596,194
PCT 6301,SP,581,176
PCT 6306,SP,392,105
PCT 6307,SP,220,59
PCT 6304,SP,477,199
PCT 6305,SP,280,61
PCT 6308,SP,225,79
PCT 6309,SP,389,142
PCT 6400,SP,242,111
PCT 6023,SP,232,59
PCT 6022,SP,361,144
PCT 6021,SP,333,134
PCT 6020,SP,467,274
PCT 6027,SP,316,151
PCT 6026,SP,479,228
PCT 6025,SP,256,115
PCT 6024,SP,229,82
PCT 6029,SP,342,124
PCT 6028,SP,261,129
PCT 6315,SP,197,112
PCT 6314,SP,311,163
PCT 6317,SP,269,115
PCT 6316,SP,166,78
PCT 6311,SP,286,146
PCT 6310,SP,302,140
PCT 6313,SP,311,221
PCT 6312,SP,296,127
PCT 6401,SP,140,70
PCT 6318,SP,320,106
PCT 6402,SP,295,133
PCT 6016,SP,240,79
PCT 6017,SP,598,220
PCT 6014,SP,189,80
PCT 6015,SP,179,114
PCT 6012,SP,235,66
PCT 6013,SP,257,110
PCT 6010,SP,50,15
PCT 6011,SP,304,87
PCT 6018,SP,505,174
PCT 6019,SP,471,211
PCT 6009,SP,237,148
PCT 6008,SP,273,117
PCT 6001,SP,322,155
PCT 6000,SP,282,88
PCT 6003,SP,462,108
PCT 6002,SP,101,31
PCT 6005,SP,301,139
PCT 6004,SP,258,106
PCT 6007,SP,295,148
PCT 6006,SP,341,137
PCT 6218,SP,363,138
PCT 6219,SP,440,137
Total,SP,32289,15722
