Row Label,County,Larry Springer,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in,Brendan Woodward
SAM 45-2961,KI,160,531,18,318,0,0,140
DUV 45-3218,KI,225,840,23,454,0,0,206
DUV 45-3219,KI,148,548,17,298,0,2,131
PROVAN,KI,170,551,14,340,0,1,155
SAM 45-3293,KI,192,661,22,382,0,0,168
SAM 45-3298,KI,139,523,24,297,0,0,134
DUV 45-2959,KI,119,514,22,267,0,0,126
STEED,KI,218,759,27,501,0,0,256
MABEL,KI,90,331,12,212,0,1,109
KIR 45-2489,KI,172,559,18,295,0,0,105
SAM 45-2620,KI,173,491,15,305,0,0,117
SAM 45-3213,KI,155,558,20,295,0,1,119
SAM 45-3216,KI,204,710,21,362,0,2,135
SAM 45-3217,KI,244,641,20,424,0,0,160
SAM 45-3412,KI,221,738,32,406,0,0,153
SHANGRI-LA,KI,90,394,11,233,0,0,132
JAY,KI,142,492,16,280,0,0,122
SAM 45-2575,KI,247,770,24,496,0,1,224
ELSIE,KI,230,726,27,393,0,1,135
WEBSTER,KI,139,430,16,282,0,0,127
WOD 45-3192,KI,98,352,14,211,0,0,99
NAPOLEON,KI,161,505,11,324,0,0,152
KIR 45-3640,KI,82,311,6,152,0,1,63
KIR 45-3646,KI,65,276,4,101,0,0,32
ROSE,KI,147,409,16,280,0,0,117
MERLOT,KI,179,527,12,349,0,0,158
SAM 45-2450,KI,132,548,21,325,0,0,172
COTTAGE LAKE,KI,106,452,8,228,0,0,114
KIR 45-3397,KI,76,314,6,130,0,0,48
KIR 45-1040,KI,268,783,17,433,0,1,147
DUV 45-3502,KI,100,398,14,243,0,0,129
KIR 45-0554,KI,128,451,10,200,0,0,62
SAM 45-2684,KI,75,304,9,169,0,0,85
KIR 45-2679,KI,205,614,20,379,0,0,154
KIR 45-0623,KI,131,378,10,229,0,2,86
KIR 45-0622,KI,160,390,8,214,0,1,45
KIR 45-0620,KI,219,552,9,340,0,0,112
KIR 45-0627,KI,237,628,37,376,0,0,102
WOD 45-2769,KI,235,748,24,444,0,0,185
DOUGLAS,KI,164,568,22,337,0,1,150
KIR 45-0624,KI,291,793,26,501,0,1,183
HOLLYMORE,KI,184,525,25,337,0,0,128
KIR 45-2962,KI,121,453,7,208,0,1,79
DUV 45-3642,KI,128,443,13,249,0,0,108
MEANDER,KI,149,581,20,340,0,0,171
DUV 45-3481,KI,190,692,15,400,0,0,195
PORT,KI,2,17,0,7,0,0,5
SAM 45-2963,KI,233,774,24,448,0,1,190
ISABELLA,KI,229,660,32,409,0,1,147
TRILLIUM,KI,230,799,23,476,0,0,223
SAM 45-2726,KI,125,479,22,278,0,0,131
HILL,KI,149,493,20,312,0,0,143
BIG BEND,KI,55,216,9,124,0,0,60
KIR 45-2786,KI,163,351,8,236,0,1,64
KIR 45-0632,KI,172,475,16,273,0,0,85
WOD 45-3530,KI,220,692,13,364,0,0,131
RED 45-3547,KI,235,711,22,388,0,0,131
KIR 45-0630,KI,170,518,12,259,0,1,76
KIR 45-0631,KI,195,585,14,308,0,0,99
KIR 45-1019,KI,197,767,20,364,0,0,147
ELSOM,KI,176,586,16,353,0,0,161
FOX,KI,122,434,8,247,0,0,117
RED 45-3315,KI,300,705,28,503,0,0,175
SAM 45-2693,KI,237,796,29,414,0,1,147
KIR 45-3668,KI,136,428,11,206,0,0,59
KIR 45-2760,KI,207,618,22,386,0,1,156
KIR 45-2761,KI,196,601,19,342,0,0,127
KIR 45-2917,KI,147,603,17,254,0,1,89
KIR 45-2916,KI,109,321,6,175,0,0,60
KIR 45-2912,KI,95,419,9,165,0,0,61
KIR 45-2911,KI,96,309,9,139,0,0,34
KIR 45-2910,KI,149,421,8,248,0,0,91
CAMAS,KI,251,719,22,442,0,0,169
WOD 45-2680,KI,221,627,22,384,0,0,141
DUV 45-0389,KI,232,817,15,414,0,1,166
CLEVELAND,KI,101,344,11,212,0,0,100
HAPPY VALLEY,KI,46,141,4,82,0,0,32
SALAL,KI,106,359,13,225,0,0,106
KIR 45-3198,KI,103,492,17,182,0,1,61
KIR 45-3199,KI,155,416,17,241,0,0,69
ADAIR,KI,374,928,25,756,0,0,357
GROUSEMONT,KI,209,593,11,396,0,0,176
RED 45-2410,KI,332,822,34,533,0,1,166
ALDERWOOD,KI,156,440,15,284,0,0,113
RED 45-2643,KI,150,433,18,254,0,0,86
HOLLYWOOD,KI,181,538,28,359,0,0,150
RED 45-2492,KI,116,356,17,214,0,1,80
KIR 45-3612,KI,64,211,4,116,0,0,48
WOD 45-0926,KI,202,859,27,370,0,0,141
WELCOME LAKE,KI,271,735,22,578,0,0,285
BROOKSIDE,KI,172,548,11,345,0,1,161
BRONSON,KI,270,785,30,499,0,1,198
MOUNT CLARE,KI,187,571,21,348,0,0,140
RING HILL,KI,251,757,23,488,0,0,214
RED 45-2659,KI,43,154,6,89,0,0,40
KIR 45-2560,KI,179,705,10,308,0,0,119
KIR 45-3109,KI,158,469,10,230,0,0,62
WOD 45-3193,KI,99,462,17,209,0,0,93
KIR 45-3450,KI,77,251,14,125,0,0,34
KIR 45-0442,KI,161,557,10,286,0,0,115
KIR 45-0610,KI,157,552,10,322,0,2,153
KIR 45-0616,KI,182,557,22,297,0,0,93
KIR 45-0618,KI,174,454,19,315,0,0,122
KIR 45-0619,KI,117,296,4,190,0,1,68
SWAN LAKE,KI,218,684,17,378,0,0,143
WOD 45-2734,KI,157,583,16,328,0,1,154
KIR 45-2931,KI,121,409,10,191,0,1,59
KIR 45-2933,KI,102,350,9,167,0,1,55
KIR 45-2932,KI,154,472,17,266,0,0,95
KIR 45-2423,KI,243,726,19,453,0,0,191
KIR 45-2934,KI,103,368,15,196,0,0,78
KIR 45-2421,KI,139,515,15,274,0,0,120
SAM 45-2791,KI,236,637,27,411,0,0,148
SAM 45-3454,KI,41,233,14,116,0,0,61
MILLIKIN,KI,221,650,32,422,0,1,168
SAM 45-3386,KI,146,784,32,398,0,0,220
SAM 45-3387,KI,129,402,11,244,0,0,104
TWINBERRY,KI,288,656,21,547,0,0,238
WINTERGREEN,KI,75,279,8,161,0,0,78
SHEFFIELD,KI,143,447,14,288,0,0,131
KIR 45-0925,KI,99,312,4,167,0,0,64
KIR 45-3200,KI,128,455,11,209,0,0,70
SPRINKLE,KI,39,107,2,66,0,0,25
RED 45-2580,KI,150,384,16,262,0,0,96
CORWIN,KI,258,817,33,498,0,1,206
SAM 45-2965,KI,168,586,25,324,0,0,131
KIR 45-2924,KI,194,718,17,322,0,1,110
KIR 45-2471,KI,259,720,19,453,0,1,174
RIDGE,KI,237,669,17,393,0,1,138
AVONDALE,KI,96,293,8,169,0,0,65
KIR 45-2730,KI,187,686,21,298,0,1,89
STILLWATER,KI,136,523,17,292,0,1,138
WEEKS,KI,192,713,26,390,0,0,172
ASPEN GLEN,KI,105,396,9,232,0,1,117
MINK ROAD,KI,128,424,14,260,0,1,117
BROOKTRAILS,KI,191,564,30,347,0,1,125
RED 45-3281,KI,198,633,16,312,1,1,96
SAM 45-2564,KI,237,749,29,418,0,0,152
BOT 45-3620,KI,22,149,5,63,0,0,36
LAKE LEOTA,KI,178,562,15,313,0,0,120
QUAIL,KI,46,235,9,131,0,1,75
SALISH,KI,240,674,17,418,0,0,161
HOLIDAY LAKE,KI,78,299,5,193,0,0,110
UNION HILL,KI,200,628,28,374,0,1,145
RED 45-0936,KI,158,476,12,275,0,0,105
SAM 45-3505,KI,192,573,23,329,0,0,114
WOD 45-1225,KI,143,478,15,279,0,0,121
RED 45-3584,KI,160,449,16,259,0,0,83
EASTRIDGE,KI,242,818,34,474,0,0,198
WOD 45-2597,KI,206,647,20,350,0,1,123
WOD 45-3270,KI,151,612,14,298,0,0,133
KIR 45-2722,KI,169,626,22,296,0,0,105
CHERRY VALLEY,KI,124,514,16,304,0,0,164
CHURCHILL,KI,157,425,10,262,0,0,95
MICHAEL,KI,181,582,20,353,0,0,152
WOD 45-1205,KI,174,507,10,340,0,0,156
