Row Label,County,Roger Freeman,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in,Jack Dovey
FED 30-3372,KI,112,450,10,227,0,0,105
DENVER,KI,123,588,12,229,0,0,94
TROUT LAKE,KI,127,719,13,352,0,2,210
PAC 30-0887,KI,189,796,18,332,0,1,124
PAC 30-0886,KI,123,668,14,287,0,0,150
DES 30-1227,KI,169,635,30,378,0,0,179
FED 30-3034,KI,87,359,6,171,0,0,78
FED 30-3035,KI,65,265,6,128,0,1,56
FED 30-3036,KI,92,342,5,148,0,1,50
FED 30-3037,KI,109,359,5,191,0,0,77
FED 30-3030,KI,77,361,11,175,0,0,87
FED 30-3031,KI,142,542,11,273,0,2,118
FED 30-3032,KI,76,267,6,131,0,1,48
FED 30-3033,KI,111,408,7,201,0,0,83
FED 30-3238,KI,75,359,6,148,0,0,67
FED 30-3038,KI,73,198,8,115,0,0,34
FED 30-3039,KI,97,331,3,186,0,1,85
BINGAMAN,KI,160,565,12,313,0,0,141
PAC 30-2856,KI,129,686,8,230,0,0,93
AUB 30-0067,KI,89,430,12,164,0,0,63
FED 30-3080,KI,97,499,11,172,0,0,64
FED 30-3085,KI,136,416,20,257,0,0,101
FED 30-3087,KI,130,508,10,259,0,1,118
FED 30-3086,KI,131,526,15,279,0,0,133
PAC 30-0885,KI,136,762,18,342,0,0,188
FED 30-3088,KI,138,538,15,263,0,0,110
AUB 30-3477,KI,32,203,3,65,0,0,30
AUB 30-3476,KI,48,264,3,86,0,1,34
FED 30-3008,KI,101,365,10,163,0,1,51
FED 30-3001,KI,191,622,19,357,0,1,146
FED 30-3000,KI,96,479,14,197,0,0,87
FED 30-3003,KI,118,563,15,270,0,1,136
FED 30-3002,KI,170,690,18,314,0,0,126
FED 30-3005,KI,98,298,12,201,0,2,89
FED 30-3004,KI,99,442,8,188,0,2,79
FED 30-3007,KI,66,242,5,144,0,1,72
FED 30-3006,KI,113,466,9,207,0,1,84
FED 30-3574,KI,56,353,8,117,0,0,53
STAR LAKE,KI,103,325,7,182,0,1,71
ILLAHEE,KI,116,328,16,222,0,0,90
DES 30-0954,KI,216,745,25,415,0,0,174
FED 30-3096,KI,145,550,22,249,0,0,82
FED 30-3097,KI,222,720,32,429,0,3,172
FED 30-3094,KI,135,595,17,277,0,1,124
FED 30-3095,KI,97,501,8,173,0,0,68
FED 30-3092,KI,149,631,4,213,0,0,60
FED 30-3093,KI,114,612,21,221,0,0,86
FED 30-3090,KI,94,356,10,198,0,0,94
FED 30-3091,KI,160,552,22,388,0,1,205
FED 30-3098,KI,105,528,19,252,1,0,127
FED 30-3395,KI,84,272,4,143,0,1,54
SPIDER LAKE,KI,160,755,30,387,0,1,196
EXCALIBUR,KI,98,403,17,226,0,1,110
GENEVA,KI,100,408,11,218,0,1,106
FED 30-3018,KI,85,327,9,155,0,1,60
FED 30-3019,KI,89,427,8,231,0,0,134
FED 30-3017,KI,171,715,27,458,0,0,260
FED 30-3014,KI,140,461,8,277,0,0,129
FED 30-3015,KI,96,398,11,241,0,1,133
FED 30-3012,KI,119,301,11,194,0,0,64
FED 30-3013,KI,56,266,8,124,0,0,60
FED 30-3010,KI,92,335,14,197,0,0,91
FED 30-3011,KI,68,343,8,138,0,0,62
MIL 30-3146,KI,167,659,24,361,0,0,170
DOLLOFF,KI,106,412,17,223,0,1,99
FED 30-3599,KI,80,420,15,213,0,0,118
FED 30-3596,KI,81,332,11,178,0,0,86
AVALON,KI,105,372,13,191,0,0,73
AUB 30-2702,KI,88,470,6,156,0,0,62
AUB 30-2703,KI,28,262,2,63,0,0,33
WESTWOOD,KI,0,0,0,0,0,0,0
AUB 30-0046,KI,90,351,8,169,0,0,71
MERLIN,KI,85,411,12,170,0,1,72
CYPRESS,KI,0,0,0,0,0,0,0
SERENIDAD,KI,165,746,23,317,0,0,129
CADDIS,KI,99,366,22,211,0,1,89
FED 30-2988,KI,189,629,14,332,0,1,128
THISTLE,KI,73,334,5,152,0,0,74
AUB 30-0053,KI,113,437,10,185,0,1,61
FED 30-3582,KI,42,255,6,95,0,0,47
DEVILLE,KI,139,558,11,263,0,2,111
FED 30-3236,KI,176,746,27,351,0,3,145
CAMELOT,KI,108,479,12,211,0,1,90
TOTEM,KI,14,70,4,31,0,0,13
FED 30-3078,KI,108,402,7,218,0,2,101
FED 30-3079,KI,101,508,16,260,0,1,142
FED 30-2999,KI,79,392,8,137,0,0,50
FED 30-2994,KI,47,225,4,118,0,0,67
FED 30-2995,KI,62,243,2,122,0,2,56
FED 30-2996,KI,121,510,18,218,0,1,78
FED 30-2990,KI,124,589,17,239,0,1,97
FED 30-2991,KI,99,360,16,187,0,0,72
FED 30-2992,KI,114,356,8,174,0,0,52
FED 30-2993,KI,165,677,22,340,0,3,150
ALG 30-3141,KI,99,523,22,222,0,1,100
FED 30-3234,KI,77,382,14,163,0,0,72
FED 30-3235,KI,98,400,11,172,0,1,62
FED 30-3289,KI,167,819,38,368,0,0,163
FED 30-3049,KI,102,430,11,168,0,0,55
FED 30-3048,KI,117,634,10,187,0,0,60
KILLARNEY,KI,122,466,16,264,0,1,125
FED 30-3045,KI,142,637,21,253,0,0,90
FED 30-3044,KI,162,657,17,326,0,3,144
FED 30-3047,KI,132,492,14,236,0,1,89
FED 30-3046,KI,116,397,6,188,0,0,66
FED 30-3041,KI,91,326,13,158,0,0,54
FED 30-3040,KI,76,432,4,146,0,1,65
FED 30-3043,KI,122,631,17,261,0,0,122
FED 30-3042,KI,79,251,11,166,0,0,76
HERON,KI,102,424,17,222,0,1,102
THOMAS,KI,107,442,12,249,0,0,130
GUENEVERE,KI,80,342,9,149,0,1,59
FED 30-3110,KI,84,351,13,194,0,0,97
FED 30-3237,KI,161,745,27,376,0,2,186
BRITTANY,KI,145,592,17,321,0,0,159
FED 30-3052,KI,111,494,16,243,0,0,116
FED 30-3053,KI,112,472,16,218,0,0,90
FED 30-3050,KI,48,222,10,98,0,0,40
FED 30-3051,KI,88,400,10,152,0,0,54
FED 30-3056,KI,96,323,9,166,0,0,61
FED 30-3054,KI,101,386,17,168,0,0,50
FED 30-3055,KI,150,575,12,280,0,2,116
FED 30-3077,KI,96,339,13,202,0,0,93
JOVITA,KI,77,454,14,232,0,1,140
ALG 30-0014,KI,108,486,15,229,0,1,105
ALG 30-0013,KI,74,467,10,153,0,0,69
FED 30-3305,KI,57,402,8,102,0,1,36
ROUNDTABLE,KI,108,602,19,212,0,0,85
ANGELO,KI,93,425,22,232,0,1,116
FED 30-3027,KI,147,654,19,288,0,0,122
FED 30-3026,KI,109,399,15,195,0,1,70
FED 30-3025,KI,119,506,14,307,0,1,173
FED 30-3024,KI,106,349,10,222,0,0,106
FED 30-3023,KI,119,412,17,258,0,5,117
FED 30-3022,KI,67,216,8,132,0,0,57
FED 30-3021,KI,142,566,12,249,0,1,94
FED 30-3020,KI,124,436,16,223,0,1,82
LAKELAND,KI,121,527,18,248,0,0,109
FED 30-3029,KI,79,309,7,117,0,0,31
FED 30-3028,KI,124,510,10,250,0,1,115
