Row Label,County,Bruce Chandler
4303,YA,131
3101,YA,512
5101,YA,145
0140,YA,198
0308,YA,0
0307,YA,19
0306,YA,295
0305,YA,9
0304,YA,98
0303,YA,191
0302,YA,198
0301,YA,62
0124,YA,71
2701,YA,607
3401,YA,105
1701,YA,196
1702,YA,21
1703,YA,211
1704,YA,0
1705,YA,351
1706,YA,250
1708,YA,195
4401,YA,184
4402,YA,198
0111,YA,197
5016,YA,124
3002,YA,92
4112,YA,458
3306,YA,164
3304,YA,338
3303,YA,148
3301,YA,237
4802,YA,504
2301,YA,197
2303,YA,210
2306,YA,300
5001,YA,83
0104,YA,163
0103,YA,126
4624,YA,187
4111,YA,380
4628,YA,101
3504,YA,14
0901,YA,118
0175,YA,177
3311,YA,609
4105,YA,153
4106,YA,269
4109,YA,461
4108,YA,225
0501,YA,190
1502,YA,358
1503,YA,327
1501,YA,221
1504,YA,366
3602,YA,518
3601,YA,35
0162,YA,192
4608,YA,106
4606,YA,321
4604,YA,140
4605,YA,2
4602,YA,164
4603,YA,382
3206,YA,390
1103,YA,245
1101,YA,242
2103,YA,235
2101,YA,313
3902,YA,140
4618,YA,224
4615,YA,257
4616,YA,133
3104,YA,262
3105,YA,41
4002,YA,116
4003,YA,438
4005,YA,223
3103,YA,155
2501,YA,216
4504,YA,249
5202,YA,0
4501,YA,81
0156,YA,173
0155,YA,317
0150,YA,155
Total,YA,18650
3106,YA,294
0158,YA,147
