Row Label,County,Judith (Judy) Warnick,Mohammad Said
Ephrata 7 012,GR,302,23
Moses Lake 5 029,GR,302,36
Ephrata 9 013,GR,497,38
Warden 050,GR,161,20
East Wahluke 061,GR,91,2
Royal City 044,GR,99,18
Lakeview Park 021,GR,273,24
Block 71 003,GR,535,32
Wilson Crk Rural 056,GR,28,2
Ephrata Rural E,GR,276,20
Moses Lake 7 033,GR,364,51
George 015,GR,35,6
Mae 023,GR,792,60
Smyrna 1 046,GR,115,10
Cascade Valley 058,GR,522,68
Westslope 1 053,GR,102,7
Moses Lake 1 066,GR,212,28
McConihe 2 063,GR,146,17
Moses Lake 4 031,GR,248,59
Cascade Fairgrnd 004,GR,208,33
Ephrata 5 008,GR,257,33
Ruff 045(*),GR,0,0
Quincy 4 040,GR,116,30
Ephrata 4 011,GR,375,50
Quincy 1 039,GR,222,45
McConihe 1 028,GR,185,15
Marlin Rural 025,GR,47,2
Coulee Cty Rur W 006,GR,82,7
Coulee Cty Rur E 062,GR,21,2
Moses Lake 6 032,GR,412,76
Wheeler 2 070,GR,611,37
Longview 022,GR,354,47
Greenfield 065,GR,52,3
Mattawa Rural 027,GR,389,82
Stratford 049(*),GR,0,0
Airport 2 057,GR,164,32
Airport 1 001,GR,217,29
O Sullivan Dam 1 038,GR,477,27
Beverly 002,GR,33,2
Moses Lake 9  068,GR,328,23
Westslope 2 059,GR,78,5
Moses Lake 3 030,GR,455,57
Mattawa 026,GR,33,11
O Sullivan Dam 2 069,GR,626,49
Smyrna 2 060(*),GR,0,0
Quincy Rural S 064,GR,522,50
Moses Lake 12 036,GR,327,47
Ephrata 3 010,GR,217,33
Wheeler 1 054,GR,213,19
Warden Rural 051,GR,383,37
George Rural 016,GR,471,47
Moses Lake 2 067,GR,220,59
Quincy 6 041,GR,423,51
Marlin 024,GR,13,5
Wilson Creek 055,GR,68,9
Moses Lake 8 034,GR,458,69
Soap Lake Rur E ,GR,83,15
Royal Camp 043,GR,417,39
Gloyd 017(*),GR,0,0
Total,GR,15970,1802
Hartline Rural S 020(*),GR,0,0
Ephrata 2 009,GR,335,22
Moses Lake 11 035,GR,553,64
