Row Label,County,Stephen E. Brown
Montesano 601,GY,455
Riviera 050,GY,23
McCleary Rural 060,GY,262
Hoquiam 421,GY,215
Satsop 052,GY,107
Aberdeen 132,GY,0
Lois Lane 082,GY,77
Ocosta 092,GY,0
Cutoff032,GY,64
Johns River 094,GY,195
Melbourne 072,GY,197
Bush 058,GY,370
Aberdeen 121,GY,362
Geissler 036,GY,31
Coats Landing 034,GY,169
Hoquiam 441,GY,293
Grayland 096,GY,203
Hoquiam 461,GY,226
Blockhouse 068,GY,191
Boundary 044,GY,32
Westport 901,GY,360
Humptulips 018,GY,35
Chehalis 066,GY,4
Elma 302,GY,340
Aberdeen 111,GY,392
Cohasset 098,GY,129
Burrows 014,GY,15
Quinault 004,GY,89
Porter 062,GY,122
Delezenne 070,GY,247
Pacific Beach 008,GY,137
Aberdeen 131,GY,491
Elma 301,GY,157
Axford 020,GY,86
Brady 048,GY,282
Hoquiam 431,GY,265
Dekay 022,GY,46
Ocean City 012,GY,167
Moclips 010,GY,14
Montesano 603,GY,0
Cosmopolis 201,GY,378
Cedar Creek 064,GY,59
Ocean Shores 801,GY,387
Ocean Shores 802,GY,498
Ocean Shores 803,GY,439
North Wishkah 028,GY,1
Calder 056,GY,182
Lund 088,GY,44
Taholah 002,GY,155
Aberdeen 142,GY,273
Devonshire 074,GY,179
Reynvaan 040,GY,90
Aberdeen Lake 038,GY,2
Aberdeen 161,GY,379
Wilderness 016,GY,73
Hoquiam 451,GY,208
Sierra 086,GY,1
Blue Slough 084,GY,128
Black Creek 046,GY,307
Hoquiam Rural 024,GY,199
Wishkah 030,GY,169
Stover 026,GY,41
Oakville 701,GY,99
Aberdeen 141,GY,348
Vesta 076,GY,34
Artic 078,GY,36
Wynoochee 042,GY,5
Montesano 602,GY,470
Aberdeen 151,GY,230
Central Park 080,GY,399
Newskah 090,GY,14
McCleary 501,GY,277
Neilton 006,GY,49
Total,GY,13257
Hoquiam 411,GY,254
