Row Label,County,Kevin McCann
31-900,PI,191
29-680,PI,251
31-902,PI,393
31-903,PI,3
31-904,PI,50
31-905,PI,260
31-906,PI,163
31-907,PI,243
31-908,PI,204
31-909,PI,233
29-640,PI,296
29-641,PI,305
29-642,PI,314
29-643,PI,26
29-648,PI,6
29-649,PI,92
25-239,PI,374
25-238,PI,206
31-901,PI,38
25-235,PI,11
25-237,PI,0
25-236,PI,297
25-230,PI,92
28-588,PI,340
28-589,PI,371
28-586,PI,330
28-587,PI,245
28-584,PI,240
28-585,PI,379
28-582,PI,146
28-583,PI,211
28-580,PI,55
28-581,PI,218
25-280,PI,377
25-281,PI,260
25-282,PI,371
02-149,PI,389
25-284,PI,188
25-285,PI,483
25-286,PI,351
25-287,PI,4
25-288,PI,386
25-289,PI,0
02-140,PI,365
02-141,PI,344
02-146,PI,251
02-147,PI,254
02-144,PI,298
02-145,PI,344
27-439,PI,300
27-438,PI,295
27-435,PI,356
27-434,PI,334
27-437,PI,310
27-436,PI,337
27-431,PI,151
27-430,PI,359
27-433,PI,340
27-432,PI,336
26-339,PI,62
26-338,PI,294
26-333,PI,361
26-332,PI,321
26-331,PI,98
26-330,PI,270
26-337,PI,406
26-336,PI,444
26-335,PI,314
26-334,PI,331
28-515,PI,378
28-517,PI,433
28-516,PI,404
28-519,PI,414
28-518,PI,420
31-869,PI,139
31-865,PI,85
31-861,PI,80
26-348,PI,378
26-349,PI,378
26-346,PI,323
26-347,PI,303
26-344,PI,48
26-345,PI,350
26-342,PI,414
26-343,PI,351
26-340,PI,426
26-341,PI,343
25-271,PI,361
25-270,PI,377
25-273,PI,231
25-272,PI,348
25-275,PI,0
25-274,PI,448
25-277,PI,358
25-276,PI,16
25-279,PI,308
25-278,PI,126
29-682,PI,296
29-683,PI,319
31-923,PI,165
29-619,PI,279
29-618,PI,250
29-617,PI,289
29-616,PI,289
29-615,PI,341
29-614,PI,313
29-613,PI,315
29-612,PI,154
29-611,PI,62
29-610,PI,295
28-559,PI,323
28-558,PI,319
28-551,PI,474
28-550,PI,282
28-553,PI,424
28-552,PI,432
28-555,PI,439
28-554,PI,380
28-557,PI,310
28-556,PI,317
02-115,PI,284
02-114,PI,175
02-117,PI,337
02-116,PI,350
02-111,PI,263
25-291,PI,82
02-113,PI,238
02-112,PI,194
02-143,PI,244
25-290,PI,31
02-119,PI,209
02-118,PI,215
31-823,PI,194
31-822,PI,224
31-827,PI,75
31-826,PI,302
31-825,PI,253
31-824,PI,0
31-829,PI,252
31-828,PI,257
