Row Label,County,Doug Ericksen,Seth Fleetwood
216,WM,107,381
217,WM,205,164
214,WM,106,334
215,WM,104,415
212,WM,124,112
213,WM,224,410
210,WM,101,467
211,WM,230,230
106    ,WM,244,157
218,WM,155,201
219,WM,151,277
133,WM,115,239
132,WM,233,152
131,WM,386,191
130,WM,208,94
137,WM,94,267
135,WM,206,234
139,WM,238,23
138,WM,139,372
604    ,WM,424,68
606    ,WM,445,97
610    ,WM,523,96
401,WM,205,87
220,WM,189,186
124    ,WM,222,81
145    ,WM,463,168
120,WM,338,121
121,WM,227,104
122,WM,217,93
123,WM,205,98
125,WM,368,100
127,WM,423,225
129,WM,335,165
268,WM,13,10
166    ,WM,272,278
201    ,WM,349,360
304    ,WM,105,85
111    ,WM,314,145
607    ,WM,419,67
701,WM,340,109
115,WM,401,108
114,WM,189,77
117,WM,363,43
116,WM,266,50
110,WM,270,139
113,WM,324,118
112,WM,153,95
142,WM,198,170
118,WM,474,85
209,WM,147,368
146    ,WM,480,147
156    ,WM,132,93
301,WM,343,234
302,WM,280,292
303,WM,333,238
611    ,WM,354,54
108,WM,361,226
102,WM,215,144
103,WM,236,234
101,WM,168,298
107,WM,335,215
104,WM,200,101
105,WM,126,122
605,WM,267,54
141    ,WM,445,156
140    ,WM,624,92
601,WM,594,134
507    ,WM,265,135
603,WM,354,98
609    ,WM,537,98
504,WM,183,87
505,WM,310,239
502,WM,259,155
503,WM,337,185
501,WM,304,160
508    ,WM,306,198
183    ,WM,15,5
229,WM,150,323
227,WM,94,419
225,WM,92,370
224,WM,25,143
223,WM,52,277
222,WM,150,536
221,WM,271,224
167    ,WM,59,37
126    ,WM,380,238
608    ,WM,369,98
158    ,WM,146,88
509    ,WM,247,95
151,WM,397,207
150,WM,406,164
153,WM,322,168
152,WM,288,186
155,WM,244,105
157,WM,136,108
602,WM,471,123
144    ,WM,571,66
234,WM,243,300
233,WM,200,274
154    ,WM,203,147
136    ,WM,208,231
165    ,WM,168,95
147,WM,329,158
203,WM,264,240
202,WM,154,184
205,WM,146,185
204,WM,105,112
207,WM,111,214
206,WM,178,317
119    ,WM,139,111
208,WM,200,500
148,WM,294,175
149,WM,278,116
143    ,WM,139,177
402    ,WM,270,118
506    ,WM,272,200
267    ,WM,9,37
134    ,WM,268,367
801,WM,247,101
Total,WM,30209,21244
