Row Label,County,Repealed,Maintained
Washtucna City #1,AD,70,24
Batum,AD,40,41
Othello Rural #1,AD,47,32
Hatton Rural,AD,14,16
Ralston,AD,24,13
Hatton City,AD,8,6
Othello Rural #6,AD,115,62
Othello Rural #4,AD,92,58
Othello Rural #5,AD,50,46
Ritzville Rural NW,AD,79,60
Fairview,AD,22,6
Benge,AD,16,9
Ritzville Rural SE,AD,77,54
Ritzville Ward #5,AD,77,55
Ritzville Ward #4,AD,72,58
Ritzville Ward #1,AD,61,36
Ritzville Ward #3,AD,87,62
Ritzville Ward #2,AD,60,32
Schrag,AD,16,20
Cunningham,AD,8,2
Othello Rural #2,AD,77,30
Othello Rural #3,AD,117,91
Othello City #2,AD,100,68
Othello City #3,AD,86,74
Othello City #1,AD,8,14
Othello City #6,AD,69,36
Othello City #4,AD,106,82
Othello City #5,AD,96,68
Lind #1,AD,116,66
Washtucna Rural,AD,43,20
Lind Rural,AD,41,29
Total,AD,1894,1270
