Row Label,County,Judith (Judy) Warnick,Mohammad Said
DAMMAN,KS,291,54
PARK,KS,320,30
TEANAWAY,KS,274,47
ELLENSBURG 20,KS,51,26
CLE ELUM 4,KS,206,47
ELLENSBURG 22,KS,132,48
ELLENSBURG 23,KS,161,54
CLE ELUM 1,KS,159,29
ELLENSBURG 25,KS,270,74
CLE ELUM 3,KS,48,14
CLE ELUM 2,KS,93,17
THORP(*),KS,0,0
SOUTH CLE ELUM,KS,160,14
FAIRVIEW,KS,189,29
RONALD,KS,119,28
NORTHEAST FAIRVIEW,KS,296,48
ELLENSBURG 24,KS,311,67
VANTAGE(*),KS,0,0
ELLENSBURG 9,KS,51,34
ELLENSBURG 8,KS,61,28
RIDGEWAY,KS,431,82
ELLENSBURG 1,KS,29,18
ELLENSBURG 2,KS,41,36
ELLENSBURG 5,KS,50,39
ELLENSBURG 4,KS,23,24
ELLENSBURG 7,KS,41,13
ELLENSBURG 6,KS,44,23
EAST SANDERS,KS,295,42
THRALL,KS,264,54
ELLENSBURG 21,KS,91,33
MOUNTAIN,KS,115,25
HYAK,KS,77,20
ROSLYN 1,KS,113,61
ROSLYN 2,KS,83,57
KITTITAS 1,KS,117,19
KACHESS,KS,88,18
MANASTASH,KS,236,45
DENMARK,KS,428,50
ROSLYN OUTLYING,KS,49,6
SOUTH ELLENSBURG,KS,360,78
DRY CREEK,KS,340,58
NORTH CENTRAL,KS,231,49
ELLENSBURG 11,KS,82,50
ELLENSBURG 10,KS,86,54
ELLENSBURG 13,KS,65,41
ELLENSBURG 12,KS,73,60
ELLENSBURG 15,KS,125,43
ELLENSBURG 14,KS,102,35
ELLENSBURG 17,KS,139,73
ELLENSBURG 16,KS,188,56
ELLENSBURG 19,KS,190,120
ELLENSBURG 18,KS,23,12
WESTSIDE,KS,329,78
EASTON,KS,295,53
PEOH POINT,KS,283,40
SANDERS,KS,124,22
KITTITAS 2,KS,135,21
NORTH ELLENSBURG,KS,374,68
SWAUK,KS,193,18
Total,KS,9837,2435
