Row Label,County,Eileen L. Cody,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
SEA 34-1515,KI,196,391,51,247,0,0
SEA 34-1410,KI,93,240,62,156,0,1
SEA 34-1517,KI,114,260,31,145,0,0
BUR 34-0900,KI,129,391,63,194,0,2
SEA 34-1511,KI,109,320,61,172,0,2
SEA 34-1510,KI,147,392,76,228,0,5
SEA 34-1513,KI,218,663,90,312,0,4
BUR 34-0377,KI,201,607,84,293,0,8
SEA 34-3648,KI,166,470,73,240,0,1
SEA 34-1519,KI,123,327,62,192,0,7
BUR 34-0465,KI,87,228,43,132,0,2
BUR 34-1047,KI,231,744,121,355,0,3
SEA 34-1516,KI,159,399,65,227,0,3
BILOXI,KI,212,430,75,287,0,0
SEA 34-1512,KI,103,269,42,149,0,4
SEA 34-1508,KI,113,295,68,182,0,1
SEA 34-3637,KI,216,567,85,309,0,8
SEA 34-1529,KI,85,266,41,132,0,6
SEA 34-1509,KI,124,281,48,177,0,5
SEA 34-3632,KI,79,271,20,99,0,0
SEA 34-1449,KI,133,367,79,213,0,1
SEA 34-1448,KI,124,270,54,181,0,3
SEA 34-1446,KI,155,398,81,237,0,1
SEA 34-1444,KI,249,595,112,365,0,4
SEA 34-1443,KI,172,380,92,266,0,2
SEA 34-1442,KI,143,380,62,207,0,2
SEA 34-1441,KI,108,264,47,156,0,1
SEA 34-1440,KI,86,242,63,149,0,0
CHAUTAUQUA,KI,177,416,73,259,0,9
BUR 34-0344,KI,185,420,108,301,0,8
SEA 34-1467,KI,239,551,99,339,0,1
BUR 34-1058,KI,195,493,113,315,0,7
BUR 34-1059,KI,210,614,103,321,0,8
BUR 34-1057,KI,263,660,157,423,0,3
BAKER,KI,250,599,95,347,0,2
QUARTERMASTER,KI,167,342,57,229,0,5
COVE,KI,259,545,85,350,0,6
BUR 34-0699,KI,298,823,178,489,0,13
SEA 34-1518,KI,111,260,45,156,0,0
BUR 34-1116,KI,136,387,52,192,0,4
BURTON,KI,116,241,44,163,0,3
SEA 34-1502,KI,142,342,77,223,0,4
SEA 34-1501,KI,179,369,68,248,0,1
SEA 34-1507,KI,142,357,83,230,0,5
SEA 34-1458,KI,180,376,64,246,0,2
SEA 34-1459,KI,117,272,54,175,0,4
SEA 34-1454,KI,111,306,66,180,0,3
SEA 34-1455,KI,300,956,122,428,0,6
SEA 34-1456,KI,175,428,73,248,0,0
SEA 34-1457,KI,261,687,122,385,0,2
SEA 34-1450,KI,123,301,60,188,0,5
SEA 34-1451,KI,130,330,47,178,0,1
SEA 34-1452,KI,109,275,61,170,0,0
BERNICE,KI,186,601,50,240,0,4
SHAWNEE,KI,217,426,71,291,0,3
BUR 34-1219,KI,192,530,146,345,0,7
SEA 34-3263,KI,126,415,64,194,0,4
SEA 34-3265,KI,115,353,51,168,0,2
SEA 34-3264,KI,126,340,51,180,0,3
SEA 34-3266,KI,85,311,30,117,0,2
BUR 34-1104,KI,115,325,71,186,0,0
WYNONA,KI,157,462,54,211,0,0
DOCKTON,KI,321,696,121,446,0,4
DOLPHIN,KI,142,275,34,183,0,7
SEA 34-1461,KI,167,399,98,268,0,3
SEA 34-1460,KI,125,324,78,209,0,6
SEA 34-1463,KI,123,259,52,178,0,3
SEA 34-1462,KI,110,339,88,199,0,1
SEA 34-1465,KI,177,372,73,251,0,1
SEA 34-1464,KI,146,359,92,245,0,7
BUR 34-0295,KI,167,479,96,269,0,6
SEA 34-1466,KI,126,303,52,179,0,1
SEA 34-1469,KI,105,362,77,182,0,0
SEA 34-1468,KI,175,448,74,256,0,7
SEA 34-1500,KI,232,584,95,328,0,1
BUR 34-0298,KI,225,668,89,322,0,8
