Row Label,County,Linda Kochmar,Greg Baruso
30-709(*),PI,0,0
30-713(*),PI,0,0
30-708,PI,217,160
30-701,PI,15,3
Total,PI,986,685
30-707,PI,149,83
30-706,PI,232,162
30-705,PI,141,122
