Row Label,County,Judy R Ridge
SWALLOWS NEST,AS,333
WEST CLARKSTON #1,AS,221
WEST CLARKSTON #2,AS,218
WEST CLARKSTON #3,AS,257
CLARKSTON #1,AS,142
SOUTH CLARKSTON #1,AS,214
SOUTH CLARKSTON #2,AS,261
W ASOTIN,AS,71
CLARKSTON #6,AS,203
CLARKSTON #7,AS,123
CLARKSTON #4,AS,188
Total,AS,4881
CLARKSTON #2,AS,184
CLARKSTON #3,AS,166
CLARKSTON #8,AS,177
CLARKSTON HTS #3,AS,98
CLARKSTON HTS #2,AS,422
CLARKSTON HTS #1,AS,243
CLARKSTON #5,AS,114
CLARKSTON HTS #7,AS,300
CLARKSTON HTS #6,AS,379
CLARKSTON HTS #5,AS,319
CLARKSTON HTS #4,AS,248
