Row Label,County,Debra L. Stephens,John (Zamboni) Scannell
BLUFFS 210,CM,153,81
PORT ANGELES 109,CM,439,141
PORT ANGELES 108,CM,172,61
BELLEVIEW 205,CM,314,123
CARLSBORG 214,CM,227,69
PORT ANGELES 103,CM,390,104
PORT ANGELES 102,CM,335,122
PORT ANGELES 101,CM,223,90
OLYMPIC 254,CM,230,52
PORT ANGELES 107,CM,370,114
PORT ANGELES 106,CM,289,87
PORT ANGELES 105,CM,348,117
PORT ANGELES 104,CM,258,86
AGNEW 201,CM,238,102
JAMESTOWN 240,CM,196,63
FRESHWATER BAY 233,CM,377,143
DUNGENESS EAST 222,CM,386,94
SUN 269,CM,79,43
CLARK 216,CM,103,44
MOUNT PLEASANT 251,CM,286,84
PORT WILLIAMS 258,CM,195,50
MILLER PENINSULA 246,CM,191,46
ELK 229,CM,75,24
FAIRVIEW 232,CM,357,77
OBRIEN 253,CM,270,80
HAPPY VALLEY 237,CM,165,59
EAGLE 226,CM,243,88
COYOTE 218,CM,355,99
BOGACHIEL 212,CM,84,43
ROBIN HILL 266,CM,235,83
PRAIRIE NORTH 259,CM,272,96
JOYCE 241,CM,332,137
NEAH BAY 252,CM,135,39
SEQUIM 406,CM,281,54
MADISON CREEK 248,CM,98,53
FORKS 301,CM,131,64
DEER PARK 220,CM,340,98
DIAMOND POINT 221,CM,306,115
BEAVER 204,CM,164,107
MONTERRA 249,CM,312,91
PORT ANGELES 110,CM,77,34
PORT ANGELES 111,CM,397,131
PORT ANGELES 112,CM,224,63
PORT ANGELES 113,CM,240,61
QUILEUTE 262,CM,76,50
CLINE 217,CM,322,92
FORKS 302,CM,187,90
BELL HILL 207,CM,338,89
PRAIRIE SOUTH 260,CM,277,107
MOUNT ANGELES 250,CM,172,51
SUNLAND NORTH 270,CM,367,63
BLYN 211,CM,255,90
DUNGENESS WEST 223,CM,166,65
BLUE MOUNTAIN 209,CM,307,105
MACLEAY 247,CM,324,76
SEQUIM 404,CM,425,116
SEQUIM 405,CM,286,55
SEQUIM 402,CM,156,74
SEQUIM 403,CM,307,100
DRY CREEK 224,CM,239,104
CLALLAM BAY 215,CM,117,82
LOST MOUNTAIN 245,CM,173,76
SEQUIM 401,CM,161,59
RIVERSIDE 265,CM,299,82
BLACK DIAMOND 208,CM,194,58
SUNLAND SOUTH 271,CM,231,54
ELWHA 230,CM,85,35
Total,CM,16356,5385
