Row Label,County,Yes,No
Washtucna City #1,AD,38,62
Batum,AD,25,60
Othello Rural #1,AD,59,20
Hatton Rural,AD,7,26
Ralston,AD,16,22
Hatton City,AD,5,9
Othello Rural #6,AD,62,121
Othello Rural #4,AD,64,90
Othello Rural #5,AD,30,66
Ritzville Rural NW,AD,63,86
Fairview,AD,11,18
Benge,AD,11,12
Ritzville Rural SE,AD,58,81
Ritzville Ward #5,AD,82,58
Ritzville Ward #4,AD,72,68
Ritzville Ward #1,AD,45,57
Ritzville Ward #3,AD,85,78
Ritzville Ward #2,AD,50,47
Schrag,AD,14,22
Cunningham,AD,3,7
Othello Rural #2,AD,60,49
Othello Rural #3,AD,87,128
Othello City #2,AD,124,66
Othello City #3,AD,105,71
Othello City #1,AD,10,13
Othello City #6,AD,54,54
Othello City #4,AD,107,93
Othello City #5,AD,94,88
Lind #1,AD,101,89
Washtucna Rural,AD,17,45
Lind Rural,AD,26,47
Total,AD,1585,1753
