Row Label,County,Greg Kimsey
669,CR,474
668,CR,489
667,CR,391
664,CR,467
663,CR,311
662,CR,478
660,CR,444
130,CR,455
571,CR,451
490,CR,384
491,CR,47
626,CR,427
692,CR,495
693,CR,269
690,CR,479
691,CR,460
696,CR,552
697,CR,590
694,CR,160
695,CR,502
698,CR,445
699,CR,421
450,CR,582
540,CR,566
340,CR,459
400,CR,268
930,CR,483
452,CR,439
935,CR,514
570,CR,490
678,CR,342
679,CR,307
674,CR,421
675,CR,331
677,CR,481
670,CR,493
672,CR,389
455,CR,362
120,CR,509
575,CR,165
914,CR,504
917,CR,317
528,CR,459
910,CR,441
537,CR,191
415,CR,353
535,CR,628
410,CR,528
913,CR,537
298,CR,290
530,CR,208
296,CR,336
370,CR,338
294,CR,304
912,CR,393
925,CR,442
290,CR,449
538,CR,276
591,CR,664
590,CR,653
593,CR,534
592,CR,598
595,CR,293
594,CR,15
597,CR,65
200,CR,460
598,CR,16
629,CR,405
700,CR,77
190,CR,503
985,CR,381
390,CR,540
110,CR,463
113,CR,233
112,CR,39
250,CR,525
536,CR,297
628,CR,482
524,CR,54
525,CR,322
527,CR,430
520,CR,281
521,CR,8
522,CR,179
523,CR,20
420,CR,465
423,CR,353
255,CR,461
425,CR,355
424,CR,544
360,CR,474
426,CR,629
586,CR,415
587,CR,408
449,CR,631
448,CR,604
582,CR,380
583,CR,374
580,CR,345
581,CR,236
441,CR,470
440,CR,487
447,CR,615
446,CR,488
445,CR,589
444,CR,594
245,CR,523
920,CR,404
108,CR,449
240,CR,599
102,CR,389
100,CR,473
615,CR,243
106,CR,409
649,CR,391
104,CR,476
903,CR,442
900,CR,421
905,CR,498
641,CR,175
640,CR,464
643,CR,416
642,CR,226
645,CR,573
644,CR,480
647,CR,334
646,CR,227
436,CR,277
510,CR,340
434,CR,351
435,CR,348
515,CR,594
430,CR,337
588,CR,266
579,CR,20
578,CR,41
627,CR,462
338,CR,451
625,CR,509
624,CR,111
335,CR,364
451,CR,476
337,CR,411
453,CR,433
577,CR,672
330,CR,474
456,CR,651
574,CR,23
600,CR,253
175,CR,309
257,CR,456
170,CR,349
543,CR,505
596,CR,2
654,CR,316
656,CR,240
710,CR,210
180,CR,346
655,CR,417
652,CR,412
653,CR,378
650,CR,448
651,CR,316
505,CR,584
502,CR,441
503,CR,370
500,CR,536
659,CR,456
630,CR,357
631,CR,510
632,CR,256
633,CR,395
634,CR,416
635,CR,347
636,CR,383
560,CR,502
639,CR,401
545,CR,357
460,CR,682
566,CR,318
225,CR,656
160,CR,326
220,CR,337
964,CR,512
965,CR,444
966,CR,331
967,CR,306
960,CR,548
961,CR,86
962,CR,398
963,CR,354
968,CR,397
969,CR,257
658,CR,434
720,CR,359
947,CR,376
605,CR,509
150,CR,265
153,CR,327
606,CR,98
395,CR,141
603,CR,331
555,CR,578
550,CR,575
553,CR,477
584,CR,444
681,CR,359
959,CR,28
958,CR,81
951,CR,394
950,CR,423
953,CR,206
957,CR,108
638,CR,401
327,CR,511
585,CR,580
325,CR,366
620,CR,582
147,CR,369
618,CR,556
563,CR,523
613,CR,246
610,CR,670
617,CR,492
565,CR,398
511,CR,30
648,CR,390
487,CR,230
485,CR,361
673,CR,528
483,CR,703
573,CR,605
480,CR,672
686,CR,365
432,CR,351
576,CR,6
940,CR,421
470,CR,640
689,CR,474
688,CR,384
350,CR,394
685,CR,125
687,CR,435
Total,CR,96854
572,CR,632
680,CR,392
683,CR,422
682,CR,404
