Row Label,County,Chris Stearns,Dennis Pulsipher
Yelm 1,TH,144,90
Griffin,TH,137,111
Kaiser,TH,81,48
Smith Prairie,TH,190,110
Olympia 01,TH,147,82
Lacey 29,TH,176,102
Scott Lake South,TH,135,76
Tri Lakes,TH,103,51
Woodland,TH,164,90
Plumb,TH,190,108
Montgomery,TH,101,33
Olympia 10,TH,174,104
Delta(*),TH,0,0
Olympia 12,TH,92,42
Olympia 13,TH,182,84
Pleasant Hill,TH,179,120
Olympia 15,TH,124,74
Smith Lake,TH,180,95
Olympia 17,TH,109,62
Olympia 18,TH,158,76
Rocky Prairie,TH,125,63
Scatter Creek,TH,118,84
Lacey 06,TH,55,40
Henderson,TH,217,143
Mullen,TH,198,116
Marvin,TH,199,117
Rochester 4,TH,139,74
Rochester 5,TH,191,93
Rochester 2,TH,146,110
Rochester 3,TH,164,97
French,TH,158,145
Rochester 1,TH,183,137
Tumwater 11,TH,210,171
Evergreen Ballroom,TH,217,130
Littlerock,TH,271,168
Lacey 10,TH,197,109
Skookumchuck,TH,175,92
Delphi,TH,167,80
Tolmie,TH,80,27
Quince(*),TH,0,0
St Clair,TH,165,116
Olympia 58,TH,156,79
Tenino 01,TH,91,66
James,TH,135,91
Tumwater 10,TH,211,115
Lacey 14,TH,66,31
Olympia 07,TH,84,51
Olympia 06,TH,228,166
Olympia 05,TH,163,55
Olympia 04,TH,152,75
Olympia 03,TH,161,88
Olympia 02,TH,142,90
Plainview,TH,236,176
Lacey 27,TH,146,81
Delridge,TH,42,36
Military,TH,85,45
Lacey 16,TH,143,87
Lacey 39,TH,227,151
Olympia 09,TH,227,189
Sweet Briar,TH,215,146
Olympia 43,TH,180,111
Rainier 01,TH,130,66
Puget,TH,184,140
Olympia 11,TH,140,94
Vail,TH,211,106
Stedman,TH,116,92
Tumwater 13,TH,83,29
Zenkner Valley,TH,37,21
Trailblazer,TH,58,44
Libby,TH,132,95
Lackamas,TH,60,31
Broadway,TH,216,144
Johnson Point,TH,184,166
Sleater Kinney,TH,151,95
Medicine Creek,TH,91,41
Lacey 42,TH,60,22
Olympia 16,TH,32,15
Tumwater 12,TH,143,107
Prine,TH,34,14
Long Lake,TH,47,17
Lacey 33,TH,86,45
Olympia 53,TH,153,78
Lacey 31,TH,123,65
Lacey 30,TH,223,137
Greenridge,TH,105,64
Lacey 36,TH,104,53
Lacey 35,TH,52,38
Olympia 19,TH,116,96
Butler Cove,TH,133,116
Lacey 34,TH,93,53
Mud Bay,TH,154,103
Olympia 14,TH,165,58
Mclane,TH,127,68
Tumwater 15,TH,187,110
Lawrence Lake,TH,198,138
Lacey 45,TH,87,40
Olympia 38,TH,45,22
Tilley,TH,190,117
Yelm 3,TH,174,96
Hunter Point,TH,101,65
Skokomish,TH,150,78
Schneiders Prairie,TH,120,79
Grand Mound,TH,73,61
Alpine,TH,261,196
Hays,TH,115,79
Luhr Beach,TH,188,140
Berry Valley,TH,134,91
Freedom,TH,193,138
Morris,TH,194,104
Lacey 07,TH,131,69
Lacey 04,TH,77,50
Lacey 05,TH,104,64
Lacey 02,TH,105,72
Lacey 03,TH,148,82
Deschutes,TH,196,103
Olympia 50,TH,144,52
Tumwater 28,TH,215,128
Tumwater 29,TH,0,0
Friendly Grove,TH,107,57
Olympia 51,TH,29,31
Fair Oaks,TH,114,84
Woodard Creek,TH,129,109
Pines,TH,150,57
Scott Lake North,TH,92,42
Mushroom Corner,TH,168,95
Tumwater 14,TH,70,51
Yelm 2,TH,167,65
Deerbrush,TH,190,108
Henness,TH,260,166
Lacey 09,TH,65,53
Kinwood,TH,143,86
Rainier 02,TH,93,58
Summit Lake,TH,119,110
Lacey 19,TH,103,61
Lacey 18,TH,191,93
Simmons 9,TH,3,3
Lacey 11,TH,133,117
Simmons 4,TH,7,7
Lacey 13,TH,71,46
Lacey 01,TH,64,34
Lacey 15,TH,139,84
Gull Harbor,TH,128,49
Simmons 3,TH,6,3
Simmons 2,TH,4,2
Spurgeon Creek,TH,69,54
Black River,TH,236,165
Forest,TH,227,147
Olympia 24,TH,130,109
