Row Label,County,Lorrie Sampson,Dave Baskin
MILL CREEK,ST,90,73
KETTLE FALLS 1,ST,217,105
COLUMBIA,ST,282,171
ARDEN 1,ST,173,145
COLVILLE 1,ST,90,50
COLVILLE 2,ST,114,64
DAISY,ST,119,63
COLVILLE 4,ST,279,109
COLVILLE 5,ST,210,114
COLVILLE 6,ST,148,57
COLVILLE 7,ST,136,70
COLVILLE VALLEY,ST,345,249
STONE LODGE,ST,213,118
ECHO VALLEY,ST,139,69
LOON LAKE 2,ST,158,80
NARCISSE,ST,234,233
LOON LAKE 1,ST,303,119
COLVILLE 3,ST,127,64
CAMAS PRAIRIE,ST,131,63
EVANS,ST,147,77
SPRINGDALE,ST,40,25
MEYERS FALLS 2,ST,268,202
NORTHPORT,ST,57,45
SUMMIT,ST,130,110
KELLY HILL,ST,62,44
CLAYTON 2,ST,237,138
CLAYTON 1,ST,144,78
ARDEN 2,ST,208,155
MEYERS FALLS 1,ST,179,119
WAITTS LAKE,ST,218,115
WELLPINIT,ST,94,44
CHEWELAH 3,ST,126,77
HUNTERS,ST,249,95
ONION CREEK,ST,92,37
CHEWELAH 2,ST,78,53
CHEWELAH 1,ST,156,109
ECHO,ST,225,167
QUARTZITE 1,ST,328,204
QUARTZITE 2,ST,183,90
TUM TUM 5,ST,203,111
TUM TUM 4,ST,177,104
ROCK CUT,ST,53,24
TUM TUM 1,ST,145,63
TUM TUM 3,ST,292,171
TUM TUM 2,ST,280,113
MARCUS,ST,43,24
Total,ST,9710,5650
FIRST THOUGHT,ST,31,23
WALKERS PRAIRIE,ST,167,87
CAMAS,ST,207,110
ADDY,ST,221,159
WILLIAMS VALLEY,ST,297,127
ORIN 1,ST,145,121
ORIN 2,ST,173,154
KETTLE FALLS 2,ST,131,72
CHEWELAH FORE,ST,103,46
RICE,ST,118,67
VALLEY 1,ST,48,12
VALLEY 2,ST,147,62
