Row Label,County,Jason Ritchie,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in,Dave Reichert
MONEYSMITH,KI,120,669,9,390,0,1,260
MAPLE HILLS,KI,146,719,19,391,0,1,225
M-V 05-2748,KI,153,806,17,347,0,2,175
CROW,KI,65,389,9,197,0,1,122
LAKE MORTON,KI,46,232,8,151,0,0,97
ISS 05-3634,KI,79,422,13,190,0,0,98
M-V 05-3510,KI,60,381,9,213,0,1,143
TOTEM,KI,9,70,1,31,0,3,18
ISS 41-2733,KI,216,843,12,462,0,2,232
CLAY,KI,85,438,9,237,0,0,143
FARLEY,KI,120,739,11,414,0,1,282
ROUNDTABLE,KI,72,602,16,212,0,2,122
AUB 47-2723,KI,108,346,4,234,0,1,121
AUB 47-0671,KI,128,785,15,329,0,1,185
AUB 47-2478,KI,142,490,9,328,0,0,177
AUB 47-2573,KI,145,679,13,391,0,1,232
GREEN RIVER,KI,74,482,12,261,0,0,175
KINGLET,KI,127,532,12,227,1,1,86
COV 47-0279,KI,127,832,14,369,0,0,228
SAM 45-3454,KI,35,233,7,116,0,0,74
BERRYDALE,KI,89,505,12,277,0,0,176
AUB 47-3413,KI,154,758,8,323,0,0,161
LOUIE,KI,82,512,6,236,0,1,147
M-V 05-3600,KI,91,616,13,270,0,1,165
M-V 05-3601,KI,96,496,17,239,0,2,124
N-B 05-0859,KI,148,487,18,291,0,0,125
N-B 05-0858,KI,92,469,10,222,0,0,120
GOLDFINCH,KI,77,281,8,165,0,0,80
MORGAN,KI,128,631,16,305,0,0,161
ENM 31-0409,KI,64,379,8,196,0,0,124
TANNER,KI,118,695,13,343,0,0,212
LAKE RETREAT,KI,118,654,15,347,0,0,214
CLOVER,KI,85,594,11,299,0,0,203
HERON,KI,96,424,6,222,0,0,120
HUNTER,KI,181,811,26,389,0,1,181
SAM 41-1130,KI,109,651,13,283,0,0,161
GUENEVERE,KI,67,342,3,149,0,1,78
HUSKY,KI,138,650,13,340,0,1,188
CHINOOK,KI,107,671,17,357,0,1,232
AUB 31-3299,KI,36,248,4,155,0,0,115
SHADOW LAKE,KI,104,610,13,334,0,1,216
N-B 05-3611,KI,104,664,15,316,0,1,196
ISS 05-3649,KI,87,404,7,188,0,0,94
LAKE DESIRE,KI,131,605,9,323,0,3,180
NAILA,KI,178,798,22,416,0,0,216
KEN 47-0600,KI,16,131,1,46,0,0,29
ALG 30-0014,KI,103,486,11,229,0,1,114
