Row Label,County,Laurie Thomas
JENNINGS LOOP,OK,25
MOCCASIN LAKE,OK,52
TONASKET CREEK,OK,30
FINLEY CANYON,OK,62
TUNK CREEK,OK,73
NORTH TONASKET,OK,60
FLETCHER,OK,42
GREENACRES,OK,30
OMAK #21,OK,28
BUCKHORN MTN,OK,44
GLOVER,OK,52
OMAK #22,OK,45
OMAK #23,OK,20
OMAK #24,OK,32
WEST CHEWUCH,OK,48
OKANOGAN #13,OK,25
METHOW,OK,62
ELMWAY,OK,39
BREWSTER FLAT,OK,39
TEAL LAKE,OK,30
TONASKET RURAL,OK,27
NORTH STAR,OK,13
NESPELEM CITY,OK,17
VALLEY,OK,38
OMAK RIVER,OK,45
BREWSTER #6,OK,20
OWHI,OK,25
AENEAS CREEK,OK,45
OMAK #19,OK,29
PINE CONE,OK,30
ASTON,OK,29
BREWSTER #2,OK,60
BREWSTER #3,OK,32
BREWSTER RURAL,OK,49
BREWSTER #1,OK,24
WHISKY MTN,OK,14
BREWSTER #4,OK,13
LIME BELT,OK,22
ELLISFORDE,OK,53
ALMA,OK,41
OROVILLE #8,OK,35
AENEAS LAKE,OK,64
OMAK #13,OK,31
SUNSET LAKES,OK,16
OMAK #6,OK,42
PALMER LAKE,OK,45
CARLTON,OK,30
OMAK #5,OK,47
OMAK #2,OK,38
MAZAMA,OK,67
FIKER,OK,39
OMAK #1,OK,25
PATEROS #3,OK,23
PATEROS #2,OK,36
PATEROS #1,OK,35
OKANOGAN #6,OK,42
OMAK #8,OK,18
BLACK CANYON,OK,34
CANAL,OK,36
OKANOGAN #3,OK,20
OKANOGAN #1,OK,34
COLUMBIA,OK,18
OKANOGAN #7,OK,19
TWISP RURAL,OK,43
BONAPARTE,OK,30
GUSTY RIDGE,OK,32
OROVILLE #7,OK,30
ROSS CANYON,OK,48
OKANOGAN #9,OK,40
OROVILLE #4,OK,37
KIPLING,OK,30
LONGANECKER,OK,30
NORTH OMAK,OK,28
OMAK MTN,OK,21
AVIATION,OK,25
RAT LAKE,OK,29
WINTHROP #2,OK,46
OMAK #7,OK,37
OMAK #10,OK,48
TWIN LAKES,OK,65
OMAK #4,OK,31
MOLSON,OK,58
YARNELL,OK,26
WHITESTONE,OK,31
CHEWILIKEN,OK,22
COULEE DAM #4,OK,31
OMAK #3,OK,18
HAVILLAH,OK,61
OMAK #20,OK,47
PINE CREEK,OK,41
EDELWEISS,OK,52
BUFFALO LAKE,OK,20
POORMAN CREEK,OK,75
CHESAW,OK,37
PATEROS RURAL,OK,42
CAYUSE MTN,OK,25
SOURDOUGH,OK,56
HIGHWAY,OK,18
DAVIS LAKE,OK,44
LEECHER MTN,OK,55
SOUTH OROVILLE,OK,54
BEEMAN,OK,59
MYERS CREEK,OK,20
BLUE LAKE,OK,52
POGUE,OK,69
MONSE #3,OK,35
TORODA,OK,51
MONSE #1,OK,55
BOUNDARY,OK,44
OMAK #9,OK,65
TONASKET #6,OK,22
SAN POIL,OK,65
LAKE ANDREWS,OK,38
ENGH,OK,60
OKANOGAN #2,OK,45
ANTOINE CREEK,OK,28
BRIDGE CREEK,OK,31
RIVERSIDE RURAL,OK,86
SPRING COULEE,OK,53
SPECTACLE LAKE,OK,42
AIRPORT,OK,52
DULEY LAKE,OK,21
OROVILLE #9,OK,25
FLATS,OK,42
WINTHROP #1,OK,69
OROVILLE #5,OK,38
OROVILLE #6,OK,22
CROSSROADS,OK,34
OROVILLE #1,OK,40
OROVILLE #2,OK,25
OROVILLE #3,OK,25
LIBBY CREEK,OK,57
OKANOGAN RURAL,OK,31
OKANOGAN #4,OK,43
WEST RIVER,OK,27
BALKY HILL,OK,34
COPPLE,OK,54
OKANOGAN #5,OK,43
MISSION,OK,26
NESPELEM RURAL,OK,20
PATTERSON LAKE,OK,61
MCGINNIS LAKE,OK,12
HORSESHOE LAKE,OK,34
OKANOGAN #8,OK,35
NICHOLS,OK,28
CONCONULLY CITY,OK,69
ORCHARD,OK,28
ELMER CITY,OK,62
MCCLURE MTN,OK,57
ALTA LAKE,OK,37
PEARRYGIN LAKE,OK,35
COLEMAN BUTTE,OK,43
TWISP #4,OK,23
JOHNSON CREEK,OK,44
TWISP #3,OK,62
TWISP #1,OK,64
