Row Label,County,Judy Clibborn,Alex O'Neil,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
ISS 41-3554,KI,160,74,416,47,281,0,0
SAM 41-3638,KI,206,68,717,70,346,0,2
SAM 41-3507,KI,186,70,708,56,314,0,2
SAM 41-0100,KI,228,92,667,41,362,0,1
NEW 41-3241,KI,251,70,699,51,373,0,1
OVERDALE,KI,9,0,12,0,9,0,0
RNT 41-0989,KI,166,60,693,43,270,0,1
M-I 41-0769,KI,231,66,544,35,333,0,1
M-I 41-0768,KI,129,26,307,14,170,0,1
BEL 41-2970,KI,239,82,714,60,384,0,3
M-I 41-0763,KI,128,44,303,27,200,0,1
M-I 41-0762,KI,102,26,256,20,148,0,0
M-I 41-0761,KI,142,42,335,23,208,0,1
M-I 41-0767,KI,99,26,260,11,141,0,5
M-I 41-0766,KI,131,35,322,29,197,1,1
M-I 41-0765,KI,312,79,645,50,441,0,0
BEL 41-0116,KI,66,21,290,23,111,0,1
BEL 41-0117,KI,92,25,263,22,140,0,1
BEL 41-0114,KI,171,70,459,51,292,0,0
BEL 41-0120,KI,99,34,248,24,157,0,0
BEL 41-0112,KI,230,63,712,59,358,0,6
BEL 41-0113,KI,103,32,255,23,158,0,0
BEL 41-0110,KI,177,48,571,31,257,0,1
BEL 41-0111,KI,234,54,544,41,330,0,1
BEL 41-3312,KI,322,78,796,89,489,0,0
BEL 41-0119,KI,136,30,295,30,197,0,1
M-I 41-0796,KI,189,46,561,29,268,0,4
M-I 41-0797,KI,145,33,373,21,199,0,0
M-I 41-0794,KI,179,50,399,27,257,1,0
M-I 41-0795,KI,229,61,508,23,319,0,6
BEL 41-0211,KI,164,34,373,28,229,0,3
BEL 41-0210,KI,131,27,367,28,186,0,0
M-I 41-0790,KI,89,28,246,29,147,0,1
M-I 41-0791,KI,121,23,259,12,156,0,0
BEL 41-2484,KI,132,44,404,23,199,0,0
BEL 41-0219,KI,178,48,623,36,264,0,2
SAM 41-2973,KI,227,98,723,108,434,0,1
BEL 41-3140,KI,111,40,286,21,172,0,0
NEW 41-0878,KI,222,65,630,41,328,0,0
EDGEHILL,KI,24,9,67,11,44,0,0
RNT 41-1018,KI,301,103,868,60,464,0,0
ISS 41-2409,KI,537,148,1074,143,829,0,1
M-I 41-0778,KI,144,41,320,30,215,0,0
M-I 41-0779,KI,209,85,497,35,331,0,2
RNT 41-0994,KI,157,55,488,37,250,0,1
M-I 41-0770,KI,119,37,277,16,173,0,1
M-I 41-0771,KI,100,27,258,17,149,0,5
M-I 41-0773,KI,94,48,315,35,180,0,3
M-I 41-0774,KI,209,50,453,27,288,0,2
BEL 41-3371,KI,206,42,677,47,296,0,1
M-I 41-0776,KI,153,40,331,18,213,0,2
M-I 41-0777,KI,186,61,492,44,291,0,0
BEL 41-0475,KI,104,29,262,16,149,0,0
RNT 41-3438,KI,96,44,365,20,160,0,0
BEL 41-3370,KI,237,64,812,72,377,0,4
BEL 41-3658,KI,64,26,305,23,115,0,2
BEL 41-2906,KI,169,52,474,42,264,0,1
BEL 41-0472,KI,187,69,522,47,303,0,0
BEL 41-0203,KI,270,97,688,43,410,0,0
BEL 41-3657,KI,126,31,353,30,189,0,2
BEL 41-0206,KI,231,73,729,40,344,0,0
GRAFF,KI,39,18,105,7,64,0,0
BEL 41-0205,KI,100,46,288,25,171,0,0
NEW 41-0248,KI,115,50,380,15,180,0,0
NEW 41-3228,KI,164,52,470,37,254,0,1
M-I 41-2465,KI,143,37,330,25,208,0,3
NEW 41-3261,KI,170,63,503,32,267,0,2
NEW 41-3578,KI,95,31,396,29,156,0,1
SAM 41-3654,KI,176,61,475,48,287,0,2
BEL 41-0123,KI,206,71,748,46,323,0,0
BEL 41-0122,KI,127,52,391,34,213,0,0
SAM 41-2491,KI,224,81,707,56,367,0,6
BEL 41-0460,KI,221,41,506,27,289,0,0
BEL 41-2621,KI,167,42,528,41,251,0,1
M-I 41-0775,KI,212,60,491,38,313,0,3
EAGLE,KI,0,0,3,0,0,0,0
BEL 41-0175,KI,271,93,815,51,415,0,0
BEL 41-0176,KI,181,60,593,50,292,0,1
ISS 41-1208,KI,221,86,649,62,369,0,0
SAM 41-3607,KI,107,84,498,63,259,0,5
BEL 41-0179,KI,105,25,338,18,148,0,0
BEL 41-3278,KI,112,34,290,25,172,0,1
BEA 41-0099,KI,86,41,240,24,151,0,0
M-I 41-3655,KI,177,47,457,33,258,0,1
BEL 41-3680,KI,146,52,413,40,239,0,1
BEL 41-3684,KI,81,21,240,20,122,0,0
NEW 41-3227,KI,156,56,467,42,254,0,0
M-I 41-0756,KI,275,66,738,58,402,0,3
M-I 41-0757,KI,148,53,403,28,231,0,2
M-I 41-0755,KI,101,38,265,33,172,0,0
SAM 41-2469,KI,156,69,529,62,288,0,1
M-I 41-0758,KI,127,31,284,16,175,0,1
M-I 41-0759,KI,148,41,379,21,211,0,1
M-I 41-2808,KI,116,41,263,29,188,0,2
M-I 41-2809,KI,117,20,240,15,152,0,0
SAM 41-0816,KI,200,105,687,76,385,0,4
SAM 41-0909,KI,264,97,831,79,445,0,5
BEL 41-3671,KI,109,36,337,19,164,0,0
SAM 41-3384,KI,178,120,764,91,391,0,2
SAM 41-3385,KI,168,79,616,81,328,0,0
BEL 41-0658,KI,153,40,403,27,220,0,0
BEL 41-0305,KI,135,50,484,33,218,0,0
BEL 41-0011,KI,68,27,346,22,117,0,0
BEL 41-0017,KI,183,54,594,31,270,0,2
RNT 41-1017,KI,120,48,370,15,183,0,0
BEL 41-0815,KI,99,33,405,21,155,0,2
BEL 41-3695,KI,121,38,390,22,183,0,2
BEL 41-0408,KI,81,36,212,19,136,0,0
BEL 41-2936,KI,199,36,485,29,264,0,0
BEL 41-3291,KI,121,17,292,21,159,0,0
BEL 41-2935,KI,175,46,526,43,264,0,0
BEL 41-3593,KI,115,43,534,23,182,0,1
BEL 41-2447,KI,181,77,527,45,303,0,0
BEL 41-1026,KI,201,76,652,43,323,0,3
ISS 41-2733,KI,283,99,843,76,462,0,4
M-I 41-0792,KI,118,47,297,20,186,0,1
BEL 41-3608,KI,212,98,714,39,349,0,0
M-I 41-0785,KI,167,51,380,24,243,0,1
M-I 41-0793,KI,226,73,596,65,366,0,2
ISS 41-2692,KI,115,53,382,41,215,0,6
SAM 41-3214,KI,146,52,435,41,241,0,2
SAM 41-3215,KI,200,86,814,62,348,0,0
NEW 41-3529,KI,144,59,569,43,249,0,3
NEW 41-3528,KI,113,43,420,26,182,0,0
NEW 41-3681,KI,117,48,386,37,202,0,0
BEL 41-2945,KI,217,38,548,41,296,0,0
BEL 41-2943,KI,285,73,828,75,434,0,1
RNT 41-0995,KI,218,77,740,46,346,0,5
BEL 41-3583,KI,228,103,675,55,386,0,0
RNT 41-0993,KI,193,78,703,47,321,0,3
RNT 41-1010,KI,135,58,416,23,219,0,3
BEL 41-0129,KI,107,21,316,20,148,0,0
BEL 41-2782,KI,52,19,183,10,81,0,0
BEL 41-1235,KI,117,37,334,24,180,0,2
BEL 41-0124,KI,223,42,505,42,308,0,1
BEL 41-3225,KI,166,43,539,35,245,0,1
BEL 41-0733,KI,222,54,718,37,315,0,2
BEL 41-0121,KI,151,55,501,23,231,0,2
BEL 41-3226,KI,171,61,531,46,278,0,0
SAM 41-1130,KI,148,71,651,63,283,0,1
BEL 41-0128,KI,195,59,494,41,295,0,0
SAM 41-2690,KI,155,53,526,62,271,0,1
M-I 41-2445,KI,191,51,496,48,292,0,2
