Row Label,County,David A. Steiner,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
ISS 41-3554,KI,153,416,128,281,0,0
RIVERBEND,KI,170,762,172,345,0,3
N-B 05-2683,KI,187,706,153,351,0,11
PROVAN,KI,168,551,171,340,0,1
TWIN PEAKS,KI,187,700,210,401,0,4
BEL 48-1023,KI,100,322,104,206,0,2
KIR 48-2731,KI,115,483,117,233,0,1
SAM 45-3293,KI,182,661,197,382,0,3
SAM 41-0816,KI,183,687,199,385,0,3
SAM 45-3298,KI,162,523,133,297,0,2
BEL 41-0211,KI,112,373,116,229,0,1
BEL 41-0210,KI,86,367,98,186,0,2
KIR 01-2678,KI,214,695,158,375,0,3
BEL 41-0219,KI,145,623,118,264,0,1
SAM 41-2973,KI,209,723,225,434,0,0
KIR 01-2923,KI,163,642,143,311,0,5
MED 48-0750,KI,186,661,202,389,0,1
MED 48-0751,KI,193,510,138,331,0,0
BEL 48-2559,KI,140,431,117,259,0,2
RED 48-3208,KI,86,415,69,156,0,1
SAM 45-2575,KI,274,770,216,496,0,6
WINTERGREEN,KI,95,279,66,161,0,0
WOD 45-2680,KI,210,627,172,384,0,2
ISS 05-0550,KI,88,300,78,172,0,6
KIR 45-2730,KI,163,686,134,298,0,1
GRAFF,KI,32,105,32,64,0,0
RED 48-3664,KI,128,594,112,243,0,3
BEL 41-2782,KI,49,183,31,81,0,1
KIR 48-2788,KI,103,354,112,215,0,0
KIR 48-2922,KI,99,504,142,242,0,1
KIR 45-0554,KI,113,451,86,200,0,1
NEW 41-3578,KI,90,396,65,156,0,1
KIR 45-2679,KI,177,614,202,379,0,0
ISS 05-2461,KI,211,572,151,364,0,2
N-B 05-0858,KI,100,469,120,222,0,2
RED 48-2640,KI,119,356,89,208,0,0
SEAN,KI,192,690,175,367,0,0
HOLLYMORE,KI,182,525,150,337,0,5
KIR 45-2471,KI,267,720,182,453,0,4
ISABELLA,KI,230,660,178,409,0,1
KIR 01-3422,KI,147,546,119,266,0,0
MOUNT CLARE,KI,205,571,142,348,0,1
ALDARRA,KI,211,711,223,434,0,0
EDGEHILL,KI,21,67,22,44,0,1
BIG BEND,KI,57,216,67,124,0,0
BEL 48-2412,KI,97,308,70,168,0,1
RED 48-2628,KI,110,472,100,211,0,1
KIR 45-2786,KI,116,351,120,236,0,0
TIGER MTN,KI,217,742,228,447,0,2
SHANGRI-LA,KI,121,394,109,233,0,3
RED 45-3315,KI,305,705,198,503,0,0
BEL 48-2778,KI,90,243,58,148,0,0
BEL 48-2773,KI,73,287,69,142,0,0
BEL 48-2772,KI,106,345,97,205,0,2
BEL 48-2777,KI,61,229,28,89,0,0
BEL 48-2776,KI,157,495,114,274,0,3
BEL 48-2775,KI,132,478,129,264,0,3
BEL 48-2774,KI,109,434,75,186,0,2
BEL 41-3671,KI,96,337,67,164,0,1
COUNTRYSIDE,KI,165,667,115,280,0,0
SAM 41-3384,KI,212,764,178,391,0,1
SAM 41-3385,KI,172,616,153,328,0,3
M-I 41-0756,KI,214,738,185,402,0,3
SNQ 05-3511,KI,242,860,234,477,0,1
M-I 41-0757,KI,108,403,122,231,0,1
KIR 45-3198,KI,104,492,75,182,0,3
KIR 45-3199,KI,121,416,120,241,0,0
BEL 41-3695,KI,99,390,82,183,0,2
ISS 05-3634,KI,85,422,103,190,0,2
BOT 01-1207,KI,151,553,131,282,0,0
