Row Label,County,Adam Smith,Doug Basler
27-471,PI,13,4
27-477,PI,259,301
27-476,PI,277,118
27-475,PI,321,181
27-462,PI,352,236
27-463,PI,257,181
27-460,PI,365,229
27-461,PI,395,255
27-448,PI,10,9
27-467,PI,274,203
27-464,PI,322,179
27-465,PI,236,208
27-466,PI,275,176
27-468,PI,273,165
Total,PI,3629,2445
