Row Label,County,Skip Moore
210,CH,217
1149,CH,27
133,CH,225
132,CH,23
131,CH,36
136,CH,4
135,CH,363
134,CH,371
490,CH,574
540,CH,344
163,CH,19
1151,CH,2
1150,CH,6
710,CH,245
120,CH,187
121,CH,182
122,CH,110
123,CH,26
124,CH,40
125,CH,360
126,CH,44
127,CH,77
128,CH,40
129,CH,132
410,CH,289
530,CH,414
590,CH,338
310,CH,140
190,CH,26
115,CH,24
114,CH,244
116,CH,94
111,CH,58
110,CH,193
113,CH,36
112,CH,18
520,CH,559
420,CH,307
580,CH,259
440,CH,460
100,CH,6
510,CH,212
430,CH,416
450,CH,384
330,CH,246
175,CH,419
174,CH,239
173,CH,14
172,CH,11
171,CH,10
730,CH,380
182,CH,272
183,CH,153
181,CH,315
560,CH,357
460,CH,362
164,CH,133
165,CH,83
161,CH,27
162,CH,21
220,CH,263
720,CH,345
151,CH,3
150,CH,37
153,CH,495
152,CH,3
155,CH,147
154,CH,420
157,CH,352
156,CH,47
159,CH,8
158,CH,165
320,CH,219
146,CH,65
147,CH,353
144,CH,16
145,CH,18
142,CH,28
143,CH,3
140,CH,106
141,CH,8
610,CH,255
148,CH,148
149,CH,170
480,CH,382
Total,CH,15229
