Row Label,County,Marsha Weyand
DAMMAN,KS,282
VANTAGE,KS,22
PARK,KS,306
TEANAWAY,KS,244
ELLENSBURG 20,KS,58
CLE ELUM 4,KS,204
ELLENSBURG 22,KS,141
ELLENSBURG 23,KS,160
CLE ELUM 1,KS,137
ELLENSBURG 25,KS,274
CLE ELUM 3,KS,37
CLE ELUM 2,KS,87
SOUTH CLE ELUM,KS,144
FAIRVIEW,KS,182
RONALD,KS,106
NORTHEAST FAIRVIEW,KS,281
ELLENSBURG 24,KS,293
ELLENSBURG 9,KS,68
ELLENSBURG 8,KS,58
RIDGEWAY,KS,412
ELLENSBURG 1,KS,36
ELLENSBURG 2,KS,55
ELLENSBURG 5,KS,56
ELLENSBURG 4,KS,28
ELLENSBURG 7,KS,42
ELLENSBURG 6,KS,45
EAST SANDERS,KS,279
THRALL,KS,251
ELLENSBURG 21,KS,96
MOUNTAIN,KS,98
HYAK,KS,69
ROSLYN 1,KS,112
ROSLYN 2,KS,77
KITTITAS 1,KS,116
KACHESS,KS,75
MANASTASH,KS,216
DENMARK,KS,389
ROSLYN OUTLYING,KS,45
SOUTH ELLENSBURG,KS,344
DRY CREEK,KS,303
NORTH CENTRAL,KS,229
ELLENSBURG 11,KS,95
ELLENSBURG 10,KS,93
ELLENSBURG 13,KS,70
ELLENSBURG 12,KS,81
ELLENSBURG 15,KS,123
ELLENSBURG 14,KS,104
ELLENSBURG 17,KS,153
ELLENSBURG 16,KS,197
ELLENSBURG 19,KS,221
ELLENSBURG 18,KS,29
WESTSIDE,KS,309
EASTON,KS,267
PEOH POINT,KS,248
SANDERS,KS,116
KITTITAS 2,KS,132
NORTH ELLENSBURG,KS,359
THORP,KS,239
SWAUK,KS,158
Total,KS,9451
