Row Label,County,Tom Dent,Dannette (Dani) Bolyard
Ephrata 7 012,GR,155,148
Hartline Rural S 020,GR,12,14
Moses Lake 5 029,GR,185,125
Ephrata 9 013,GR,282,225
Beverly 002,GR,25,8
East Wahluke 061,GR,63,27
Royal City 044,GR,68,48
Lakeview Park 021,GR,138,139
Moses Lake 9  068,GR,225,115
Block 71 003,GR,343,198
Wilson Crk Rural 056,GR,26,4
Ephrata Rural E,GR,154,123
Moses Lake 7 033,GR,229,165
George 015,GR,16,22
Mae 023,GR,523,274
Ruff 045,GR,39,15
Cascade Valley 058,GR,349,208
Westslope 1 053,GR,60,42
Moses Lake 1 066,GR,145,82
Smyrna 2 060,GR,22,2
McConihe 2 063,GR,84,69
Moses Lake 4 031,GR,158,130
Cascade Fairgrnd 004,GR,127,104
Warden 050,GR,112,62
Ephrata 5 008,GR,152,115
Quincy 4 040,GR,61,74
Ephrata 4 011,GR,227,176
Quincy 1 039,GR,150,101
Stratford 049,GR,31,15
McConihe 1 028,GR,113,80
Marlin Rural 025,GR,27,22
Coulee Cty Rur W 006,GR,38,48
Coulee Cty Rur E 062,GR,4,18
Moses Lake 6 032,GR,267,192
Wheeler 2 070,GR,420,204
Longview 022,GR,211,161
Greenfield 065,GR,26,27
Mattawa Rural 027,GR,255,188
Airport 2 057,GR,107,87
Airport 1 001,GR,137,105
O Sullivan Dam 1 038,GR,343,139
Gloyd 017,GR,174,107
Smyrna 1 046,GR,90,27
Westslope 2 059,GR,61,19
Moses Lake 3 030,GR,275,207
Mattawa 026,GR,23,16
O Sullivan Dam 2 069,GR,413,229
Quincy Rural S 064,GR,351,162
Moses Lake 12 036,GR,221,133
Ephrata 3 010,GR,131,106
Wheeler 1 054,GR,143,83
Warden Rural 051,GR,248,143
George Rural 016,GR,318,180
Moses Lake 2 067,GR,142,111
Quincy 6 041,GR,276,149
Marlin 024,GR,13,5
Wilson Creek 055,GR,36,37
Moses Lake 8 034,GR,307,189
Soap Lake Rur E ,GR,48,46
Royal Camp 043,GR,291,154
Total,GR,10211,6595
Ephrata 2 009,GR,183,156
Moses Lake 11 035,GR,358,235
