Row Label,County,Zack Hudgins,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
RNT 11-2475,KI,184,654,102,292,0,6
TIMBER,KI,223,664,123,358,0,12
SEA 11-3491,KI,0,0,0,0,0,0
SEA 11-1928,KI,102,298,39,145,0,4
SUNSET,KI,58,230,59,121,0,4
MORGAN,KI,192,631,104,305,0,9
SEA 11-1597,KI,310,909,94,410,0,6
RNT 11-3359,KI,144,487,37,188,0,7
TUK 11-3614,KI,20,56,8,28,0,0
RNT 11-0992,KI,93,295,31,127,0,3
RNT 11-0990,KI,145,448,49,199,0,5
RNT 11-3404,KI,136,556,87,232,0,9
RNT 11-0996,KI,158,562,91,257,0,8
RNT 11-0997,KI,225,875,95,328,0,8
RNT 11-3224,KI,148,457,56,214,0,10
RNT 11-3643,KI,125,363,52,180,0,3
RNT 11-1125,KI,173,661,91,268,0,4
RNT 11-0998,KI,128,363,37,171,0,6
RNT 11-2854,KI,150,583,66,225,0,9
MERRIHILL,KI,204,687,109,324,0,11
FAIRVILLE,KI,186,575,108,298,0,4
KEN 11-3331,KI,124,456,35,166,0,7
RNT 11-0738,KI,96,444,42,141,0,3
RNT 11-0539,KI,126,475,48,178,0,4
SEA 11-1600,KI,186,550,70,257,0,1
RNT 11-0031,KI,206,660,88,298,0,4
SEA 11-1602,KI,213,598,69,288,0,6
BRIGID,KI,109,320,54,168,0,5
RNT 11-2844,KI,253,845,93,354,0,8
BRIAR,KI,181,521,94,283,0,8
TUK 11-3233,KI,132,457,41,178,0,5
RNT 11-0502,KI,217,703,126,346,0,3
JUTLAND,KI,30,85,10,40,0,0
CARRIAGE,KI,144,399,78,230,0,8
RNT 11-0404,KI,178,598,94,281,0,9
SEA 11-1639,KI,140,551,53,193,0,0
