Row Label,County,Richard DeBolt,Michael Savoca
Salzer,LE,131,38
Napavine #2,LE,0,0
Packwood,LE,67,31
Napavine #5,LE,0,0
Napavine #6,LE,0,0
Napavine #1,LE,324,127
Union,LE,201,54
Paradise,LE,30,24
Napavine #4,LE,0,0
Mossyrock,LE,101,39
Independence,LE,53,23
Sommerville,LE,54,10
Greenwood,LE,13,4
Stearns Creek,LE,103,39
Elk Crk,LE,98,33
Stillwater East,LE,60,36
Agate,LE,138,52
Skookumchuck,LE,261,97
Silver Creek,LE,237,109
Meskill,LE,55,16
Onalaska,LE,473,203
Jackson,LE,319,127
Napavine #3(*),LE,0,0
Toledo,LE,107,71
Chehalis #9,LE,8,4
Chehalis #8,LE,186,86
Harmony,LE,261,91
Chehalis #1,LE,166,86
Chehalis #3,LE,148,55
Chehalis #2,LE,120,65
Chehalis #5,LE,124,39
Chehalis #4,LE,111,82
Chehalis #7,LE,52,9
Evaline East,LE,91,43
Centralia #2,LE,267,139
Centralia #3,LE,114,40
Centralia #1,LE,111,46
Centralia #6,LE,213,110
Centralia #7,LE,122,44
Centralia #4,LE,163,73
Centralia #5,LE,112,50
Centralia #8,LE,136,65
Centralia #9,LE,284,94
Mineral,LE,137,59
Salkum,LE,231,55
Randle West,LE,178,79
Ethel,LE,359,109
Fair,LE,0,0
Mellen(*),LE,0,0
Parcuvia,LE,230,55
Pe Ell,LE,118,67
Newaukum,LE,278,63
Forest,LE,286,102
Dryad,LE,81,31
Temple,LE,194,116
Cowlitz,LE,402,151
Drews Prairie,LE,128,47
Seminary Hill,LE,140,62
Klickitat,LE,164,54
Verndale,LE,216,111
Cinebar,LE,227,83
Whealdon,LE,200,52
Sears,LE,201,56
Adna ,LE,499,130
Big Bottom,LE,239,135
Fords Prairie,LE,306,77
Jackson North,LE,0,0
Claquato,LE,255,98
Vader,LE,94,58
Logan,LE,252,96
Alpha,LE,332,147
Berwick,LE,415,98
Chehalis #6,LE,272,77
Lincoln Creek,LE,244,55
Randle East,LE,234,94
Salmon Creek,LE,404,167
Emery North(*),LE,0,0
Winlock,LE,175,91
Prescott,LE,496,208
Total,LE,14858,5701
Kelly,LE,0,0
Roswell,LE,4,8
Centralia #10,LE,97,45
Centralia #11,LE,242,141
Centralia #12,LE,367,81
Centralia #13,LE,336,115
Morton,LE,204,72
