Row Label,County,Gary Warnock
Yelm 1,TH,209
Griffin,TH,214
Kaiser,TH,116
Smith Prairie,TH,256
Olympia 01,TH,213
Lacey 29,TH,259
Scott Lake South,TH,187
Tri Lakes,TH,143
Woodland,TH,200
Plumb,TH,253
Montgomery,TH,131
Olympia 10,TH,247
Summerset,TH,379
Olympia 12,TH,126
Olympia 13,TH,237
Pleasant Hill,TH,245
Olympia 15,TH,172
Smith Lake,TH,233
Olympia 17,TH,161
Olympia 18,TH,210
Rocky Prairie,TH,155
Tumwater 05,TH,162
Scatter Creek,TH,172
Lacey 06,TH,86
Henderson,TH,332
Mullen,TH,271
Marvin,TH,258
Rochester 4,TH,172
Rochester 5,TH,242
Rochester 2,TH,208
Rochester 3,TH,226
French,TH,257
Rochester 1,TH,281
Tumwater 11,TH,307
Evergreen Ballroom,TH,298
Littlerock,TH,356
Lacey 10,TH,272
Skookumchuck,TH,227
Delphi,TH,235
Tolmie,TH,96
St Clair,TH,210
Olympia 58,TH,226
Tenino 01,TH,148
James,TH,186
Tumwater 10,TH,295
Lacey 14,TH,84
Olympia 07,TH,134
Olympia 06,TH,360
Olympia 05,TH,207
Olympia 04,TH,215
Olympia 03,TH,230
Olympia 02,TH,221
Plainview,TH,360
Lacey 27,TH,187
Delridge,TH,65
Military,TH,101
Lacey 16,TH,218
Lacey 39,TH,355
Olympia 09,TH,395
Sweet Briar,TH,331
Rainier 01,TH,174
Puget,TH,287
Olympia 11,TH,198
Vail,TH,283
Stedman,TH,161
Tumwater 13,TH,95
Zenkner Valley,TH,50
Trailblazer,TH,96
Libby,TH,191
Lackamas,TH,94
Broadway,TH,313
Johnson Point,TH,292
Sleater Kinney,TH,204
Medicine Creek,TH,110
Lacey 42,TH,72
Olympia 16,TH,45
Tumwater 12,TH,234
Prine,TH,44
Long Lake,TH,64
Lacey 33,TH,118
Olympia 53,TH,211
Lacey 31,TH,165
Lacey 30,TH,310
Greenridge,TH,154
Lacey 36,TH,131
Rich,TH,187
Olympia 19,TH,200
Butler Cove,TH,229
Lacey 34,TH,131
Mud Bay,TH,224
Olympia 14,TH,215
Mclane,TH,189
Tumwater 15,TH,263
Lawrence Lake,TH,285
Lacey 45,TH,117
Olympia 38,TH,67
Tilley,TH,276
Yelm 3,TH,243
Hunter Point,TH,152
Skokomish,TH,196
Schneiders Prairie,TH,194
Grand Mound,TH,106
Alpine,TH,403
Hays,TH,173
Luhr Beach,TH,250
Berry Valley,TH,193
Freedom,TH,316
Morris,TH,250
Lacey 07,TH,175
Lacey 04,TH,112
Lacey 05,TH,138
Lacey 02,TH,161
Lacey 03,TH,185
Deschutes,TH,269
Olympia 50,TH,187
Tumwater 28,TH,307
Tumwater 29,TH,0
Friendly Grove,TH,132
Olympia 51,TH,47
Fair Oaks,TH,179
Woodard Creek,TH,201
Pines,TH,182
Scott Lake North,TH,105
Mushroom Corner,TH,236
Tumwater 14,TH,111
Yelm 2,TH,219
Deerbrush,TH,265
Henness,TH,333
Lacey 09,TH,120
Kinwood,TH,207
Rainier 02,TH,148
Summit Lake,TH,187
Lacey 19,TH,144
Lacey 18,TH,240
Simmons 9,TH,5
Lacey 11,TH,219
Simmons 4,TH,11
Lacey 13,TH,124
Lacey 01,TH,97
Lacey 15,TH,203
Gull Harbor,TH,160
Simmons 3,TH,10
Simmons 2,TH,4
Spurgeon Creek,TH,103
Black River,TH,338
Forest,TH,334
Olympia 24,TH,202
Quince,TH,4
Meadows,TH,187
Pattison,TH,241
Olympia 54,TH,146
Olympia 55,TH,125
Olympia 56,TH,209
Olympia 57,TH,118
Tykle Cove,TH,227
Mcallister Creek,TH,207
Olympia 52,TH,129
Mcintosh,TH,402
Tenino 02,TH,171
Olympia 39,TH,217
Steamboat Island,TH,207
Olympia 20,TH,115
Lacey 08,TH,133
Lacey 41,TH,197
Delta,TH,0
Ames,TH,206
Jones Beach,TH,142
Pleasant Glade,TH,146
Lacey 35,TH,83
Evergreen Shores,TH,200
Hewitt Lake,TH,294
Tumwater 08,TH,271
Olympia 60,TH,150
Tumwater 06,TH,380
Tumwater 07,TH,184
Tumwater 04,TH,155
Beach Crest,TH,179
Tumwater 02,TH,228
Tumwater 03,TH,252
Roosevelt,TH,278
Tumwater 01,TH,168
University North,TH,90
Olympia 49,TH,251
Olympia 48,TH,276
Bush Prairie,TH,62
Olympia 43,TH,254
Olympia 42,TH,140
Olympia 41,TH,214
Olympia 40,TH,196
Olympia 47,TH,265
Olympia 46,TH,215
Olympia 45,TH,144
Olympia 44,TH,126
Holmes,TH,211
Cooper Point,TH,226
Ruth Prairie,TH,116
Hawks Ridge,TH,107
Weir Prairie,TH,227
Wilderness,TH,318
Lacey 32,TH,231
Camelot,TH,148
University South,TH,131
Lacey 24,TH,284
Gallagher Cove,TH,362
Lacey 17,TH,218
Total,TH,55515
College,TH,36
Bigelow,TH,212
Lacey 37,TH,71
Olympia 08,TH,209
Beaver Creek,TH,413
Oyster Bay,TH,262
Eaton Creek,TH,140
Lacey 28,TH,130
Olympia 25,TH,170
Four Corners,TH,351
South Bay,TH,274
Indian Summer,TH,264
Longmire,TH,165
Tumwater 24,TH,163
Olympia 59,TH,200
Clear Lake,TH,367
Airport,TH,18
Thompson,TH,161
Bucoda,TH,101
Glen Terra,TH,73
Frye Cove,TH,262
Cougar Mountain,TH,59
Mckinley,TH,81
Olympia 37,TH,149
Gibson Valley,TH,25
Olympia 35,TH,422
Black Lake,TH,299
Scheller,TH,109
Olympia 30,TH,194
Olympia 31,TH,182
Sunwood Lakes,TH,369
Lydia Hawk,TH,395
Lacey 23,TH,93
Olympia 32,TH,286
Michigan Hill,TH,106
Tumwater 09,TH,152
Yelm 4,TH,241
Lacey 48,TH,145
Zangle,TH,227
Fish Trap,TH,191
East Olympia,TH,219
Munn Lake,TH,133
Sunset Beach,TH,270
Olympia 27,TH,113
Lacey 43,TH,263
Lacey 40,TH,271
Fristoe,TH,160
Lacey 46,TH,487
Lacey 47,TH,369
Lacey 44,TH,98
Hicks,TH,40
Salmon Creek,TH,144
Lacey 49,TH,133
Wards,TH,108
South Union,TH,301
Boston Harbor,TH,297
Olympia 29,TH,255
Olympia 28,TH,234
Trails End,TH,422
Hartwood,TH,373
Waddell Creek,TH,198
Fleetwood,TH,316
Olympia 26,TH,194
Olympia 21,TH,315
Bald Hills,TH,73
Olympia 23,TH,253
Violet Prairie,TH,274
Lacey 20,TH,82
Hawk Acres,TH,149
Tumwater 27,TH,221
Lacey 21,TH,106
Lakeside,TH,123
Lacey 22,TH,149
Olympia 36,TH,90
Glenwood,TH,93
Chambers,TH,383
Nisqually,TH,189
