Row Label,County,Donna Tucker,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
ISS 41-3554,KI,154,416,127,281,0,0
RIVERBEND,KI,173,762,169,345,0,3
N-B 05-2683,KI,186,706,156,351,0,9
PROVAN,KI,164,551,174,340,0,2
TWIN PEAKS,KI,189,700,210,401,0,2
BEL 48-1023,KI,99,322,104,206,0,3
KIR 48-2731,KI,118,483,114,233,0,1
SAM 45-3293,KI,184,661,195,382,0,3
SAM 41-0816,KI,185,687,197,385,0,3
SAM 45-3298,KI,165,523,131,297,0,1
BEL 41-0211,KI,114,373,111,229,0,4
BEL 41-0210,KI,89,367,96,186,0,1
KIR 01-2678,KI,214,695,159,375,0,2
BEL 41-0219,KI,148,623,115,264,0,1
SAM 41-2973,KI,208,723,226,434,0,0
KIR 01-2923,KI,167,642,139,311,0,5
MED 48-0750,KI,189,661,198,389,0,2
MED 48-0751,KI,189,510,142,331,0,0
BEL 48-2559,KI,142,431,115,259,0,2
RED 48-3208,KI,90,415,66,156,0,0
SAM 45-2575,KI,281,770,212,496,0,3
WINTERGREEN,KI,91,279,70,161,0,0
WOD 45-2680,KI,208,627,174,384,0,2
ISS 05-0550,KI,86,300,79,172,0,7
KIR 45-2730,KI,166,686,131,298,0,1
GRAFF,KI,30,105,34,64,0,0
RED 48-3664,KI,132,594,108,243,0,3
BEL 41-2782,KI,49,183,31,81,0,1
KIR 48-2788,KI,102,354,113,215,0,0
KIR 48-2922,KI,101,504,140,242,0,1
KIR 45-0554,KI,112,451,87,200,0,1
NEW 41-3578,KI,92,396,63,156,0,1
KIR 45-2679,KI,179,614,199,379,0,1
ISS 05-2461,KI,215,572,148,364,0,1
N-B 05-0858,KI,101,469,119,222,0,2
RED 48-2640,KI,121,356,87,208,0,0
SEAN,KI,197,690,170,367,0,0
HOLLYMORE,KI,185,525,148,337,0,4
KIR 45-2471,KI,264,720,184,453,0,5
ISABELLA,KI,235,660,173,409,0,1
KIR 01-3422,KI,146,546,120,266,0,0
MOUNT CLARE,KI,197,571,149,348,0,2
ALDARRA,KI,215,711,219,434,0,0
EDGEHILL,KI,23,67,20,44,0,1
BIG BEND,KI,60,216,64,124,0,0
BEL 48-2412,KI,98,308,69,168,0,1
RED 48-2628,KI,112,472,98,211,0,1
KIR 45-2786,KI,120,351,116,236,0,0
TIGER MTN,KI,224,742,222,447,0,1
SHANGRI-LA,KI,119,394,111,233,0,3
RED 45-3315,KI,301,705,201,503,0,1
BEL 48-2778,KI,93,243,55,148,0,0
BEL 48-2773,KI,73,287,69,142,0,0
BEL 48-2772,KI,107,345,96,205,0,2
BEL 48-2777,KI,60,229,29,89,0,0
BEL 48-2776,KI,160,495,112,274,0,2
BEL 48-2775,KI,133,478,128,264,0,3
BEL 48-2774,KI,109,434,75,186,0,2
BEL 41-3671,KI,96,337,66,164,0,2
COUNTRYSIDE,KI,173,667,107,280,0,0
SAM 41-3384,KI,212,764,178,391,0,1
SAM 41-3385,KI,176,616,149,328,0,3
M-I 41-0756,KI,220,738,179,402,0,3
SNQ 05-3511,KI,239,860,237,477,0,1
M-I 41-0757,KI,110,403,120,231,0,1
KIR 45-3198,KI,106,492,74,182,0,2
KIR 45-3199,KI,124,416,117,241,0,0
BEL 41-3695,KI,100,390,82,183,0,1
ISS 05-3634,KI,87,422,101,190,0,2
BOT 01-1207,KI,154,553,128,282,0,0
HOLLYWOOD,KI,179,538,180,359,0,0
BEL 41-3593,KI,105,534,76,182,0,1
CAR 05-0290,KI,126,512,149,276,0,1
M-I 41-0759,KI,105,379,105,211,0,1
BEL 48-0188,KI,113,472,129,244,0,2
BEL 48-0189,KI,117,523,114,232,0,1
BEL 48-0186,KI,66,277,96,165,0,3
BROOKSIDE,KI,161,548,184,345,0,0
RING HILL,KI,241,757,243,488,0,4
ISS 41-2733,KI,248,843,210,462,0,4
KIR 45-3109,KI,139,469,91,230,0,0
BEL 41-3608,KI,195,714,154,349,0,0
KIR 45-3450,KI,59,251,66,125,0,0
SAM 41-2690,KI,136,526,135,271,0,0
RIDGE,KI,240,669,149,393,0,4
KINGLET,KI,117,532,110,227,0,0
SAM 45-3454,KI,73,233,43,116,0,0
KIR 01-3678,KI,102,349,90,193,0,1
WOD 45-3270,KI,165,612,132,298,0,1
ISS 05-3527,KI,152,587,95,249,0,2
BOT 01-3661,KI,144,528,99,245,0,2
BEL 41-1235,KI,90,334,90,180,0,0
