Row Label,County,Maggie Ross
28-559,PI,325
28-558,PI,317
28-551,PI,470
28-550,PI,281
28-553,PI,411
28-552,PI,426
28-555,PI,436
28-554,PI,386
28-557,PI,306
28-556,PI,318
02-115,PI,279
02-114,PI,174
02-117,PI,341
02-116,PI,345
02-111,PI,257
25-291,PI,78
02-113,PI,237
02-112,PI,195
02-143,PI,246
25-290,PI,31
02-119,PI,210
02-118,PI,211
31-823,PI,192
31-822,PI,218
31-827,PI,74
31-826,PI,302
31-825,PI,251
31-824,PI,0
31-829,PI,246
31-828,PI,260
26-302,PI,517
26-303,PI,461
26-301,PI,143
26-304,PI,523
26-305,PI,485
31-892,PI,179
31-893,PI,0
31-890,PI,162
27-471,PI,13
31-891,PI,92
27-475,PI,289
27-477,PI,327
27-476,PI,236
31-896,PI,4
31-897,PI,126
31-894,PI,39
31-895,PI,215
31-856,PI,217
31-857,PI,136
31-854,PI,140
31-855,PI,179
31-853,PI,48
31-919,PI,260
31-917,PI,351
31-916,PI,240
31-915,PI,50
31-914,PI,201
31-913,PI,104
31-912,PI,199
31-911,PI,154
31-910,PI,230
29-653,PI,294
29-652,PI,32
29-651,PI,353
29-650,PI,318
29-657,PI,4
29-656,PI,283
29-655,PI,126
29-654,PI,329
29-659,PI,173
29-658,PI,284
25-208,PI,407
25-209,PI,389
25-201,PI,418
25-202,PI,332
25-203,PI,397
25-204,PI,335
25-205,PI,394
25-206,PI,246
28-590,PI,13
29-626,PI,7
29-627,PI,0
29-624,PI,0
29-625,PI,5
29-622,PI,237
29-623,PI,70
29-620,PI,172
29-621,PI,0
02-159,PI,194
02-158,PI,263
02-151,PI,105
02-150,PI,283
02-153,PI,263
02-152,PI,334
02-155,PI,327
02-154,PI,261
02-157,PI,390
02-156,PI,400
27-408,PI,397
27-409,PI,388
27-401,PI,190
27-404,PI,126
27-405,PI,377
27-406,PI,472
27-407,PI,370
28-520,PI,416
28-521,PI,434
28-522,PI,435
28-523,PI,424
28-524,PI,455
28-525,PI,479
28-526,PI,301
28-527,PI,504
28-528,PI,421
28-529,PI,328
31-818,PI,78
31-819,PI,128
31-813,PI,137
31-810,PI,155
31-816,PI,247
31-817,PI,310
31-814,PI,39
31-815,PI,213
26-351,PI,359
26-350,PI,371
26-352,PI,357
31-926,PI,7
31-927,PI,228
31-924,PI,160
31-925,PI,72
25-248,PI,420
25-249,PI,375
31-920,PI,207
31-921,PI,213
25-244,PI,429
25-245,PI,2
25-246,PI,32
25-247,PI,328
25-240,PI,158
25-241,PI,201
25-242,PI,402
25-243,PI,294
02-110,PI,203
29-668,PI,243
29-669,PI,314
29-662,PI,0
29-663,PI,286
29-660,PI,378
29-661,PI,263
29-667,PI,324
29-664,PI,303
28-565,PI,310
28-566,PI,331
28-567,PI,341
28-560,PI,431
28-561,PI,249
28-562,PI,220
28-563,PI,120
28-568,PI,351
02-148,PI,344
02-120,PI,279
02-121,PI,339
02-122,PI,351
02-123,PI,354
02-124,PI,280
02-125,PI,264
02-126,PI,341
02-127,PI,203
02-128,PI,356
02-129,PI,213
02-142,PI,237
26-315,PI,416
26-317,PI,403
26-316,PI,445
26-319,PI,339
26-318,PI,332
27-448,PI,11
27-449,PI,337
27-444,PI,296
27-445,PI,285
27-446,PI,296
27-447,PI,315
27-440,PI,344
27-441,PI,290
27-442,PI,232
27-443,PI,246
31-845,PI,234
31-844,PI,172
31-847,PI,133
31-846,PI,109
31-841,PI,137
31-840,PI,121
31-843,PI,179
31-842,PI,226
31-849,PI,97
31-848,PI,40
25-217,PI,414
25-216,PI,252
25-215,PI,355
25-213,PI,421
25-212,PI,390
25-211,PI,361
25-210,PI,492
25-219,PI,385
25-218,PI,382
29-671,PI,275
29-670,PI,329
29-675,PI,328
29-677,PI,308
29-676,PI,299
29-635,PI,79
31-883,PI,331
29-637,PI,279
29-636,PI,361
29-633,PI,27
29-639,PI,290
29-638,PI,153
31-882,PI,245
28-538,PI,355
28-537,PI,419
28-536,PI,391
28-535,PI,426
28-531,PI,370
28-530,PI,194
30-713,PI,4
31-809,PI,262
31-808,PI,244
31-801,PI,181
31-803,PI,289
31-802,PI,252
31-805,PI,278
31-804,PI,260
31-807,PI,3
31-806,PI,319
25-293,PI,338
27-417,PI,396
27-416,PI,391
27-415,PI,419
27-414,PI,389
27-413,PI,369
27-412,PI,360
27-411,PI,436
27-410,PI,389
31-898,PI,285
31-899,PI,158
27-419,PI,358
27-418,PI,354
25-292,PI,371
25-259,PI,361
25-258,PI,373
25-253,PI,234
25-252,PI,339
25-251,PI,308
25-250,PI,149
25-257,PI,307
25-256,PI,331
25-255,PI,231
25-254,PI,216
Total,PI,133620
29-679,PI,261
29-678,PI,248
25-228,PI,374
25-226,PI,256
25-227,PI,197
29-673,PI,337
29-672,PI,192
25-222,PI,280
29-674,PI,105
25-220,PI,2
25-221,PI,359
30-708,PI,228
28-573,PI,231
28-572,PI,339
28-571,PI,6
28-570,PI,5
28-577,PI,12
28-576,PI,328
28-575,PI,2
28-574,PI,79
28-579,PI,63
28-578,PI,73
02-139,PI,305
02-138,PI,415
02-137,PI,164
02-136,PI,58
02-135,PI,356
02-134,PI,382
02-133,PI,95
02-131,PI,392
02-130,PI,188
27-428,PI,319
27-429,PI,343
27-426,PI,337
27-427,PI,328
27-424,PI,345
27-425,PI,315
27-422,PI,477
27-423,PI,392
27-420,PI,420
27-421,PI,313
26-328,PI,306
26-329,PI,393
26-324,PI,406
26-325,PI,347
26-326,PI,423
26-327,PI,399
26-320,PI,373
26-321,PI,471
26-322,PI,444
26-323,PI,408
28-506,PI,426
28-507,PI,351
28-504,PI,389
28-505,PI,415
28-502,PI,418
28-503,PI,436
28-501,PI,399
28-508,PI,189
28-509,PI,0
27-459,PI,200
27-458,PI,214
27-453,PI,236
27-452,PI,311
27-451,PI,265
27-450,PI,370
27-457,PI,308
27-456,PI,246
27-455,PI,283
27-454,PI,324
31-873,PI,61
31-874,PI,0
31-875,PI,319
31-876,PI,22
31-877,PI,125
31-879,PI,69
25-283,PI,208
25-262,PI,334
25-263,PI,288
25-260,PI,371
25-261,PI,269
25-266,PI,376
25-267,PI,175
25-264,PI,399
25-265,PI,386
25-268,PI,196
25-269,PI,230
29-600,PI,0
29-601,PI,259
29-602,PI,217
29-603,PI,296
29-604,PI,287
29-605,PI,239
29-606,PI,309
29-607,PI,368
29-608,PI,251
29-609,PI,211
31-881,PI,162
28-548,PI,327
28-549,PI,358
31-880,PI,108
28-542,PI,363
28-543,PI,340
28-540,PI,491
28-541,PI,368
28-546,PI,373
28-547,PI,499
28-545,PI,403
02-106,PI,363
30-709,PI,246
02-105,PI,121
02-101,PI,112
31-885,PI,107
30-701,PI,12
30-707,PI,151
30-706,PI,243
30-705,PI,166
31-884,PI,288
31-834,PI,214
31-835,PI,421
31-836,PI,248
31-837,PI,225
31-830,PI,113
31-887,PI,215
