Row Label,County,Eddie Yoon,Charles W. Johnson
UPPER WASHOUGAL(*),SM,0,0
NORTH BONNEVILLE,SM,90,146
STABLER,SM,59,131
UNDERWOOD SOUTH,SM,60,89
WIND RIVER,SM,32,113
CAPE HORN,SM,64,111
SKAMANIA,SM,75,112
ROCK CREEK,SM,33,70
CARSON CREEK,SM,55,126
LEWIS RIVER(*),SM,0,0
SOUTH STEVENSON,SM,11,30
SKYE,SM,51,89
HOT SPRINGS SOUTH,SM,27,82
NORTH STEVENSON,SM,56,76
CHENOWITH,SM,35,79
MT. PLEASANT,SM,32,89
BEAR PRAIRIE,SM,34,91
CASCADES,SM,3,3
NELSON CREEK,SM,29,48
HOT SPRINGS NORTH,SM,18,45
UNDERWOOD NORTH,SM,40,135
WIND MOUNTAIN,SM,34,45
MAPLE VIEW,SM,57,124
Total,SM,938,1942
