Row Label,County,Cathy McMorris Rodgers,Joseph (Joe) Pakootas
Yellowhawk 58,WL,26,20
CP 3 63,WL,355,131
Touchet 5 56(*),WL,0,0
Spruce 24,WL,133,84
Birch 05,WL,133,134
Baumeister 04,WL,245,167
Jefferson 13,WL,368,215
Alder 02,WL,98,73
Waitsburg 65,WL,344,140
Lincoln 49,WL,55,17
CP 1 61,WL,348,146
Watertown 29,WL,133,142
CP 2 62,WL,252,121
Frenchtown 5 44,WL,155,48
Alderbrook 01,WL,145,86
Baker 33,WL,79,21
Edison 08,WL,155,119
Pine 21,WL,108,68
Mill Creek 50,WL,180,73
Sharpstein 23,WL,113,153
Gose 47,WL,72,28
CP 5 67,WL,301,130
Henderson 11,WL,160,128
Garfield 09,WL,170,143
Washington 60,WL,116,38
Garrison 46,WL,177,56
Berney 35,WL,185,108
Isaacs 12,WL,104,101
Paine 20,WL,77,73
Pleasant 22,WL,289,234
Monroe 18,WL,413,237
Ash 03,WL,272,155
Dixie 41,WL,207,64
CP 4 66,WL,365,196
Ritz 53(*),WL,0,0
Blalock 36,WL,342,124
Stadium 25,WL,119,128
Clyde 39,WL,25,9
Pros Point 52,WL,665,292
Wainwright 28,WL,293,150
Moore 51,WL,157,80
Eureka 5 42,WL,38,12
Derry 40,WL,125,36
College 07,WL,104,183
Prescott 64,WL,57,23
Green Park 10,WL,85,133
Twin Grove 57,WL,186,65
Tausick 26,WL,169,106
Marcus 17,WL,461,216
Braden 37,WL,370,157
Maple 16,WL,284,287
CP 6 68,WL,51,14
Total,WL,10603,6012
Abbott 31,WL,237,95
Clark 06,WL,79,110
