Row Label,County,Richard Greenwood,FRANK BROWN
Yellowhawk 58,WL,28,9
CP 3 63,WL,292,135
Touchet 5 56(*),WL,0,0
Spruce 24,WL,114,77
Birch 05,WL,145,76
Baumeister 04,WL,253,107
Jefferson 13,WL,397,133
Ice Harbor 34,WL,174,159
Alder 02,WL,98,62
Waitsburg 65,WL,237,174
Lincoln 49,WL,43,15
CP 1 61,WL,267,163
Watertown 29,WL,169,63
Frenchtown 4 45,WL,31,13
Ritz 53,WL,361,116
CP 2 62,WL,218,98
Frenchtown 5 44,WL,127,60
Alderbrook 01,WL,130,89
Baker 33,WL,82,19
Edison 08,WL,160,88
Pine 21,WL,90,73
Mill Creek 50,WL,137,105
Sharpstein 23,WL,151,79
Gose 47,WL,85,15
CP 5 67,WL,258,114
Henderson 11,WL,152,104
Burbank 38,WL,233,190
Garfield 09,WL,161,118
Washington 60,WL,89,44
Garrison 46,WL,152,68
Berney 35,WL,173,79
Isaacs 12,WL,114,65
Paine 20,WL,84,39
Pleasant 22,WL,333,147
Wallula 59,WL,12,23
Monroe 18,WL,439,157
Ash 03,WL,252,122
Dixie 41,WL,153,79
Touchet 4 55,WL,213,87
CP 6 68,WL,34,28
Eureka 4 43(*),WL,0,0
Blalock 36,WL,325,107
Stadium 25,WL,140,70
Clyde 39,WL,12,17
CP 4 66,WL,321,152
Pros Point 52,WL,580,295
Wainwright 28,WL,248,145
Moore 51,WL,166,58
Eureka 5 42,WL,32,13
Derry 40,WL,99,42
College 07,WL,176,57
Prescott 64,WL,46,32
Green Park 10,WL,128,44
Twin Grove 57,WL,163,60
Tausick 26,WL,170,76
Marcus 17,WL,473,159
Braden 37,WL,353,113
McNary 54,WL,84,122
Maple 16,WL,379,123
Total,WL,10852,5210
Abbott 31,WL,221,71
Clark 06,WL,92,59
