Row Label,County,Mary E. Fairhurst
Washtucna City #1,AD,70
Batum,AD,52
Othello Rural #1,AD,63
Hatton Rural,AD,25
Ralston,AD,22
Hatton City,AD,15
Othello Rural #6,AD,111
Othello Rural #4,AD,113
Othello Rural #5,AD,69
Ritzville Rural NW,AD,91
Fairview,AD,23
Benge,AD,14
Ritzville Rural SE,AD,76
Ritzville Ward #5,AD,90
Ritzville Ward #4,AD,77
Ritzville Ward #1,AD,61
Ritzville Ward #3,AD,104
Ritzville Ward #2,AD,63
Schrag,AD,24
Cunningham,AD,6
Othello Rural #2,AD,77
Othello Rural #3,AD,166
Othello City #2,AD,132
Othello City #3,AD,127
Othello City #1,AD,15
Othello City #6,AD,84
Othello City #4,AD,140
Othello City #5,AD,132
Lind #1,AD,120
Washtucna Rural,AD,41
Lind Rural,AD,45
Total,AD,2248
