Row Label,County,Luis Moscoso,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in,Edward J. Barton
KIR 01-2767,KI,175,573,33,359,0,0,151
KIR 01-2762,KI,169,618,17,308,0,1,121
KIR 01-2918,KI,174,667,31,321,0,1,115
KIR 01-2768,KI,197,624,43,383,0,0,143
BOT 01-0257,KI,234,718,20,417,0,1,162
BOT 01-0256,KI,221,670,22,417,0,0,174
BOT 01-0255,KI,192,750,39,428,0,0,197
BOT 01-0254,KI,182,561,25,311,0,0,104
BOT 01-0253,KI,122,400,13,229,0,1,93
BOT 01-1224,KI,211,748,34,414,0,1,168
BOT 01-1207,KI,155,553,27,282,0,1,99
KIR 01-0421,KI,251,724,41,468,0,1,175
BOT 01-3321,KI,125,430,30,293,0,0,138
BOT 01-0259,KI,127,430,33,245,0,0,85
BOT 01-0258,KI,244,817,38,440,0,0,158
BOT 01-2677,KI,98,344,24,204,0,0,82
BOT 01-2676,KI,227,825,31,391,0,0,133
KIR 01-3422,KI,126,546,23,266,0,0,117
KIR 01-0356,KI,282,816,42,516,0,1,191
KIR 01-2759,KI,209,695,20,359,0,1,129
KIR 01-2678,KI,218,695,25,375,0,0,132
KIR 01-0019,KI,223,752,33,433,0,0,177
KIR 01-2457,KI,192,709,29,376,0,0,155
BOT 01-2495,KI,113,580,33,304,0,0,158
BOT 01-2865,KI,103,356,16,205,0,1,85
BOT 01-0262,KI,179,779,37,367,0,1,150
BOT 01-0260,KI,237,769,44,482,0,0,201
BOT 01-0261,KI,222,634,31,378,0,0,125
KIR 01-2595,KI,142,495,26,239,0,2,69
KIR 01-0870,KI,172,632,37,340,0,0,131
KIR 01-3678,KI,82,349,23,193,0,0,88
KIR 01-2923,KI,183,642,41,311,0,1,86
BOT 01-3195,KI,122,510,16,250,0,0,112
KIR 01-0422,KI,154,612,34,309,0,0,121
BOT 01-3661,KI,128,528,17,245,0,1,99
BOT 01-3420,KI,86,399,10,205,0,0,109
KIR 01-2488,KI,236,786,50,473,0,0,187
KIR 01-2561,KI,166,649,34,340,0,0,140
KIR 01-0403,KI,167,537,23,275,0,1,84
BOT 01-2473,KI,154,481,19,256,0,0,83
BOT 01-3398,KI,160,656,40,350,0,0,150
BOT 01-3271,KI,134,431,20,229,0,0,75
BOT 01-0868,KI,145,650,26,292,0,0,121
BOT 01-0252,KI,151,514,30,308,0,1,126
