Row Label,County,Sherri L. Brewer
Washtucna City #1,AD,86
Batum,AD,68
Othello Rural #1,AD,68
Hatton Rural,AD,26
Ralston,AD,25
Hatton City,AD,15
Othello Rural #6,AD,136
Othello Rural #4,AD,123
Othello Rural #5,AD,77
Ritzville Rural NW,AD,126
Fairview,AD,26
Benge,AD,19
Ritzville Rural SE,AD,113
Ritzville Ward #5,AD,123
Ritzville Ward #4,AD,106
Ritzville Ward #1,AD,81
Ritzville Ward #3,AD,138
Ritzville Ward #2,AD,83
Schrag,AD,28
Cunningham,AD,7
Othello Rural #2,AD,86
Othello Rural #3,AD,179
Othello City #2,AD,145
Othello City #3,AD,137
Othello City #1,AD,17
Othello City #6,AD,96
Othello City #4,AD,153
Othello City #5,AD,151
Lind #1,AD,156
Washtucna Rural,AD,57
Lind Rural,AD,61
Total,AD,2712
