Row Label,County,Dave Aldrich,Bruce King
CAMANO 08,IS,194,139
CAMANO 09,IS,267,203
CAMANO 01,IS,225,154
CAMANO 02,IS,254,237
CAMANO 03,IS,292,213
CAMANO 04,IS,310,287
CAMANO 05,IS,286,228
CAMANO 06,IS,274,242
CAMANO 07,IS,223,204
CAMANO 11,IS,253,216
CAMANO 10,IS,221,144
Total,IS,2799,2267
