Row Label,County,Brad Klippert
Griffin,BE,2
215,BE,156
210,BE,167
Weidle,BE,42
130,BE,169
W2 - P641,BE,161
W2 - P640,BE,228
135,BE,174
165,BE,157
W1 - P685,BE,290
W1 - P686,BE,255
W1 - P680,BE,303
W1 - P681,BE,211
W1 - P682,BE,361
W1 - P683,BE,227
Columbia,BE,4
W3 - P540,BE,226
W3 - P545,BE,123
289,BE,358
288,BE,210
281,BE,307
280,BE,277
283,BE,195
220,BE,131
285,BE,374
284,BE,216
287,BE,150
286,BE,189
235,BE,140
Candy,BE,5
120,BE,206
W1 - P670,BE,219
260,BE,168
W1 - P675,BE,108
W1 - P674,BE,166
265,BE,171
W1 - P676,BE,330
Harrington,BE,305
W3 - P558,BE,338
W3 - P559,BE,312
W3 - P552,BE,251
W3 - P553,BE,231
W3 - P550,BE,262
W3 - P551,BE,220
W3 - P556,BE,314
W3 - P557,BE,257
WR 11,BE,255
W3 - P555,BE,206
WR 17,BE,183
WR 16,BE,175
295,BE,230
292,BE,186
293,BE,153
290,BE,250
291,BE,270
195,BE,184
310,BE,247
190,BE,224
Liberty,BE,11
115,BE,138
271,BE,124
W1 - P660,BE,233
W1 - P667,BE,105
W1 - P664,BE,385
W1 - P665,BE,320
278,BE,275
279,BE,97
W1 - P668,BE,374
W1 - P669,BE,156
250,BE,205
Hawthorne,BE,153
W3 - P560,BE,126
255,BE,201
Yellowstone,BE,124
WR 10,BE,21
Orchard,BE,14
300,BE,216
301,BE,217
225,BE,185
305,BE,216
W1 - P657,BE,182
W1 - P656,BE,113
W1 - P655,BE,152
Shockley,BE,4
240,BE,303
W1 - P651,BE,52
W1 - P650,BE,291
105,BE,154
245,BE,171
Hanford 4,BE,0
Hanford 3,BE,0
Hanford 2,BE,0
Hanford 1,BE,0
160,BE,253
Elk,BE,0
Umatilla,BE,98
W1 - P645,BE,47
W1 - P646,BE,82
Gage,BE,5
W2 - P639,BE,156
W2 - P601,BE,124
W2 - P600,BE,118
175,BE,387
W2 - P605,BE,173
170,BE,173
W3 - P505,BE,172
W3 - P500,BE,42
Sunny,BE,64
180,BE,119
W2 - P570,BE,208
186,BE,71
W2 - P575,BE,96
185,BE,94
316,BE,0
315,BE,381
Enterprise,BE,164
W2 - P590,BE,164
W2 - P610,BE,154
W2 - P595,BE,179
W2 - P615,BE,67
270,BE,245
W3 - P515,BE,122
W3 - P510,BE,110
W2 - P565,BE,104
W2 - P560,BE,130
W2 - P625,BE,230
110,BE,198
151,BE,386
150,BE,298
Vista,BE,118
WR 4,BE,324
WR 9,BE,187
WR 8,BE,300
W1-P663,BE,217
W2 - P626,BE,137
WR 3,BE,115
WR 2,BE,138
W2 - P580,BE,137
W3 - P520,BE,86
WR 7,BE,293
WR 1,BE,129
W3 - P525,BE,135
W2 - P620,BE,164
W2-P574,BE,126
230,BE,140
WR12,BE,311
WR13,BE,197
WR14,BE,332
WR15,BE,219
WR 6,BE,312
320,BE,340
WR 5,BE,100
155,BE,317
W2 - P585,BE,115
200,BE,179
145,BE,282
205,BE,158
140,BE,158
275,BE,87
W2 - P630,BE,207
W2 - P633,BE,230
W2 - P634,BE,321
W2 - P635,BE,285
W2 - P636,BE,246
W2 - P637,BE,278
W2 - P638,BE,290
W3 - P535,BE,107
W1 - P691,BE,42
W1 - P690,BE,285
W3 - P530,BE,130
125,BE,157
282,BE,353
Miller,BE,0
W3-P516,BE,10
Total,BE,31811
Clements,BE,56
