Row Label,County,Mike Sells,Elijah Olson
MILLARD,SN,92,82
STRAUS,SN,183,188
EVERETT   6,SN,154,45
EVERETT   7,SN,87,28
EVERETT   4,SN,198,76
EVERETT   5,SN,172,58
EVERETT   2,SN,251,43
EVERETT   3,SN,170,59
EVERETT  75,SN,99,75
EVERETT   1,SN,267,87
EVERETT  78,SN,84,48
EVERETT   8,SN,158,73
EVERETT   9,SN,305,115
MARYSVILLE 27,SN,212,141
MARYSVILLE 26,SN,218,99
MARYSVILLE 25,SN,106,50
MARYSVILLE 20,SN,172,105
EVERETT  23,SN,35,15
MARYSVILLE 29,SN,87,63
MARYSVILLE 28,SN,109,58
MARYSVILLE 47,SN,169,93
MARYSVILLE 46,SN,226,148
MARYSVILLE 41,SN,129,71
MARYSVILLE 40,SN,134,87
MARYSVILLE 43,SN,149,122
MARYSVILLE 42,SN,141,95
MARYSVILLE 49,SN,140,75
MARYSVILLE 48,SN,153,79
TULALIP 2,SN,210,53
TULALIP 3,SN,175,90
TULALIP 1,SN,203,105
TULALIP 6,SN,111,27
TULALIP 4,SN,202,108
TULALIP 5,SN,124,60
EVERETT  60,SN,167,79
EVERETT  62,SN,130,57
EVERETT  63,SN,117,92
EVERETT  67,SN,177,67
EVERETT  68,SN,237,108
EVERETT  69,SN,183,73
WENBERG,SN,179,109
MARYSVILLE 32,SN,115,85
MARYSVILLE 35,SN,158,122
MARYSVILLE 36,SN,133,63
MARYSVILLE 37,SN,118,67
MARYSVILLE 38,SN,107,93
MARYSVILLE 39,SN,165,79
MARYSVILLE 50,SN,167,94
MARYSVILLE 51,SN,72,50
EVERETT  55,SN,46,30
EVERETT  54,SN,176,75
EVERETT  51,SN,177,70
EVERETT  50,SN,193,69
EVERETT  53,SN,206,71
WILLOW,SN,145,84
EVERETT  59,SN,154,52
EVERETT  58,SN,19,10
EVERETT  73,SN,170,88
EVERETT  72,SN,104,37
EVERETT  71,SN,106,42
EVERETT  48,SN,136,75
EVERETT  49,SN,230,97
SHELTON,SN,204,166
EVERETT  42,SN,146,57
EVERETT  43,SN,90,73
EVERETT  40,SN,78,47
EVERETT  41,SN,149,70
EVERETT  46,SN,143,68
EVERETT  47,SN,197,58
EVERETT  44,SN,126,53
EVERETT  45,SN,156,60
HAT ISLAND,SN,22,7
EVERETT  74,SN,96,68
SYLVAN,SN,11,13
SPENCER(*),SN,0,0
EVERETT  76,SN,137,102
EVERETT  39,SN,148,101
EVERETT  38,SN,51,23
EVERETT  37,SN,183,83
EVERETT  36,SN,145,88
EVERETT  34,SN,126,63
EVERETT  33,SN,252,110
EVERETT  32,SN,182,81
EVERETT  31,SN,129,68
EVERETT  30,SN,204,117
EVERETT  70,SN,2,2
BOEING,SN,142,75
EVERETT  77,SN,149,65
EVERETT  28,SN,143,68
EVERETT  29,SN,132,63
EVERETT  24,SN,195,80
EVERETT  25,SN,168,66
EVERETT  26,SN,294,90
EVERETT  27,SN,206,87
EVERETT  20,SN,180,72
EVERETT  21,SN,258,99
EVERETT  22,SN,175,64
TIMBER,SN,0,0
CHATHAM,SN,34,23
PRIEST POINT,SN,133,57
MARYSVILLE  9,SN,85,43
MARYSVILLE  8,SN,163,86
MARYSVILLE  1,SN,112,88
MARYSVILLE  3,SN,203,109
MARYSVILLE  2,SN,87,43
MARYSVILLE  4,SN,138,79
MARYSVILLE  7,SN,112,74
MARYSVILLE  6,SN,137,77
EVERETT  11,SN,248,89
EVERETT  10,SN,153,53
EVERETT  13,SN,148,74
EVERETT  12,SN,172,70
EVERETT  15,SN,176,78
EVERETT  14,SN,195,65
EVERETT  17,SN,116,41
EVERETT  16,SN,142,64
EVERETT  19,SN,180,65
EVERETT  18,SN,252,104
COHO(*),SN,0,0
EVERETT  90,SN,60,21
EVERETT  93,SN,113,50
EVERETT  94,SN,100,61
TYEE,SN,165,107
LOMA,SN,161,108
MARYSVILLE 11,SN,241,115
EVERETT  88,SN,185,81
EVERETT  89,SN,153,58
EVERETT  86,SN,158,75
EVERETT  87,SN,104,71
EVERETT  85,SN,133,68
EVERETT  82,SN,140,74
EVERETT  80,SN,193,105
EVERETT  81,SN,110,30
MARYSVILLE 13,SN,144,83
MARYSVILLE 10,SN,133,74
Total,SN,20241,9957
MARYSVILLE 17,SN,156,108
MARYSVILLE 15,SN,190,84
