Row Label,County,Scott D. Gallina
ALTO,CU,40
TOUCHET,CU,107
STARBUCK COUNTRY,CU,11
STAR,CU,63
MUSTARD,CU,111
DAYTON,CU,155
PING,CU,113
BROOKLYN,CU,131
TUCANNON,CU,43
STARBUCK CITY,CU,52
COLUMBIA,CU,160
RAINWATER,CU,107
Total,CU,1208
PATIT,CU,115
