Row Label,County,Keith W. Goehner,Chuck Slowe
210,CH,223,56
1149,CH,29,3
133,CH,266,36
132,CH,22,7
131,CH,34,11
136,CH,4,2
135,CH,357,99
134,CH,372,113
490,CH,533,134
540,CH,289,84
1150(*),CH,0,0
163,CH,13,6
710,CH,201,60
120,CH,192,44
121,CH,201,42
122,CH,108,20
123,CH,33,3
124,CH,48,13
125,CH,400,66
126,CH,51,22
127,CH,95,28
128,CH,47,5
129,CH,153,28
410,CH,292,59
530,CH,341,107
590,CH,320,94
310,CH,148,38
190,CH,22,8
115,CH,30,3
114,CH,251,72
116,CH,96,23
111,CH,48,17
110,CH,206,52
113,CH,35,11
112,CH,14,5
520,CH,524,107
420,CH,314,67
580,CH,244,64
440,CH,415,108
100,CH,5,2
510,CH,169,64
159(*),CH,0,0
430,CH,410,81
450,CH,347,93
330,CH,208,67
175,CH,331,99
174,CH,179,77
173,CH,13,2
172,CH,11,2
171,CH,4,6
730,CH,278,114
182,CH,209,64
183,CH,124,35
181,CH,246,69
151(*),CH,0,0
1151(*),CH,0,0
560,CH,302,95
460,CH,300,93
164,CH,125,41
165,CH,65,36
161,CH,15,11
162,CH,22,5
220,CH,272,62
720,CH,286,86
150,CH,27,18
153,CH,459,120
152,CH,3,3
155,CH,141,53
154,CH,403,91
157,CH,330,86
156,CH,40,14
158,CH,149,56
320,CH,237,45
146,CH,59,23
147,CH,300,99
144,CH,19,2
145,CH,17,4
142,CH,23,6
143,CH,6,3
140,CH,81,35
141,CH,8,2
610,CH,203,83
148,CH,128,45
149,CH,175,35
480,CH,334,118
Total,CH,14049,3865
