Row Label,County,Brady Walkinshaw,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
SEA 43-1368,KI,121,292,61,184,0,2
SEA 43-1369,KI,114,285,50,165,0,1
SEA 43-1364,KI,223,535,96,321,0,2
SEA 43-1365,KI,174,459,87,262,0,1
SEA 43-1366,KI,127,287,58,186,0,1
SEA 43-1367,KI,168,375,80,253,0,5
SEA 43-1360,KI,289,622,87,379,0,3
SEA 43-1361,KI,163,417,72,238,0,3
SEA 43-1362,KI,229,660,117,351,0,5
SEA 43-1363,KI,252,725,130,386,0,4
SEA 43-2017,KI,200,430,62,267,0,5
SEA 43-2016,KI,152,333,43,197,0,2
SEA 43-2015,KI,126,333,68,195,0,1
SEA 43-2014,KI,193,352,66,260,0,1
SEA 43-2013,KI,153,310,62,216,0,1
SEA 43-1818,KI,119,295,75,196,0,2
SEA 43-1787,KI,194,564,79,277,0,4
SEA 43-1817,KI,90,264,43,134,0,1
SEA 43-1280,KI,227,669,104,337,0,6
SEA 43-2018,KI,260,559,99,363,0,4
SEA 43-3571,KI,117,464,37,156,0,2
SEA 43-3570,KI,319,1056,103,429,0,7
SEA 43-1351,KI,204,561,110,315,0,1
SEA 43-1350,KI,90,265,41,133,0,2
SEA 43-1353,KI,195,449,63,260,0,2
SEA 43-1352,KI,220,608,96,322,0,6
SEA 43-1355,KI,179,401,62,244,0,3
SEA 43-1354,KI,173,435,66,240,0,1
SEA 43-1357,KI,143,355,47,192,0,2
SEA 43-1359,KI,213,518,75,291,0,3
SEA 43-1358,KI,153,418,66,224,0,5
SEA 43-2081,KI,23,385,12,35,0,0
SEA 43-2083,KI,146,422,68,215,0,1
SEA 43-2545,KI,263,699,109,375,0,3
SEA 43-2058,KI,100,247,47,150,0,3
SEA 43-2004,KI,146,356,56,206,0,4
SEA 43-2006,KI,101,298,68,169,0,0
SEA 43-2007,KI,126,256,36,164,0,2
SEA 43-2000,KI,215,550,77,294,0,2
SEA 43-2001,KI,300,648,129,433,0,4
SEA 43-1370,KI,169,332,66,237,0,2
SEA 43-3230,KI,197,626,103,309,0,9
SEA 43-1291,KI,370,684,115,487,0,2
SEA 43-2008,KI,121,257,46,169,0,2
SEA 43-2009,KI,247,487,78,329,0,4
SEA 43-1869,KI,198,465,70,270,0,2
SEA 43-1868,KI,159,353,72,233,0,2
SEA 43-1863,KI,184,475,70,255,0,1
SEA 43-1862,KI,173,476,57,234,0,4
SEA 43-1861,KI,308,750,121,432,0,3
SEA 43-1860,KI,258,745,108,368,0,2
SEA 43-1867,KI,216,546,80,299,0,3
SEA 43-1347,KI,299,726,130,435,0,6
SEA 43-1344,KI,202,452,90,292,0,0
SEA 43-1345,KI,176,424,95,274,0,3
SEA 43-1342,KI,170,366,65,237,0,2
SEA 43-1343,KI,142,355,72,215,0,1
SEA 43-1341,KI,261,499,87,351,0,3
SEA 43-2002,KI,279,587,110,391,0,2
SEA 43-1348,KI,222,555,91,317,0,4
SEA 43-1349,KI,148,359,79,231,0,4
SEA 43-2039,KI,137,328,62,199,0,0
SEA 43-2038,KI,262,560,93,355,0,0
SEA 43-2850,KI,136,359,45,182,0,1
SEA 43-1975,KI,40,439,21,63,0,2
SEA 43-1976,KI,63,242,31,94,0,0
SEA 43-2033,KI,198,438,78,276,0,0
SEA 43-2035,KI,217,668,78,301,0,6
SEA 43-2034,KI,188,424,61,253,0,4
SEA 43-2037,KI,202,551,71,274,0,1
SEA 43-3497,KI,146,532,71,218,0,1
SEA 43-1378,KI,147,308,71,219,0,1
SEA 43-2549,KI,255,718,78,339,0,6
SEA 43-1870,KI,226,466,47,273,0,0
SEA 43-2544,KI,341,887,190,537,0,6
SEA 43-2547,KI,156,461,45,204,0,3
SEA 43-2546,KI,133,324,40,176,0,3
SEA 43-1874,KI,247,608,92,343,0,4
SEA 43-2543,KI,118,313,32,153,0,3
SEA 43-2542,KI,115,275,28,146,0,3
SEA 43-2853,KI,145,440,60,206,0,1
SEA 43-2852,KI,168,501,57,226,0,1
SEA 43-1406,KI,177,398,83,264,0,4
SEA 43-2110,KI,126,452,59,186,0,1
SEA 43-1333,KI,166,340,63,229,0,0
SEA 43-1332,KI,176,385,88,267,0,3
SEA 43-1331,KI,158,366,65,224,0,1
SEA 43-1330,KI,170,404,64,238,0,4
SEA 43-1278,KI,236,588,68,308,0,4
SEA 43-1335,KI,269,637,103,377,0,5
SEA 43-1334,KI,180,446,78,262,0,4
SEA 43-2026,KI,170,356,68,239,0,1
SEA 43-2027,KI,143,292,56,202,0,3
SEA 43-1339,KI,129,298,55,187,1,2
SEA 43-1338,KI,213,449,88,302,0,1
SEA 43-2023,KI,144,388,75,224,0,5
SEA 43-2020,KI,174,374,73,249,0,2
SEA 43-2021,KI,368,797,132,506,0,6
SEA 43-2109,KI,137,478,64,212,0,11
SEA 43-2011,KI,132,278,52,189,0,5
SEA 43-2105,KI,252,628,108,361,0,1
SEA 43-2104,KI,191,379,69,260,0,0
SEA 43-1819,KI,175,457,125,303,0,3
SEA 43-2550,KI,121,342,35,157,0,1
SEA 43-2541,KI,90,268,24,115,0,1
SEA 43-1849,KI,100,323,58,161,0,3
SEA 43-1845,KI,217,575,58,277,0,2
SEA 43-3424,KI,155,407,60,219,0,4
SEA 43-1847,KI,166,484,58,227,0,3
SEA 43-1846,KI,116,345,41,158,0,1
SEA 43-1843,KI,183,551,67,251,0,1
SEA 43-1842,KI,197,521,83,282,0,2
SEA 43-2028,KI,210,423,68,280,0,2
SEA 43-2029,KI,357,706,130,488,0,1
SEA 43-2024,KI,145,336,55,201,0,1
SEA 43-2113,KI,107,393,29,140,0,4
SEA 43-2059,KI,183,424,69,252,0,0
SEA 43-2025,KI,252,556,105,360,0,3
SEA 43-3262,KI,122,306,55,177,0,0
SEA 43-2115,KI,96,527,34,134,0,4
SEA 43-2052,KI,109,445,33,143,0,1
SEA 43-2050,KI,164,442,56,222,0,2
SEA 43-2055,KI,80,322,31,113,0,2
SEA 43-1999,KI,196,439,72,270,0,2
SEA 43-1851,KI,294,694,117,413,0,2
SEA 43-1856,KI,242,579,75,322,0,5
SEA 43-1857,KI,183,528,67,251,0,1
SEA 43-1855,KI,234,619,101,337,0,2
SEA 43-1993,KI,108,238,37,147,0,2
SEA 43-1992,KI,203,652,201,410,0,6
SEA 43-1858,KI,144,335,53,203,0,6
SEA 43-1859,KI,205,553,80,286,0,1
SEA 43-1997,KI,129,295,64,194,0,1
SEA 43-1996,KI,118,298,68,193,0,7
SEA 43-1995,KI,109,244,51,163,0,3
SEA 43-1994,KI,150,295,47,197,0,0
SEA 43-3685,KI,115,258,41,158,0,2
SEA 43-2239,KI,268,566,121,389,0,0
SEA 43-2238,KI,381,813,151,539,0,7
SEA 43-2237,KI,244,568,103,352,0,5
SEA 43-1991,KI,329,839,153,487,0,5
SEA 43-2048,KI,142,376,68,214,0,4
SEA 43-2049,KI,143,453,60,208,0,5
SEA 43-1990,KI,173,458,86,260,0,1
SEA 43-2040,KI,154,476,60,214,0,0
SEA 43-2043,KI,132,292,60,193,0,1
SEA 43-2044,KI,130,350,55,186,0,1
SEA 43-2045,KI,132,315,54,189,0,3
SEA 43-2047,KI,261,662,137,403,0,5
SEA 43-1826,KI,259,567,90,354,0,5
SEA 43-1821,KI,107,233,37,144,0,0
SEA 43-1982,KI,190,501,71,266,0,5
SEA 43-1983,KI,222,497,87,313,0,4
SEA 43-1986,KI,113,278,48,163,0,2
SEA 43-1263,KI,168,350,61,230,0,1
SEA 43-1262,KI,209,468,95,308,0,4
SEA 43-1265,KI,102,256,45,148,0,1
SEA 43-1264,KI,173,361,73,248,0,2
SEA 43-1267,KI,185,386,79,264,0,0
SEA 43-1266,KI,141,351,71,213,0,1
SEA 43-1269,KI,169,357,60,234,0,5
SEA 43-1268,KI,172,352,81,254,0,1
SEA 43-1779,KI,106,377,41,147,0,0
SEA 43-3692,KI,0,0,0,0,0,0
SEA 43-3690,KI,10,38,6,17,0,1
SEA 43-2987,KI,64,673,32,97,0,1
SEA 43-2084,KI,324,668,118,445,0,3
SEA 43-2088,KI,256,694,104,361,0,1
SEA 43-1776,KI,245,673,123,375,0,7
SEA 43-3320,KI,163,515,73,241,0,5
SEA 43-2089,KI,39,341,24,65,0,2
SEA 43-3595,KI,225,535,93,322,0,4
SEA 43-1380,KI,116,301,63,183,0,4
SEA 43-2075,KI,102,458,58,163,0,3
SEA 43-2074,KI,202,564,110,316,0,4
SEA 43-2076,KI,97,403,36,137,0,4
SEA 43-2071,KI,190,371,70,260,0,0
SEA 43-1835,KI,299,688,113,417,0,5
SEA 43-1784,KI,222,500,82,308,0,4
SEA 43-1783,KI,166,455,75,243,0,2
SEA 43-1780,KI,144,350,63,208,0,1
SEA 43-1781,KI,123,326,41,164,0,0
SEA 43-1788,KI,431,807,147,580,0,2
SEA 43-1277,KI,202,541,71,282,0,9
SEA 43-1274,KI,150,302,60,216,0,6
SEA 43-1275,KI,134,275,63,200,0,3
SEA 43-1272,KI,204,437,81,285,0,0
SEA 43-1379,KI,125,263,61,187,0,1
SEA 43-1271,KI,176,473,78,260,0,6
SEA 43-1377,KI,152,330,52,207,0,3
SEA 43-1376,KI,221,541,89,312,0,2
SEA 43-1375,KI,150,327,67,222,0,5
SEA 43-1374,KI,145,295,57,205,0,3
SEA 43-1373,KI,179,335,57,243,0,7
SEA 43-1372,KI,157,335,65,224,0,2
SEA 43-1371,KI,118,288,48,166,0,0
SEA 43-1279,KI,265,684,135,406,0,6
SEA 43-1887,KI,268,648,91,365,0,6
SEA 43-1889,KI,217,483,70,288,0,1
SEA 43-1888,KI,275,633,97,373,0,1
SEA 43-2061,KI,149,476,54,207,0,4
SEA 43-2064,KI,91,370,53,148,0,4
SEA 43-2065,KI,114,547,60,179,0,5
SEA 43-2068,KI,133,425,56,191,0,2
SEA 43-2069,KI,279,652,117,399,0,3
SEA 43-2928,KI,232,639,103,339,0,4
SEA 43-2862,KI,257,736,98,360,0,5
SEA 43-3628,KI,208,536,81,290,0,1
SEA 43-3665,KI,126,379,55,184,0,3
