Row Label,County,Karen S. Roosevelt,Tereasa Entrup
PATAHA,GA,79,82
PING - VOTE BY MAIL,GA,14,6
PEOLA-VOTE BY MAIL,GA,11,2
GROUSE-VOTE BY MAIL(*),GA,0,0
MAYVIEW-VOTE BY MAIL(*),GA,0,0
TUCANNON - VB MAIL,GA,39,23
WARD 3,GA,133,93
WARD 1,GA,60,51
SCOGGIN - VB MAIL,GA,58,45
Total,GA,675,486
WARD 4,GA,100,56
WARD 2,GA,120,91
PLEASANT-VB MAIL,GA,31,21
