Row Label,County,James Heller
31-900,PI,191
29-680,PI,251
31-902,PI,394
31-903,PI,3
31-904,PI,51
31-905,PI,258
31-906,PI,160
31-907,PI,242
31-908,PI,203
31-909,PI,234
29-640,PI,299
29-641,PI,296
29-642,PI,312
29-643,PI,27
29-648,PI,6
29-649,PI,87
25-239,PI,375
25-238,PI,202
31-901,PI,37
25-235,PI,11
25-237,PI,0
25-236,PI,295
25-230,PI,92
28-588,PI,341
28-589,PI,359
28-586,PI,332
28-587,PI,242
28-584,PI,239
28-585,PI,377
28-582,PI,146
28-583,PI,213
28-580,PI,52
28-581,PI,218
25-280,PI,373
25-281,PI,259
25-282,PI,369
02-149,PI,382
25-284,PI,193
25-285,PI,476
25-286,PI,348
25-287,PI,4
25-288,PI,380
25-289,PI,0
02-140,PI,361
02-141,PI,346
02-146,PI,248
02-147,PI,255
02-144,PI,299
02-145,PI,337
27-439,PI,295
27-438,PI,298
27-435,PI,353
27-434,PI,333
27-437,PI,303
27-436,PI,338
27-431,PI,148
27-430,PI,350
27-433,PI,328
27-432,PI,335
26-339,PI,62
26-338,PI,301
26-333,PI,355
26-332,PI,322
26-331,PI,97
26-330,PI,265
26-337,PI,405
26-336,PI,439
26-335,PI,317
26-334,PI,326
28-515,PI,388
28-517,PI,424
28-516,PI,390
28-519,PI,415
28-518,PI,414
31-869,PI,134
31-865,PI,86
31-861,PI,83
26-348,PI,375
26-349,PI,370
26-346,PI,321
26-347,PI,303
26-344,PI,48
26-345,PI,334
26-342,PI,410
26-343,PI,346
26-340,PI,433
26-341,PI,341
25-271,PI,352
25-270,PI,376
25-273,PI,226
25-272,PI,343
25-275,PI,0
25-274,PI,450
25-277,PI,358
25-276,PI,16
25-279,PI,307
25-278,PI,126
29-682,PI,290
29-683,PI,317
31-923,PI,170
29-619,PI,283
29-618,PI,250
29-617,PI,287
29-616,PI,286
29-615,PI,337
29-614,PI,320
29-613,PI,312
29-612,PI,152
29-611,PI,59
29-610,PI,288
28-559,PI,322
28-558,PI,318
28-551,PI,467
28-550,PI,279
28-553,PI,422
28-552,PI,420
28-555,PI,438
28-554,PI,383
28-557,PI,304
28-556,PI,317
02-115,PI,279
02-114,PI,172
02-117,PI,336
02-116,PI,348
02-111,PI,260
25-291,PI,80
02-113,PI,234
02-112,PI,192
02-143,PI,244
25-290,PI,32
02-119,PI,209
02-118,PI,217
31-823,PI,191
31-822,PI,219
31-827,PI,74
31-826,PI,299
31-825,PI,253
31-824,PI,0
31-829,PI,245
31-828,PI,260
