Row Label,County,John Hilderbrand,Dan Hally
CLARKSTON #2,AS,142,101
SWALLOWS NEST,AS,250,204
WEST CLARKSTON #1,AS,151,139
WEST CLARKSTON #2,AS,177,109
WEST CLARKSTON #3,AS,216,135
ASOTIN #1,AS,148,77
ASOTIN #2,AS,159,87
SOUTH CLARKSTON #1,AS,154,112
SOUTH CLARKSTON #2,AS,190,168
W ASOTIN,AS,102,69
CLARKSTON #6,AS,128,129
CLARKSTON #7,AS,109,54
RURAL ASOTIN,AS,109,66
CLARKSTON #4,AS,133,126
Total,AS,4445,3065
ANATONE,AS,89,61
CLARKSTON #3,AS,120,118
CLARKSTON HTS #4,AS,228,84
CLARKSTON #8,AS,140,87
CLARKSTON HTS #3,AS,65,61
CLARKSTON HTS #2,AS,338,222
CLARKSTON HTS #1,AS,195,134
CLARKSTON #5,AS,93,73
CLARKSTON HTS #7,AS,224,162
CLARKSTON HTS #6,AS,312,199
CLARKSTON HTS #5,AS,373,207
CLARKSTON #1,AS,100,81
