Row Label,County,Scott G. Weber,Deanna Pauli-Hammond
669,CR,370,176
668,CR,329,276
667,CR,261,181
664,CR,312,253
663,CR,191,198
662,CR,353,235
660,CR,285,283
130,CR,216,395
571,CR,333,197
490,CR,296,158
491,CR,33,15
626,CR,308,212
692,CR,354,241
693,CR,182,142
690,CR,317,287
691,CR,316,220
696,CR,376,285
697,CR,392,308
694,CR,88,120
695,CR,363,246
698,CR,363,179
699,CR,320,199
450,CR,398,303
540,CR,481,208
340,CR,278,290
400,CR,153,169
930,CR,378,208
452,CR,287,233
935,CR,398,197
570,CR,359,218
678,CR,233,201
679,CR,189,187
674,CR,254,243
675,CR,224,179
677,CR,332,253
670,CR,291,320
672,CR,250,221
455,CR,256,162
120,CR,264,412
575,CR,136,41
914,CR,381,196
917,CR,215,158
528,CR,417,163
910,CR,291,225
537,CR,158,75
415,CR,210,215
535,CR,531,216
410,CR,332,357
913,CR,410,240
298,CR,186,165
530,CR,190,74
296,CR,207,196
370,CR,221,198
294,CR,207,165
912,CR,247,220
925,CR,334,168
290,CR,289,256
538,CR,234,65
591,CR,548,259
590,CR,508,256
593,CR,426,205
592,CR,491,255
595,CR,253,94
594,CR,14,6
597,CR,59,13
200,CR,214,374
598,CR,13,6
629,CR,301,201
700,CR,64,36
190,CR,302,336
969,CR,195,137
390,CR,337,318
110,CR,219,415
113,CR,124,175
112,CR,27,29
250,CR,305,357
536,CR,246,114
628,CR,317,256
524,CR,43,30
525,CR,263,133
527,CR,349,158
520,CR,215,126
521,CR,7,6
420,CR,280,278
423,CR,215,207
255,CR,258,283
425,CR,259,168
424,CR,357,264
360,CR,304,294
426,CR,428,310
586,CR,303,170
587,CR,330,149
449,CR,410,346
448,CR,402,287
582,CR,321,125
583,CR,311,154
580,CR,252,151
581,CR,190,90
441,CR,339,217
440,CR,311,283
447,CR,436,287
446,CR,364,183
445,CR,393,314
444,CR,371,363
245,CR,357,254
920,CR,306,176
108,CR,220,343
240,CR,423,293
102,CR,223,226
100,CR,206,430
615,CR,191,84
106,CR,207,317
649,CR,289,187
104,CR,278,327
903,CR,302,251
900,CR,327,211
905,CR,372,230
641,CR,124,103
640,CR,298,250
643,CR,277,229
642,CR,168,86
645,CR,381,297
644,CR,326,277
647,CR,234,166
646,CR,160,110
436,CR,175,150
510,CR,269,141
434,CR,245,171
435,CR,255,166
515,CR,448,222
430,CR,196,203
588,CR,209,105
579,CR,11,11
578,CR,34,21
627,CR,321,219
338,CR,329,221
625,CR,418,194
624,CR,88,43
335,CR,238,200
451,CR,312,242
337,CR,276,244
453,CR,280,259
577,CR,556,207
330,CR,312,256
456,CR,443,343
574,CR,12,15
600,CR,237,71
175,CR,184,197
257,CR,269,296
170,CR,169,290
543,CR,430,179
654,CR,228,150
656,CR,176,122
710,CR,136,110
180,CR,185,254
655,CR,251,244
652,CR,240,263
653,CR,227,231
650,CR,260,267
651,CR,224,179
505,CR,447,250
502,CR,319,190
503,CR,292,145
500,CR,399,238
659,CR,313,249
630,CR,238,204
631,CR,323,304
632,CR,176,125
633,CR,254,242
634,CR,269,215
635,CR,240,179
636,CR,281,185
560,CR,368,209
639,CR,270,215
545,CR,278,144
460,CR,453,332
566,CR,235,144
550,CR,465,259
225,CR,370,406
985,CR,230,237
160,CR,169,266
220,CR,177,234
964,CR,367,230
965,CR,356,200
966,CR,284,99
967,CR,228,124
960,CR,416,253
961,CR,64,37
962,CR,308,144
963,CR,233,195
968,CR,260,215
618,CR,438,202
658,CR,290,226
720,CR,264,169
947,CR,289,170
605,CR,441,133
150,CR,131,214
153,CR,209,175
606,CR,83,35
395,CR,79,101
603,CR,289,92
555,CR,412,274
523(*),CR,0,0
553,CR,320,214
584,CR,350,151
681,CR,232,218
959,CR,22,11
958,CR,57,39
951,CR,228,277
950,CR,294,240
953,CR,123,124
957,CR,91,35
638,CR,272,207
327,CR,381,234
585,CR,462,211
325,CR,245,179
620,CR,453,216
147,CR,263,216
522(*),CR,0,0
563,CR,372,235
613,CR,201,83
610,CR,543,256
617,CR,383,187
565,CR,281,184
511,CR,18,13
648,CR,255,216
487,CR,171,109
485,CR,325,117
673,CR,328,296
483,CR,501,313
573,CR,464,247
480,CR,492,302
686,CR,222,192
432,CR,247,173
576,CR,5,3
940,CR,319,213
680,CR,267,212
470,CR,369,360
689,CR,323,252
688,CR,244,239
350,CR,239,230
685,CR,85,67
687,CR,281,218
Total,CR,67450,49127
572,CR,465,252
596(*),CR,0,0
683,CR,271,253
682,CR,250,238
