Row Label,County,Christopher Hurst,Phil Fortunato
31-822,PI,182,152
31-926,PI,8,7
31-827,PI,54,66
31-826,PI,255,197
31-825,PI,233,172
31-829,PI,184,179
31-828,PI,238,166
31-900,PI,121,172
31-901,PI,23,25
31-902,PI,286,313
31-903,PI,3,4
31-904,PI,40,37
31-905,PI,204,187
31-906,PI,106,116
31-907,PI,158,186
31-908,PI,134,155
31-909,PI,168,142
31-856,PI,189,176
31-857,PI,144,92
31-854,PI,116,82
31-855,PI,169,106
31-853,PI,56,29
31-919,PI,200,170
31-917,PI,278,283
31-916,PI,176,194
31-915,PI,31,44
31-914,PI,131,154
31-913,PI,82,95
31-912,PI,154,122
31-911,PI,129,99
31-910,PI,162,183
31-845,PI,177,173
31-844,PI,128,153
31-847,PI,108,91
31-846,PI,72,82
31-841,PI,115,111
31-840,PI,83,111
31-843,PI,128,163
31-842,PI,155,215
31-849,PI,80,65
31-848,PI,29,43
31-833,PI,219,203
31-873,PI,32,51
31-874,PI,0,0
31-875,PI,280,262
31-876,PI,15,11
31-877,PI,104,115
31-879,PI,43,61
31-869,PI,86,121
31-865,PI,67,56
31-861,PI,57,58
31-818,PI,56,61
31-819,PI,104,92
31-813,PI,109,114
31-810,PI,158,114
31-816,PI,206,189
31-817,PI,249,221
31-814,PI,34,24
31-815,PI,160,153
31-824(*),PI,0,0
31-927,PI,154,216
31-809,PI,216,214
31-808,PI,228,185
31-924,PI,124,149
31-925,PI,83,37
31-923,PI,151,155
31-920,PI,173,113
31-921,PI,150,193
31-801,PI,140,137
31-803,PI,207,213
31-802,PI,193,231
31-805,PI,219,211
31-804,PI,202,232
31-807,PI,2,2
31-806,PI,290,243
31-823(*),PI,0,0
31-892,PI,175,127
31-890,PI,132,113
31-891,PI,82,63
31-896,PI,3,4
31-897,PI,113,103
31-894,PI,36,29
31-895,PI,165,184
31-898,PI,263,215
31-899,PI,102,138
31-834,PI,191,174
31-835,PI,344,281
31-836,PI,196,228
31-837,PI,186,148
31-830,PI,95,82
31-893(*),PI,0,0
31-838,PI,168,144
31-839,PI,25,16
31-881,PI,119,164
31-880,PI,69,92
31-883,PI,287,289
31-882,PI,240,202
31-885,PI,94,74
31-884,PI,211,313
31-887,PI,197,157
31-886,PI,213,213
31-888,PI,167,164
Total,PI,14026,13624
