Row Label,County,Jeff Chapman
601 Queets,JE,26
704 Port Townsend,JE,184
101 Gardiner,JE,122
501 Port Ludlow I,JE,409
200 Coyle,JE,168
708 Port Townsend,JE,476
302 Center I,JE,187
702 Port Townsend,JE,210
306 Irondale II,JE,335
300 Chimacum I,JE,229
102 Port Discovery,JE,147
105 Discovery Bay,JE,353
305 Irondale I,JE,262
710 Port Townsend,JE,273
500 Port Ludlow,JE,342
106 North Jacob,JE,270
503 Port Ludlow III,JE,232
301 Chimacum II,JE,139
706 Port Townsend,JE,552
401 Nordland,JE,343
502 Port Ludlow II,JE,254
505 Port Ludlow V,JE,284
709 Port Townsend,JE,437
303 Hadlock,JE,339
304 Kala Point,JE,379
107 South Jacob,JE,359
201 Quilcene,JE,319
308 Center II,JE,119
705 Port Townsend,JE,223
204 Brinnon,JE,375
707 Port Townsend,JE,456
104 Cape George,JE,369
103 Crocker,JE,119
600 Hoh,JE,29
703 Port Townsend,JE,256
700 Port Townsend,JE,347
504 Port Ludlow IV,JE,181
Total,JE,10493
701 Port Townsend,JE,163
307 Four Corners,JE,226
