Row Label,County,Heidi Smith
JENNINGS LOOP,OK,20
MOCCASIN LAKE,OK,52
TONASKET CREEK,OK,22
FINLEY CANYON,OK,56
TUNK CREEK,OK,55
NORTH TONASKET,OK,60
FLETCHER,OK,36
GREENACRES,OK,27
OMAK #21,OK,22
BUCKHORN MTN,OK,39
GLOVER,OK,49
OMAK #22,OK,45
OMAK #23,OK,21
OMAK #24,OK,30
WEST CHEWUCH,OK,54
OKANOGAN #13,OK,20
METHOW,OK,49
ELMWAY,OK,31
BREWSTER FLAT,OK,37
TEAL LAKE,OK,27
TONASKET RURAL,OK,20
NORTH STAR,OK,11
NESPELEM CITY,OK,17
VALLEY,OK,32
OMAK RIVER,OK,36
BREWSTER #6,OK,17
OWHI,OK,23
AENEAS CREEK,OK,30
OMAK #19,OK,23
PINE CONE,OK,23
ASTON,OK,27
BREWSTER #2,OK,45
BREWSTER #3,OK,25
BREWSTER RURAL,OK,36
BREWSTER #1,OK,18
WHISKY MTN,OK,14
BREWSTER #4,OK,13
LIME BELT,OK,19
ELLISFORDE,OK,51
ALMA,OK,31
OROVILLE #8,OK,27
AENEAS LAKE,OK,44
OMAK #13,OK,30
SUNSET LAKES,OK,16
OMAK #6,OK,33
PALMER LAKE,OK,36
CARLTON,OK,32
OMAK #5,OK,39
OMAK #2,OK,33
MAZAMA,OK,78
FIKER,OK,29
OMAK #1,OK,21
PATEROS #3,OK,16
PATEROS #2,OK,23
PATEROS #1,OK,34
OKANOGAN #6,OK,34
OMAK #8,OK,20
BLACK CANYON,OK,28
CANAL,OK,33
OKANOGAN #3,OK,17
OKANOGAN #1,OK,27
COLUMBIA,OK,24
OKANOGAN #7,OK,20
TWISP RURAL,OK,46
BONAPARTE,OK,20
GUSTY RIDGE,OK,27
OROVILLE #7,OK,24
ROSS CANYON,OK,47
OKANOGAN #9,OK,33
OROVILLE #4,OK,34
KIPLING,OK,20
LONGANECKER,OK,31
NORTH OMAK,OK,21
OMAK MTN,OK,16
AVIATION,OK,21
RAT LAKE,OK,23
WINTHROP #2,OK,51
OMAK #7,OK,31
OMAK #10,OK,37
TWIN LAKES,OK,63
OMAK #4,OK,28
MOLSON,OK,42
YARNELL,OK,25
WHITESTONE,OK,23
CHEWILIKEN,OK,17
COULEE DAM #4,OK,33
OMAK #3,OK,14
HAVILLAH,OK,41
OMAK #20,OK,39
PINE CREEK,OK,28
EDELWEISS,OK,53
BUFFALO LAKE,OK,20
POORMAN CREEK,OK,71
CHESAW,OK,24
PATEROS RURAL,OK,28
CAYUSE MTN,OK,18
SOURDOUGH,OK,42
HIGHWAY,OK,16
DAVIS LAKE,OK,55
LEECHER MTN,OK,45
SOUTH OROVILLE,OK,46
BEEMAN,OK,50
MYERS CREEK,OK,18
BLUE LAKE,OK,45
POGUE,OK,58
MONSE #3,OK,24
TORODA,OK,43
MONSE #1,OK,40
BOUNDARY,OK,37
OMAK #9,OK,52
TONASKET #6,OK,21
SAN POIL,OK,58
LAKE ANDREWS,OK,36
ENGH,OK,51
OKANOGAN #2,OK,44
ANTOINE CREEK,OK,19
BRIDGE CREEK,OK,35
RIVERSIDE RURAL,OK,71
SPRING COULEE,OK,51
SPECTACLE LAKE,OK,35
AIRPORT,OK,45
DULEY LAKE,OK,25
OROVILLE #9,OK,25
FLATS,OK,36
WINTHROP #1,OK,64
OROVILLE #5,OK,38
OROVILLE #6,OK,22
CROSSROADS,OK,35
OROVILLE #1,OK,28
OROVILLE #2,OK,22
OROVILLE #3,OK,22
LIBBY CREEK,OK,62
OKANOGAN RURAL,OK,30
OKANOGAN #4,OK,41
WEST RIVER,OK,18
BALKY HILL,OK,42
COPPLE,OK,37
OKANOGAN #5,OK,40
MISSION,OK,19
NESPELEM RURAL,OK,20
PATTERSON LAKE,OK,69
MCGINNIS LAKE,OK,13
HORSESHOE LAKE,OK,31
OKANOGAN #8,OK,33
NICHOLS,OK,20
CONCONULLY CITY,OK,64
ORCHARD,OK,30
ELMER CITY,OK,67
MCCLURE MTN,OK,60
ALTA LAKE,OK,29
PEARRYGIN LAKE,OK,39
COLEMAN BUTTE,OK,39
TWISP #4,OK,20
JOHNSON CREEK,OK,44
TWISP #3,OK,59
TWISP #1,OK,69
DUFFYS MTN,OK,21
LOOMIS,OK,32
RIVERSIDE CITY,OK,57
SHORELINE,OK,18
SIMILKAMEEN,OK,21
PIONEER,OK,38
CRUMBACHER,OK,48
OMAK #11,OK,46
OMAK #12,OK,42
LONE PINE,OK,27
OMAK #14,OK,30
OMAK #15,OK,43
OMAK #16,OK,32
OMAK #17,OK,52
PICKENS MTN,OK,32
EDER,OK,26
WANNACUT,OK,50
CAPE LABELLE,OK,19
DIXON,OK,42
JANIS,OK,25
SIWASH CREEK,OK,34
BOSTON,OK,58
CHEROKEE,OK,47
RANCHES,OK,15
WOLF CREEK,OK,51
HENDRICK,OK,58
ELMERTON,OK,69
TONASKET #4,OK,31
FRONTAGE,OK,16
LEESE,OK,18
TONASKET #1,OK,24
OKANOGAN #11,OK,40
TONASKET #3,OK,16
TONASKET #2,OK,32
KERMEL,OK,45
ANGLIN,OK,47
OMAK LAKE,OK,23
SAND FLAT,OK,56
MALOTT,OK,63
DISAUTEL,OK,19
BREWSTER #5,OK,19
BODIE,OK,12
CHILIWIST,OK,33
TONASKET #5,OK,28
AENEAS,OK,32
COULEE DAM #3,OK,27
COULEE DAM #2,OK,37
COULEE DAM #1,OK,56
WESTLAKE,OK,24
TONASKET #7,OK,35
LEWIS BUTTE,OK,64
STARR,OK,19
OKANOGAN #10,OK,41
BEAVER CREEK,OK,28
NORTH MALOTT,OK,46
OKANOGAN #12,OK,24
WAUCONDA,OK,29
WINTHROP RURAL,OK,66
DUCK LAKE,OK,27
EASTSIDE,OK,55
HUDSON,OK,21
NIGHTHAWK,OK,13
CONCONULLY RURAL,OK,37
ANTOINE PEAK,OK,16
OROVILLE #10,OK,34
OMAK #18,OK,28
TWISP #2,OK,47
EASTLAKE,OK,22
Total,OK,7779
MOCK,OK,41
