Row Label,County,Corinna Harn,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
B-D 05-0239,KI,148,560,136,284,0,0
AUB 47-3585,KI,97,374,55,152,0,0
M-V 05-2841,KI,106,385,82,188,0,0
KEN 33-3232,KI,118,502,86,204,0,0
COV 47-0279,KI,218,832,147,369,0,4
COV 47-2843,KI,212,792,180,395,0,3
RNT 11-1012,KI,130,589,109,242,0,3
KEN 33-3629,KI,16,61,11,27,0,0
KEN 47-0835,KI,145,645,130,276,0,1
RNT 11-0964,KI,133,557,127,260,0,0
RNT 11-0962,KI,86,309,39,127,0,2
TIMBER,KI,187,664,170,358,0,1
B-D 05-0240,KI,104,419,98,207,0,5
KEN 47-3190,KI,139,693,100,241,0,2
M-V 05-3600,KI,143,616,127,270,0,0
RNT 11-3660,KI,96,341,75,174,0,3
AUB 47-3518,KI,152,640,157,309,0,0
KEN 47-2838,KI,192,650,112,307,0,3
PAC 30-0885,KI,179,762,160,342,0,3
PAC 30-0887,KI,210,796,120,332,0,2
PAC 30-0886,KI,168,668,118,287,0,1
DARWOOD,KI,149,472,132,285,0,4
RNT 41-3438,KI,89,365,71,160,0,0
BRIARWOOD,KI,144,582,148,293,0,1
KEN 47-0880,KI,92,362,54,148,0,2
KEN 47-3537,KI,139,557,109,249,0,1
AUB 47-0059,KI,188,678,177,365,0,0
RNT 33-0455,KI,182,767,153,339,0,4
KEN 47-3447,KI,66,248,40,107,0,1
KEN 47-2667,KI,113,528,61,176,0,2
RNT 11-1008,KI,150,662,109,264,0,5
RNT 11-1007,KI,67,315,82,149,0,0
RNT 11-1006,KI,99,453,95,194,0,0
RNT 11-1004,KI,75,317,66,141,0,0
AUB 47-0055,KI,87,391,69,156,0,0
KEN 47-0498,KI,67,231,27,94,0,0
PTARMIGAN,KI,100,344,90,195,0,5
SPRING LAKE,KI,192,745,238,431,0,1
AUB 31-0078,KI,100,404,93,193,0,0
AUB 31-0070,KI,186,655,79,267,0,2
RNT 37-0965,KI,214,708,128,346,0,4
AUB 47-3635,KI,158,746,134,295,0,3
WANDA,KI,114,417,88,205,0,3
RNT 11-3590,KI,197,710,125,327,0,5
M-V 05-3589,KI,211,725,131,343,0,1
COV 47-3551,KI,102,375,79,181,0,0
BETTY,KI,171,775,89,263,0,3
AUB 30-2702,KI,112,470,43,156,0,1
AUB 30-2703,KI,47,262,16,63,0,0
KEN 47-2985,KI,132,571,63,198,0,3
RNT 05-3698,KI,20,52,7,27,0,0
RNT 11-3564,KI,118,491,127,246,0,1
FAIRWEATHER,KI,87,269,77,164,0,0
MONEYSMITH,KI,209,669,181,390,0,0
MAPLE HILLS,KI,215,719,174,391,0,2
M-V 05-2748,KI,206,806,136,347,0,5
CROW,KI,84,389,111,197,0,2
KEN 33-3378,KI,203,725,130,333,0,0
RNT 37-0969,KI,0,0,0,0,0,0
RNT 11-2583,KI,207,838,159,368,0,2
RNT 11-2582,KI,185,795,81,270,0,4
RNT 11-2581,KI,163,668,153,322,0,6
RNT 37-0967,KI,144,503,89,236,0,3
KEN 33-2618,KI,198,795,106,306,0,2
M-V 05-3510,KI,133,381,80,213,0,0
RNT 11-0719,KI,74,243,60,134,0,0
RNT 11-0804,KI,204,842,135,342,0,3
TOTEM,KI,11,70,20,31,0,0
AUB 47-2729,KI,104,396,76,182,0,2
CLAY,KI,122,438,114,237,0,1
FARLEY,KI,173,739,237,414,0,4
KEN 11-0893,KI,117,580,90,209,0,2
AUB 47-2723,KI,152,346,81,234,0,1
AUB 47-0671,KI,178,785,149,329,0,2
RNT 11-0988,KI,109,437,62,172,0,1
RNT 11-0985,KI,90,325,75,167,0,2
RNT 11-0984,KI,79,279,61,140,0,0
RNT 11-0986,KI,203,719,142,349,0,4
AUB 47-2478,KI,198,490,130,328,0,0
RNT 11-0980,KI,57,333,32,90,0,1
AUB 47-2573,KI,247,679,139,391,0,5
KEN 33-3670,KI,78,288,42,120,0,0
GREEN RIVER,KI,128,482,131,261,0,2
KEN 33-0578,KI,131,501,75,207,0,1
KEN 33-0576,KI,96,394,67,165,0,2
KEN 33-0577,KI,107,371,62,170,0,1
KEN 33-0575,KI,105,413,48,153,0,0
BERRYDALE,KI,130,505,146,277,0,1
AUB 47-3413,KI,189,758,132,323,0,2
LOUIE,KI,131,512,104,236,0,1
PIPELINE,KI,44,153,36,82,0,2
M-V 05-3601,KI,148,496,89,239,0,2
MORGAN,KI,158,631,146,305,0,1
KEN 47-0842,KI,201,796,166,368,0,1
ENM 31-0409,KI,94,379,101,196,0,1
LAKE RETREAT,KI,159,654,182,347,0,6
CLOVER,KI,166,594,128,299,0,5
RNT 11-1125,KI,153,661,113,268,0,2
MERRIHILL,KI,188,687,129,324,0,7
RNT 33-2472,KI,149,587,98,252,0,5
HUSKY,KI,161,650,177,340,0,2
CHINOOK,KI,180,671,176,357,0,1
RNT 11-2739,KI,79,274,57,140,0,4
AUB 31-3299,KI,64,248,90,155,0,1
SHADOW LAKE,KI,174,610,159,334,0,1
KEN 33-1055,KI,74,424,47,123,0,2
BROKEN HILL,KI,152,639,116,268,0,0
LAKE DESIRE,KI,174,605,148,323,0,1
NAILA,KI,210,798,201,416,0,5
KEN 47-0601,KI,205,733,84,291,0,2
KEN 47-0600,KI,25,131,21,46,0,0
ALG 30-0014,KI,157,486,70,229,0,2
KEN 47-0439,KI,166,585,140,309,0,3
M-V 05-3461,KI,190,779,158,352,0,4
COV 47-3517,KI,76,263,91,168,0,1
CALHOUN,KI,154,574,77,236,0,5
RNT 11-2844,KI,200,845,151,354,0,3
RNT 11-2845,KI,153,548,68,221,0,0
SHAMROCK,KI,179,693,148,332,0,5
KEN 47-0026,KI,119,357,50,169,0,0
ROWAN,KI,96,356,97,195,0,2
ANGEL CITY,KI,169,745,126,299,0,4
ENM 31-3248,KI,243,732,197,442,0,2
ENM 31-3247,KI,177,682,145,323,0,1
ENM 31-3246,KI,61,264,62,127,0,4
RNT 11-0502,KI,205,703,138,346,0,3
KEN 47-0028,KI,145,533,128,275,0,2
