Row Label,County,Joel Kretz,Ronnie Rae
MILL CREEK,ST,143,15
KETTLE FALLS 1,ST,278,40
COLUMBIA,ST,391,88
ARDEN 1,ST,272,43
COLVILLE 1,ST,113,25
COLVILLE 2,ST,142,33
DAISY,ST,147,29
COLVILLE 4,ST,330,49
COLVILLE 5,ST,266,48
COLVILLE 6,ST,144,38
COLVILLE 7,ST,175,30
COLVILLE VALLEY,ST,522,62
STONE LODGE,ST,301,57
ECHO VALLEY,ST,173,31
LOON LAKE 2,ST,206,50
NARCISSE,ST,391,55
LOON LAKE 1,ST,374,76
COLVILLE 3,ST,159,24
CAMAS PRAIRIE,ST,168,39
EVANS,ST,184,26
SPRINGDALE,ST,50,18
MEYERS FALLS 2,ST,432,46
NORTHPORT,ST,82,15
SUMMIT,ST,239,24
KELLY HILL,ST,94,15
CLAYTON 2,ST,333,72
CLAYTON 1,ST,198,41
ARDEN 2,ST,333,40
MEYERS FALLS 1,ST,254,36
WAITTS LAKE,ST,277,68
WELLPINIT,ST,73,79
CHEWELAH 3,ST,177,38
HUNTERS,ST,296,72
ONION CREEK,ST,82,51
CHEWELAH 2,ST,109,28
CHEWELAH 1,ST,223,54
ECHO,ST,329,46
QUARTZITE 1,ST,451,81
QUARTZITE 2,ST,235,41
TUM TUM 5,ST,282,60
TUM TUM 4,ST,247,49
ROCK CUT,ST,63,22
TUM TUM 1,ST,175,41
TUM TUM 3,ST,423,68
TUM TUM 2,ST,360,56
MARCUS,ST,48,14
Total,ST,13225,2505
FIRST THOUGHT,ST,52,6
WALKERS PRAIRIE,ST,178,77
CAMAS,ST,284,60
ADDY,ST,342,54
WILLIAMS VALLEY,ST,405,73
ORIN 1,ST,238,21
ORIN 2,ST,283,40
KETTLE FALLS 2,ST,174,29
CHEWELAH FORE,ST,130,25
RICE,ST,153,41
VALLEY 1,ST,56,8
VALLEY 2,ST,186,38
