Row Label,County,Shari Song,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in,Mark Miloscia
FED 30-3305,KI,44,402,4,102,0,1,53
ROUNDTABLE,KI,92,602,6,212,0,1,113
ANGELO,KI,87,425,7,232,0,2,136
FED 30-3027,KI,140,654,6,288,0,0,142
FED 30-3026,KI,86,399,5,195,0,0,104
FED 30-3025,KI,87,506,5,307,0,0,215
FED 30-3024,KI,66,349,6,222,0,0,150
FED 30-3023,KI,113,412,5,258,0,1,139
FED 30-3022,KI,54,216,7,132,0,0,71
FED 30-3021,KI,111,566,11,249,0,1,126
FED 30-3020,KI,100,436,5,223,0,0,118
LAKELAND,KI,106,527,8,248,0,1,133
FED 30-3029,KI,71,309,1,117,0,0,45
FED 30-3028,KI,100,510,4,250,0,0,146
