Row Label,County,Eddie Yoon,Charles W. Johnson
Yellowhawk 58,WL,7,26
CP 3 63,WL,108,273
Touchet 5 56(*),WL,0,0
Spruce 24,WL,53,121
Birch 05,WL,58,154
Baumeister 04,WL,93,232
Jefferson 13,WL,118,330
Ice Harbor 34,WL,76,282
Alder 02,WL,41,105
Waitsburg 65,WL,93,278
Lincoln 49,WL,12,36
CP 1 61,WL,110,303
Watertown 29,WL,57,136
Frenchtown 4 45,WL,13,25
Ritz 53,WL,120,309
CP 2 62,WL,104,201
Frenchtown 5 44,WL,48,109
Alderbrook 01,WL,50,141
Baker 33,WL,12,60
Edison 08,WL,78,140
Pine 21,WL,45,104
Mill Creek 50,WL,50,142
Sharpstein 23,WL,48,160
Gose 47,WL,15,64
CP 5 67,WL,78,249
Henderson 11,WL,57,161
Burbank 38,WL,113,312
Garfield 09,WL,74,186
Washington 60,WL,25,92
Garrison 46,WL,47,143
Berney 35,WL,47,167
Isaacs 12,WL,40,124
Paine 20,WL,33,89
Pleasant 22,WL,106,326
Wallula 59,WL,12,22
Monroe 18,WL,112,380
Ash 03,WL,92,245
Dixie 41,WL,53,153
Touchet 4 55,WL,56,211
CP 6 68,WL,13,48
Eureka 4 43(*),WL,0,0
Blalock 36,WL,95,288
Stadium 25,WL,55,145
Clyde 39,WL,5,20
CP 4 66,WL,124,318
Pros Point 52,WL,178,528
Wainwright 28,WL,83,281
Moore 51,WL,42,139
Derry 40,WL,35,95
Eureka 5 42(*),WL,0,0
College 07,WL,74,161
Prescott 64,WL,12,60
Green Park 10,WL,46,127
Twin Grove 57,WL,51,142
Tausick 26,WL,59,157
Marcus 17,WL,146,379
Braden 37,WL,80,289
McNary 54,WL,49,159
Maple 16,WL,117,327
Total,WL,3728,10581
Abbott 31,WL,57,188
Clark 06,WL,40,102
