Row Label,County,Richard DeBolt,Michael Savoca
Modrow,CZ,207,199
Ostrander,CZ,244,232
Woodland South,CZ,311,233
Tunstall,CZ,111,82
Brynion,CZ,163,166
Powell,CZ,242,171
Cloverdale,CZ,215,145
Woodland North,CZ,424,233
Owl Creek,CZ,316,279
Harris,CZ,217,201
Toutle,CZ,287,234
Woodage,CZ,254,124
Rose Valley,CZ,190,131
Silver Lake,CZ,446,267
Kalama North,CZ,183,171
Yale,CZ,200,170
Chinook,CZ,293,244
Kalama South,CZ,254,214
Caples,CZ,139,67
Tower,CZ,372,282
Lewis River,CZ,419,279
Castle Rock,CZ,293,273
Carrolls,CZ,264,213
Total,CZ,6044,4610
