Row Label,County,Jane E. Richards,Ray D. Lutes
CLARKSTON #2,AS,58,176
SWALLOWS NEST,AS,109,319
WEST CLARKSTON #1,AS,91,186
WEST CLARKSTON #2,AS,91,181
WEST CLARKSTON #3,AS,103,243
ASOTIN #1,AS,57,161
ASOTIN #2,AS,81,166
SOUTH CLARKSTON #1,AS,83,177
SOUTH CLARKSTON #2,AS,109,224
W ASOTIN,AS,43,128
CLARKSTON #6,AS,84,164
CLARKSTON #7,AS,58,103
RURAL ASOTIN,AS,53,114
CLARKSTON #4,AS,77,169
Total,AS,2224,4993
ANATONE,AS,35,109
CLARKSTON #3,AS,58,169
CLARKSTON HTS #4,AS,92,212
CLARKSTON #8,AS,71,144
CLARKSTON HTS #3,AS,39,81
CLARKSTON HTS #2,AS,163,361
CLARKSTON HTS #1,AS,88,233
CLARKSTON #5,AS,41,116
CLARKSTON HTS #7,AS,134,236
CLARKSTON HTS #6,AS,151,343
CLARKSTON HTS #5,AS,192,364
CLARKSTON #1,AS,63,114
