Row Label,County,Terri Jeffreys,B. Dean Byrd
BELFAIR,MA,224,145
MILL CREEK,MA,353,238
HARSTINE,MA,396,227
DAYTON,MA,188,184
DOWNTOWN,MA,241,144
AIRPORT,MA,338,243
MATLOCK,MA,239,170
AGATE,MA,267,168
JOHN&#39;S PRAIRIE,MA,190,177
OLYMPIC VIEW,MA,325,224
ISABELLA,MA,163,128
CUSHMAN,MA,285,213
MASON LAKE,MA,235,122
SAND HILL,MA,267,191
KAMILCHE POINT,MA,143,86
HILLCREST,MA,184,144
EELLS,MA,93,78
BORDEAUX,MA,28,42
ANGLESIDE,MA,273,212
ARCADIA,MA,301,226
HOOD CANAL,MA,279,208
UNION,MA,433,246
LIMERICK,MA,363,239
FAWN LAKE,MA,301,221
TIGER LAKE,MA,145,90
PICKERING,MA,255,166
CALLANAN,MA,8,7
KAMILCHE,MA,106,84
VICTOR,MA,198,109
TWANOH,MA,166,113
OAKLAND BAY,MA,186,193
TAHUYA,MA,256,172
ALLYN,MA,466,257
DEWATTO,MA,299,176
TIMBERLAKE,MA,357,207
GRAPEVIEW,MA,317,191
FAIR HARBOR,MA,198,122
TRAIL&#39;S END,MA,297,158
SKOKOMISH,MA,49,34
Total,MA,9412,6355
