Row Label,County,Gerry Pollet,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
LFP 46-3380,KI,249,579,114,368,0,5
SEA 46-2328,KI,89,299,55,147,0,3
SEA 46-3688,KI,12,24,3,15,0,0
KMR 46-0820,KI,138,365,72,212,0,2
KMR 46-2771,KI,259,699,138,412,0,15
SEA 46-3687,KI,91,220,48,143,0,4
SEA 46-2304,KI,166,369,66,233,0,1
SEA 46-2305,KI,169,364,80,253,0,4
SEA 46-2306,KI,145,307,45,195,0,5
SEA 46-2127,KI,205,494,69,278,0,4
SEA 46-2300,KI,240,490,80,327,0,7
SEA 46-2302,KI,183,408,82,265,0,0
SEA 46-2095,KI,132,279,51,187,0,4
SEA 46-2221,KI,202,513,89,298,0,7
SEA 46-2308,KI,164,377,64,230,0,2
SEA 46-2309,KI,141,300,41,184,0,2
LFP 46-0003,KI,169,477,102,273,0,2
KMR 46-0501,KI,210,546,92,304,0,2
SEA 46-2275,KI,56,127,15,71,0,0
SEA 46-2339,KI,113,330,54,171,0,4
SEA 46-2338,KI,189,543,67,260,0,4
LFP 46-1056,KI,211,536,116,332,0,5
SEA 46-2330,KI,171,420,55,232,0,6
SEA 46-2333,KI,153,371,61,221,0,7
SEA 46-2332,KI,111,248,53,165,0,1
SEA 46-2335,KI,199,609,62,268,0,7
SEA 46-2334,KI,252,573,88,343,0,3
SEA 46-2337,KI,137,347,43,185,0,5
SEA 46-2336,KI,253,707,93,350,0,4
SEA 46-2347,KI,200,519,71,281,0,10
SEA 46-1952,KI,128,281,50,179,0,1
SEA 46-1953,KI,136,236,37,175,0,2
SEA 46-1954,KI,148,282,51,203,0,4
SEA 46-1955,KI,209,558,78,289,0,2
SEA 46-1957,KI,204,553,146,354,0,4
SEA 46-1959,KI,323,703,159,491,0,9
SEA 46-2234,KI,129,274,48,182,0,5
SEA 46-2236,KI,153,350,62,218,0,3
SEA 46-2796,KI,150,456,71,229,0,8
SEA 46-3677,KI,123,320,53,181,0,5
SEA 46-2231,KI,261,619,100,366,0,5
KMR 46-1181,KI,107,295,58,169,0,4
SEA 46-2282,KI,322,653,101,429,0,6
KMR 46-0696,KI,290,728,153,455,0,12
KMR 46-0695,KI,187,532,104,299,0,8
LFP 46-2439,KI,136,311,60,200,0,4
SEA 46-2321,KI,174,333,46,225,0,5
SEA 46-1284,KI,103,278,36,140,0,1
SEA 46-1285,KI,123,303,57,182,0,2
SEA 46-2286,KI,210,437,66,279,0,3
SEA 46-2280,KI,289,645,103,396,0,4
SEA 46-1282,KI,262,656,133,399,0,4
SEA 46-1283,KI,153,391,50,204,0,1
SEA 46-2326,KI,178,574,90,271,0,3
SEA 46-2327,KI,140,381,49,190,0,1
SEA 46-2324,KI,170,432,64,237,0,3
SEA 46-2325,KI,167,405,72,242,0,3
SEA 46-2289,KI,135,338,68,203,0,0
SEA 46-2323,KI,212,554,96,310,0,2
LFP 46-1186,KI,176,436,70,250,0,4
LFP 46-0517,KI,175,445,95,273,1,2
SEA 46-1965,KI,148,292,42,190,0,0
SEA 46-1964,KI,189,499,57,247,0,1
SEA 46-1967,KI,234,497,79,320,0,7
SEA 46-1966,KI,104,234,37,144,0,3
SEA 46-1961,KI,125,272,56,182,0,1
SEA 46-1963,KI,107,278,45,152,0,0
SEA 46-1962,KI,141,295,65,208,0,2
SEA 46-2379,KI,224,542,101,332,0,7
SEA 46-1969,KI,110,278,58,169,0,1
SEA 46-1968,KI,127,297,48,177,0,2
SEA 46-2094,KI,141,283,37,178,0,0
KMR 46-0689,KI,243,550,98,347,0,6
SEA 46-2096,KI,123,230,38,162,0,1
SEA 46-2097,KI,181,400,75,257,0,1
SEA 46-2090,KI,188,494,72,262,0,2
SEA 46-2091,KI,183,451,77,265,0,5
SEA 46-2092,KI,182,311,42,225,0,1
SEA 46-2093,KI,254,462,60,317,0,3
SEA 46-2098,KI,202,436,80,285,0,3
SEA 46-2099,KI,213,437,75,293,0,5
KMR 46-0686,KI,192,478,88,283,0,3
SEA 46-2267,KI,169,518,66,241,0,6
SEA 46-2298,KI,145,321,56,205,0,4
SEA 46-2299,KI,168,393,61,229,0,0
SEA 46-2349,KI,156,382,62,220,0,2
SEA 46-2292,KI,210,505,75,288,0,3
SEA 46-2293,KI,200,441,91,292,0,1
SEA 46-2290,KI,133,289,61,195,0,1
SEA 46-2291,KI,147,387,54,204,0,3
SEA 46-2296,KI,164,391,68,237,0,5
SEA 46-2297,KI,130,283,36,169,0,3
SEA 46-2295,KI,223,481,83,310,0,4
SEA 46-1978,KI,204,501,119,328,0,5
SEA 46-2228,KI,162,486,66,234,0,6
LFP 46-1237,KI,195,419,78,275,0,2
SEA 46-2142,KI,268,674,82,357,0,7
KMR 46-0036,KI,245,649,134,383,0,4
SEA 46-1970,KI,117,250,43,161,0,1
SEA 46-1971,KI,133,325,64,200,0,3
SEA 46-1977,KI,149,321,64,217,0,4
SEA 46-1974,KI,183,415,86,269,0,0
SEA 46-2145,KI,212,497,81,297,0,4
SEA 46-2359,KI,151,341,52,203,0,0
SEA 46-2358,KI,360,846,125,494,0,9
SEA 46-2353,KI,161,488,33,199,0,5
SEA 46-2352,KI,121,338,55,181,0,5
SEA 46-2351,KI,162,314,38,200,0,0
SEA 46-2303,KI,203,422,77,284,0,4
SEA 46-2357,KI,224,472,82,309,0,3
SEA 46-2355,KI,160,354,61,224,0,3
KMR 46-0535,KI,188,610,128,324,0,8
LFP 46-0309,KI,248,582,132,386,0,6
SEA 46-2100,KI,194,370,51,246,0,1
LFP 46-0734,KI,258,575,87,349,0,4
SEA 46-2378,KI,150,322,62,212,0,0
KMR 46-1095,KI,259,785,151,421,0,11
SEA 46-2346,KI,147,364,46,193,0,0
LFP 46-0650,KI,143,354,74,221,0,4
