Row Label,County,Lisa L. Sutton
Yelm 1,TH,198
Griffin,TH,192
Kaiser,TH,99
Smith Prairie,TH,258
Olympia 01,TH,190
Lacey 29,TH,246
Scott Lake South,TH,178
Tri Lakes,TH,118
Woodland,TH,197
Plumb,TH,234
Montgomery,TH,126
Olympia 10,TH,206
Summerset,TH,335
Olympia 12,TH,120
Olympia 13,TH,196
Pleasant Hill,TH,227
Olympia 15,TH,141
Smith Lake,TH,213
Olympia 17,TH,155
Olympia 18,TH,184
Rocky Prairie,TH,142
Tumwater 05,TH,146
Scatter Creek,TH,162
Lacey 06,TH,84
Henderson,TH,289
Mullen,TH,254
Marvin,TH,259
Rochester 4,TH,159
Rochester 5,TH,223
Rochester 2,TH,199
Rochester 3,TH,219
French,TH,225
Rochester 1,TH,268
Tumwater 11,TH,282
Evergreen Ballroom,TH,286
Littlerock,TH,338
Lacey 10,TH,259
Skookumchuck,TH,214
Delphi,TH,212
Tolmie,TH,91
St Clair,TH,211
Olympia 58,TH,214
Tenino 01,TH,134
James,TH,180
Tumwater 10,TH,284
Lacey 14,TH,76
Olympia 07,TH,119
Olympia 06,TH,329
Olympia 05,TH,185
Olympia 04,TH,199
Olympia 03,TH,203
Olympia 02,TH,199
Plainview,TH,321
Lacey 27,TH,186
Delridge,TH,62
Military,TH,83
Lacey 16,TH,193
Lacey 39,TH,337
Olympia 09,TH,360
Sweet Briar,TH,297
Rainier 01,TH,151
Puget,TH,267
Olympia 11,TH,179
Vail,TH,260
Stedman,TH,125
Tumwater 13,TH,88
Zenkner Valley,TH,52
Trailblazer,TH,86
Libby,TH,175
Lackamas,TH,90
Broadway,TH,275
Johnson Point,TH,263
Sleater Kinney,TH,194
Medicine Creek,TH,106
Lacey 42,TH,72
Olympia 16,TH,43
Tumwater 12,TH,202
Prine,TH,43
Long Lake,TH,58
Lacey 33,TH,108
Olympia 53,TH,201
Lacey 31,TH,160
Lacey 30,TH,292
Greenridge,TH,147
Lacey 36,TH,130
Rich,TH,154
Olympia 19,TH,174
Butler Cove,TH,208
Lacey 34,TH,130
Mud Bay,TH,201
Olympia 14,TH,189
Mclane,TH,156
Tumwater 15,TH,243
Lawrence Lake,TH,265
Lacey 45,TH,108
Olympia 38,TH,61
Tilley,TH,266
Yelm 3,TH,250
Hunter Point,TH,132
Skokomish,TH,177
Schneiders Prairie,TH,162
Grand Mound,TH,104
Alpine,TH,359
Hays,TH,164
